text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
as i thought they were not over wrote so why try to sue doctor and smear chris's name? one ativan per 12 hours so 2x a day! he did not have a doctor writing in excess! nor did toxicology show he was not in recovery!,2020-07-28 06:09:19+00:00,,,1287993519479685120,,https://twitter.com/Loves_ChiChi/status/1287993519479685120,0,0,cornelldeath,
"no! not blm racist asses as it only matters when it happens by a white person now the black people who aren't blinded by political parties, media lies, intelligent &amp; thinks for themselves like tremmell which he needs a statue for such bravery! they will speak up correctly",2020-07-25 22:54:24+00:00,,,1287159293146476545,,https://twitter.com/Loves_ChiChi/status/1287159293146476545,0,0,RyanAFournier,
nate is always badass & entertaining to watch! good fighter! now his bro nick (((beast))),2020-07-25 22:46:46+00:00,,,1287157372868341761,,https://twitter.com/Loves_ChiChi/status/1287157372868341761,0,0,TheBronzeMMA,
i just kept thinking it's been a long time! and i can't believe they arrested a dr over 3 fkn pills a day! unreal - it was average at one time!,2020-07-24 23:51:36+00:00,,,1286811301822554117,,https://twitter.com/Loves_ChiChi/status/1286811301822554117,0,0,Loves_ChiChi,
wish i knew how but i'm sure i can think sthg up. i've heard about the red kratom. i'll have to get in better condition *hope walk again. as ga its legal. it is crazy so much is illegal dea still at work! covid didn't slow them! arrested a dr going on &amp; on re 3 pills/day,2020-07-24 23:50:01+00:00,,,1286810902206074882,,https://twitter.com/Loves_ChiChi/status/1286810902206074882,1,0,TheFuglyFrog,
"thank you but fr broke knee tibula/fibula , crush broke hip, fractured spines l-5 &amp; only iv meds 2 days - no pain meds for me so covid hitting i'm back to unable to walk. i couldn't for 12wks. now they got organ showing they need ass off! i could use for these injuries ",2020-07-24 17:55:50+00:00,,,1286721769072734210,,https://twitter.com/Loves_ChiChi/status/1286721769072734210,1,0,TheFuglyFrog,
one who thinks meth & methadone is the same - my mom one who calls pills dope - my mom one whose believed the dea - not my mom cancer &amp; addict n recovery. ps when told had covid pneumonia seen cancer at lungs still despite tramau injuries &amp; cancer 0 pain rx,2020-07-24 17:46:44+00:00,,,1286719477304963074,,https://twitter.com/Loves_ChiChi/status/1286719477304963074,1,0,TheFuglyFrog,
"montgomery doctor accused of prescribing excess pain pills to frat brothers, friends (odd 90 a month is a lot! )be https://www.montgomeryadvertiser.com/story/news/2020/07/23/montgomery-doctor-accused-prescribing-excess-pain-pills-frat-brothers-friends/5494515002/ via ",2020-07-24 17:35:42+00:00,,,1286716700415713285,@MGMAdvertiser,https://twitter.com/Loves_ChiChi/status/1286716700415713285,0,0,,https://www.montgomeryadvertiser.com/story/news/2020/07/23/montgomery-doctor-accused-prescribing-excess-pain-pills-frat-brothers-friends/5494515002/
this song kicks ass!!!!,2020-07-24 14:57:38+00:00,,,1286676924866191361,,https://twitter.com/Loves_ChiChi/status/1286676924866191361,0,0,seether,
they don't realize it means less than ,2020-07-24 14:55:30+00:00,,,1286676386497933313,,https://twitter.com/Loves_ChiChi/status/1286676386497933313,0,0,BRIGHTICARUS,
"thank you that was his way to hate on cubans just the ""bitch"" way of doing it!",2020-07-24 14:53:04+00:00,,,1286675772804083712,,https://twitter.com/Loves_ChiChi/status/1286675772804083712,0,0,Patgrievesious,
"tony is a professional fighter who most could argue has been the best despite a belt. most of all he is grown, people win & they loose - there is reasons! maybe just not his night! the thing is how he comes back from that loss i'm sure he knows his coaches skills! advice ",2020-07-24 14:46:29+00:00,,,1286674118893539328,,https://twitter.com/Loves_ChiChi/status/1286674118893539328,0,0,MyPerfection4,
"it is ""those little things""",2020-07-24 14:38:13+00:00,,,1286672038976000000,,https://twitter.com/Loves_ChiChi/status/1286672038976000000,0,0,TonyFergusonXT,
