text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
you were wearing that red and white pajama shirt. . . . . . . . . . . . . . . . . . .. . . . . . ..,2020-07-30 21:58:51+00:00,,,1288957254683652096,,https://twitter.com/MTNaughton83/status/1288957254683652096,0,0,,
its been a long painful frustrating life,2020-07-30 21:50:02+00:00,,,1288955033917128705,,https://twitter.com/MTNaughton83/status/1288955033917128705,0,0,,
you made me this. you call me a loser but look who you cheat with look at what you do to your family. i. a good hisbandbim a good father i give my family my all until you break us. dead beat dad julie said 3 months ago. dead beat,2020-07-30 21:38:46+00:00,,,1288952197980422144,,https://twitter.com/MTNaughton83/status/1288952197980422144,0,0,,
,2020-07-30 20:19:25+00:00,,,1288932231239495680,,https://twitter.com/MTNaughton83/status/1288932231239495680,0,0,,
vrecorderapp made with ,2020-07-30 20:17:39+00:00,,#VRecorderApp,1288931784323817472,,https://twitter.com/MTNaughton83/status/1288931784323817472,0,0,,
make sense of it,2020-07-30 19:47:02+00:00,,,1288924078770806784,,https://twitter.com/MTNaughton83/status/1288924078770806784,0,0,,
feds fingers check out this demonstration on instagram,2020-07-30 19:46:38+00:00,,,1288923979688771584,,https://twitter.com/MTNaughton83/status/1288923979688771584,0,0,,
i out of all people dont deserve this i didnt deserve any of it,2020-07-30 19:24:21+00:00,,,1288918370750889985,,https://twitter.com/MTNaughton83/status/1288918370750889985,0,0,,
a mockaery of the process that i was ok with until dutyful turned to horrible for no fault of mine. this isnt how dues are paid i shouldnt get fucked then get fucked again completely fucked this time i do not have skitzophrenia i have no mental disorders next ro creative &strong,2020-07-30 19:17:12+00:00,,,1288916572791140353,,https://twitter.com/MTNaughton83/status/1288916572791140353,0,0,,
 ,2020-07-30 18:22:42+00:00,,,1288902855328272385,,https://twitter.com/MTNaughton83/status/1288902855328272385,0,0,,
does claiming crazy and a talk show get me home? ,2020-07-30 17:47:32+00:00,,,1288894006496092160,,https://twitter.com/MTNaughton83/status/1288894006496092160,0,0,,
,2020-07-30 05:24:13+00:00,,,1288706946648834048,,https://twitter.com/MTNaughton83/status/1288706946648834048,0,0,,
what was forgiven and all of it was is not unforgiven just cause i was forced to say things to fight back we are still as good as we were without the lies and crazy shit.,2020-07-30 05:09:22+00:00,,,1288703208177586176,,https://twitter.com/MTNaughton83/status/1288703208177586176,0,0,,
see skitzo fo shitzo ,2020-07-30 03:52:46+00:00,,,1288683930028085248,,https://twitter.com/MTNaughton83/status/1288683930028085248,0,0,,
"ok point made now for the ""truth im a paranoid skitzo and i made up these delusions to hurt the women who hurt me. put very little credibility into them. shes a good women wife and mother. im sorry for any damage to your reputation i hope to be home soon. we hav3 alot left to do",2020-07-30 03:47:39+00:00,,,1288682642280312833,,https://twitter.com/MTNaughton83/status/1288682642280312833,0,0,,
 ,2020-07-30 03:42:54+00:00,,,1288681450473103360,,https://twitter.com/MTNaughton83/status/1288681450473103360,0,0,,
i only and ever recorded when you were a problem and thank god look how many lies i squashed. i would have been the most abusive controling monster ever without them. adopt honesty,2020-07-30 03:09:17+00:00,,,1288672989513318400,,https://twitter.com/MTNaughton83/status/1288672989513318400,0,0,,
the peaks every which way but ugly,2020-07-30 02:19:11+00:00,,,1288660379816534017,,https://twitter.com/MTNaughton83/status/1288660379816534017,0,0,,
im abandoned by the bomb that blew me up,2020-07-30 02:12:03+00:00,,,1288658585816150018,,https://twitter.com/MTNaughton83/status/1288658585816150018,0,0,,
base line truth,2020-07-30 01:50:18+00:00,,,1288653112064880641,,https://twitter.com/MTNaughton83/status/1288653112064880641,1,0,,
,2020-07-30 01:27:18+00:00,,,1288647322813906950,,https://twitter.com/MTNaughton83/status/1288647322813906950,0,0,,
wrong dpings dont fade with time especially when its a constant wrong doing the entite time and ut will be until fixed. its unjust bad for my kids my family everyday is time lost something that cantnbe given back its a bigger loss then my toes,2020-07-30 00:59:52+00:00,,,1288640419165659136,,https://twitter.com/MTNaughton83/status/1288640419165659136,0,0,,
full disclosure,2020-07-30 00:47:14+00:00,,,1288637240785039360,,https://twitter.com/MTNaughton83/status/1288637240785039360,0,0,,
,2020-07-30 00:43:31+00:00,,,1288636305056731138,,https://twitter.com/MTNaughton83/status/1288636305056731138,0,0,,
we have a teaditional hybrid marriage. we wanted and had all the traditional goals. (or we did atleast( with hybrid ways.,2020-07-30 00:18:43+00:00,,,1288630062258872320,,https://twitter.com/MTNaughton83/status/1288630062258872320,0,0,,
you try to act like you met logan at that halloween party but you and tatum shot paint balls at him in klamath way before i met you. you were his babysitter you and tatum you him gave him some sugar didnt you what about oregon ave kurts birthday,2020-07-30 00:15:55+00:00,,,1288629360061116416,,https://twitter.com/MTNaughton83/status/1288629360061116416,0,0,,
ashton dropped a f bomb but atleast he knew it was wrong. no lies just bad words so its all good,2020-07-30 00:09:32+00:00,,,1288627751470039040,,https://twitter.com/MTNaughton83/status/1288627751470039040,0,0,,
2015 cannot be undone or fixed this can be,2020-07-30 00:01:00+00:00,,,1288625605253070848,,https://twitter.com/MTNaughton83/status/1288625605253070848,0,0,,
when i say something that may or may not have happened 8 years ago do you immidiatley use it as a wrong doing? thats because you dont have anything,2020-07-29 23:54:22+00:00,,,1288623936549216257,,https://twitter.com/MTNaughton83/status/1288623936549216257,0,0,,
to watch this families life my families world just get torn in 2 for no fault of my own is difficult the hardest thing i have ever dealt with for sure. finish the tear or tape that shit,2020-07-29 23:25:32+00:00,,,1288616681401507840,,https://twitter.com/MTNaughton83/status/1288616681401507840,0,0,,
when a kids says something then quickly covers their mouth they are being watched closely. oh well teaching a kid to lie is a great life lesson,2020-07-29 23:22:04+00:00,,,1288615808852037632,,https://twitter.com/MTNaughton83/status/1288615808852037632,0,0,,
my kids are adorable video calls are not the right way but its the only way for now,2020-07-29 23:18:16+00:00,,,1288614851288297473,,https://twitter.com/MTNaughton83/status/1288614851288297473,0,0,,
getting done wrong by the person closest to you is a shitty situation,2020-07-29 23:12:24+00:00,,,1288613374549299201,,https://twitter.com/MTNaughton83/status/1288613374549299201,0,0,,
