text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
twenty bucks is twenty bucks.,2020-07-29 23:52:20+00:00,,,1288623422570926082,,https://twitter.com/NEPASoccerMom/status/1288623422570926082,0,0,,
i’m literally dead ,2020-07-29 23:48:45+00:00,,,1288622524524302337,,https://twitter.com/NEPASoccerMom/status/1288622524524302337,0,0,gettingthere88,
"some of these trump hating feminists on here tweeting incessantly every day, all day are surely going to pump out some upstanding school kids this year. jesus fucking christ. they’re scarier than trump by a landslide.",2020-07-29 23:47:38+00:00,,,1288622240431570944,,https://twitter.com/NEPASoccerMom/status/1288622240431570944,0,0,QueenBeee88,
right? go do your job. leave the women alone. i absolutely hate when male cops pull up next to me when i’m parked far away from others. my bil is a state trooper and i know my rights. kindly fuck off officer.,2020-07-29 23:44:40+00:00,,,1288621493623160832,,https://twitter.com/NEPASoccerMom/status/1288621493623160832,0,0,not_PC_RN,
i’m about to be the be the next jesse pinkman. or i’ve successfully completed all my charting for the night. both involve lots of narcotics so at this point in the night it’s unclear.,2020-07-29 23:41:13+00:00,,,1288620625221885959,,https://twitter.com/NEPASoccerMom/status/1288620625221885959,1,0,wolfpack197721,
i’m parked in the furthest spot in the very last parking lot minding my own business catching up on work while my daughter practices until 9pm and a cop pulls up right next to my window asking me what i’m doing. dude. i’m creating a new meth recipe on my macbook. what the hell.,2020-07-29 23:27:45+00:00,,,1288617239265062926,,https://twitter.com/NEPASoccerMom/status/1288617239265062926,2,0,,
enough with her already. we all get it. she’s a black woke female.,2020-07-29 23:18:12+00:00,,,1288614834062401539,,https://twitter.com/NEPASoccerMom/status/1288614834062401539,1,0,snydenydn,https://twitter.com/snydenydn/status/1288602991134740480
why not just name it ian. done.,2020-07-29 23:12:52+00:00,,,1288613492434575368,,https://twitter.com/NEPASoccerMom/status/1288613492434575368,0,0,JohnWNEP,
there’s going to be a ton of kids extremely behind in academics by the end of this pandemic hysteria. too many idiots home schooling.,2020-07-29 22:18:44+00:00,,,1288599869331066881,,https://twitter.com/NEPASoccerMom/status/1288599869331066881,2,0,,
i’m so over this heat and humidity i may just go jump in the susquehanna.,2020-07-29 22:17:33+00:00,,,1288599571925536768,,https://twitter.com/NEPASoccerMom/status/1288599571925536768,1,0,,
"you give doctors a month?? pandemic or otherwise, this is insane. i could literally drive two miles and score heroin quicker than i can get a call back from my pain management office. you’re not that busy every hour of every day. fix it.",2020-07-29 22:12:05+00:00,,,1288598197443735552,,https://twitter.com/NEPASoccerMom/status/1288598197443735552,0,0,megaholt,
you rock.,2020-07-29 22:10:08+00:00,,,1288597703283347456,,https://twitter.com/NEPASoccerMom/status/1288597703283347456,0,0,brookevitti,
"today, while trying to take my daughter to her conditioning class, i was detoured three times in less than a mile in wilkes barre. one detour led me down an alley where a construction truck was blocking the exit. you can’t make this shit up. i lost it at 9am.",2020-07-29 22:09:30+00:00,,,1288597544994516992,,https://twitter.com/NEPASoccerMom/status/1288597544994516992,0,0,mhryvnak,
i’m officially done caring at this point.,2020-07-29 22:06:11+00:00,,,1288596711657607170,,https://twitter.com/NEPASoccerMom/status/1288596711657607170,0,0,beyerstein,
well our private school is going back to school. not sure what soccer you watch but the girls are more physical than most male sports; football included. it’s not the 50’s anymore. the girls don’t wear dresses.,2020-07-29 19:41:27+00:00,,,1288560286480445441,,https://twitter.com/NEPASoccerMom/status/1288560286480445441,1,0,TCAMDPA,
i was at a bar this weekend and was allowed to drink as long as i kept a plate in front of me. i had to walk in with a mask on and then didn’t put it back on until we left for four hours. that’s the rules. my kid’s also been traveling for soccer and no masks are required.,2020-07-29 19:38:26+00:00,,,1288559526644514818,,https://twitter.com/NEPASoccerMom/status/1288559526644514818,0,0,mmcguriman,
