text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
agreed ,2020-07-30 20:13:39+00:00,,,1288930777842044932,,https://twitter.com/NephetsYollam/status/1288930777842044932,0,1,c_cannabiscafe,https://twitter.com/c_cannabiscafe/status/1288820357206614016
sorry man. wrong interpretation on my part. i absolutely agree with you.,2020-07-30 19:59:32+00:00,,,1288927226092752897,,https://twitter.com/NephetsYollam/status/1288927226092752897,1,0,markgall7,
obviously not a new phenomenon.,2020-07-30 19:30:15+00:00,,,1288919858340651009,,https://twitter.com/NephetsYollam/status/1288919858340651009,0,0,NephetsYollam,
"people stab you in the back these days mark, even people you trust wouldn't. absolutely vital to also trust in one's self.",2020-07-30 19:25:26+00:00,,,1288918645096275968,,https://twitter.com/NephetsYollam/status/1288918645096275968,2,0,markgall7,
"imagine being pish, knowing it, and still getting elected.",2020-07-30 18:53:22+00:00,,,1288910575116996608,,https://twitter.com/NephetsYollam/status/1288910575116996608,0,0,no1guncle,
its true ken. sorry man. nicola has outed me on this one. the good news though is 'walkin helps my talkin'. hence the high quality input you get from me.,2020-07-30 18:24:18+00:00,,,1288903260443750401,,https://twitter.com/NephetsYollam/status/1288903260443750401,0,0,928ken,
the comments on this.,2020-07-30 18:14:02+00:00,,,1288900677318713348,,https://twitter.com/NephetsYollam/status/1288900677318713348,1,0,STVNews,https://twitter.com/STVNews/status/1288716319156830209
don't thinks so.,2020-07-30 17:25:17+00:00,,,1288888406274179077,,https://twitter.com/NephetsYollam/status/1288888406274179077,0,0,afterprohibends,
tbh i dont know why nicola sturgeon doesn't just run the scottish conservatives. basically doing it just now anyway.,2020-07-30 17:18:48+00:00,,,1288886775155494912,,https://twitter.com/NephetsYollam/status/1288886775155494912,1,0,,
dougie 'red card' ross.,2020-07-30 17:16:26+00:00,,,1288886179627175937,,https://twitter.com/NephetsYollam/status/1288886179627175937,1,0,AngelaHaggerty,https://twitter.com/AngelaHaggerty/status/1288885543493931009
enhanced treatment and recovery services. thats what it'll be.,2020-07-30 17:14:38+00:00,,,1288885725937762309,,https://twitter.com/NephetsYollam/status/1288885725937762309,0,0,TheNewImpostor,
"the treatment now, compared to what it was previously, is so entirely different. everyone who's been exposed should get a quick simple test, and if positive your effectively cured in no time. little side effects to so i hear/read. genuine possibility to eradicate. hepatitisc",2020-07-30 17:08:28+00:00,,#HepatitisC,1288884176251428866,,https://twitter.com/NephetsYollam/status/1288884176251428866,0,1,hepscotland,https://twitter.com/hepscotland/status/1288839273786089477
 ,2020-07-30 16:44:17+00:00,,,1288878091830525955,,https://twitter.com/NephetsYollam/status/1288878091830525955,0,0,GBMC73,
,2020-07-30 16:33:14+00:00,,,1288875307638939650,,https://twitter.com/NephetsYollam/status/1288875307638939650,0,0,ProfDavidNutt,
