text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
kids can go to school but it's not safe to vote... nope. we're having the election.,2020-07-30 15:00:44+00:00,,,1288852029377454081,,https://twitter.com/RNickGorton/status/1288852029377454081,1,2,realDonaldTrump,https://twitter.com/realDonaldTrump/status/1288818160389558273
"no one including the cdc says that the protests are the cause... especially since they didn't track to where the peaks were. except for california, all the states that have become hotspots are deep red ones where little protest happened.",2020-07-30 04:42:36+00:00,,,1288696471420715013,,https://twitter.com/RNickGorton/status/1288696471420715013,1,0,LABeachGal1,
"it's because american's have an increasing disdain for knowledge, facts, & experts. like will mcavoy in the newsroom said, america used to be different: ""we aspired to intelligence. we didn't belittle it. it didn't make us feel inferior.""",2020-07-30 04:40:28+00:00,,,1288695935090872321,,https://twitter.com/RNickGorton/status/1288695935090872321,1,2,StLuGal,https://youtu.be/VMqcLUqYqrs
seriously. we're asking people to wear a piece of cloth over their face and stand further away from each other to save people's lives and get the us economy back on its feet.,2020-07-30 04:28:46+00:00,,,1288692992551706625,,https://twitter.com/RNickGorton/status/1288692992551706625,0,4,WalshFreedom,
because in europe they had the virus under control. we never have.,2020-07-30 04:24:45+00:00,,,1288691978759069696,,https://twitter.com/RNickGorton/status/1288691978759069696,1,0,LABeachGal1,
it's called a hemiplegic gait. usually from a stroke. what makes me doubt the stroke theory is he's been playing golf since then and it would have been more obvious. so if there are repeated videos with him walking like this i'll believe he had a stroke.,2020-07-30 04:23:09+00:00,,,1288691578937044994,,https://twitter.com/RNickGorton/status/1288691578937044994,11,0,ProjectLincoln,
if you don't want to be compared to a nazi... stop putting children and their families in concentration camps.,2020-07-30 04:02:15+00:00,,,1288686317207818242,,https://twitter.com/RNickGorton/status/1288686317207818242,0,0,MargieDemocracy,
"the cases you're treating, the deaths, & your risk will skyrocket with opening schools. that's a big part of why respiratory viruses peak in fall/winter. epidemiology101",2020-07-30 04:00:23+00:00,,#Epidemiology101,1288685846149750784,,https://twitter.com/RNickGorton/status/1288685846149750784,1,0,LABeachGal1,
i would have asked the indication. if it was anything other than a legit reason i would have said no to the consult. like i'm not going to participate in that nonsense.,2020-07-30 03:51:22+00:00,,,1288683581171146752,,https://twitter.com/RNickGorton/status/1288683581171146752,0,0,Day13Lee,
so she's basically threatening maine with a good time?,2020-07-30 03:45:27+00:00,,,1288682089810784257,,https://twitter.com/RNickGorton/status/1288682089810784257,0,1,ProjectLincoln,
good,2020-07-30 03:43:17+00:00,,,1288681545583087616,,https://twitter.com/RNickGorton/status/1288681545583087616,0,1,RxRadioFM,https://twitter.com/RxRadioFM/status/1288597007297400832
https://twitter.com/mattscalici/status/1288648445746708482,2020-07-30 03:34:54+00:00,,,1288679433293856768,,https://twitter.com/RNickGorton/status/1288679433293856768,0,0,,https://twitter.com/MattScalici/status/1288648445746708482
except there is a negative: people who really need it (like people with rheumatological problems or occasionally a transwoman to treat silicone pumping if doxy doesn't work) are suffering because they can't get their meds. so it's poor medication stewardship to rx for covid19.,2020-07-30 03:31:07+00:00,,,1288678481149100032,,https://twitter.com/RNickGorton/status/1288678481149100032,0,0,ParkerMolloy,
what? when i've been asked for hcq even for younger healthy people unless it's a rf of the med they're rx'd from their rheumatologist for a legit diagnosis the answer is a big:,2020-07-30 03:28:11+00:00,,,1288677746747441153,,https://twitter.com/RNickGorton/status/1288677746747441153,1,2,Day13Lee,
hygradoxachlorine is what i think he said. reminds me of this...,2020-07-30 03:25:02+00:00,,,1288676952446885888,,https://twitter.com/RNickGorton/status/1288676952446885888,0,0,ParkerMolloy,https://vm.tiktok.com/J2Yq5Bu/
2020 is just fucking with us now.,2020-07-30 02:20:49+00:00,,,1288660791743279104,,https://twitter.com/RNickGorton/status/1288660791743279104,0,2,TakedownMRAs,https://twitter.com/TakedownMRAs/status/1193478339232583680
what is refreshing tho is all the comments.,2020-07-30 02:18:31+00:00,,,1288660212841291776,,https://twitter.com/RNickGorton/status/1288660212841291776,0,0,FaithNaff,
jesus fucking christ,2020-07-30 01:32:42+00:00,,,1288648680463990784,,https://twitter.com/RNickGorton/status/1288648680463990784,1,0,RepEngland70,https://twitter.com/RepEngland70/status/1288569439189962752
,2020-07-30 01:28:16+00:00,,,1288647568168062977,,https://twitter.com/RNickGorton/status/1288647568168062977,1,0,doctornontrad,
"in retrospect maybe you could have considered that during a pandemic in which over 100,000 us healthcare providers have become infected & over 1000 have died b/c despite the risks we did our job, it might not be the best time to rant that our pay is ridiculous.",2020-07-30 01:25:26+00:00,,,1288646853379022849,,https://twitter.com/RNickGorton/status/1288646853379022849,0,1,Jabaluck,
he nailed it. werenumber1,2020-07-30 00:26:31+00:00,,#WereNumber1,1288632025885208577,,https://twitter.com/RNickGorton/status/1288632025885208577,0,0,,https://vm.tiktok.com/J2FNLCo/
mind blown.,2020-07-30 00:20:34+00:00,,,1288630531458871297,,https://twitter.com/RNickGorton/status/1288630531458871297,0,0,MDaware,
"was looking to see if they had lactobac culture so you could really make your bespoke buttermilk and learned a cool trick: for baking you can fake it by just adding 1tblsp of vinegar to 8 oz of your ~1% or skim milk after churning, let set a few minutes & then use as buttermilk.",2020-07-30 00:17:06+00:00,,,1288629657747652610,,https://twitter.com/RNickGorton/status/1288629657747652610,1,0,RyanMarino,
i mean if you want to be safe and all... the cultured stuff you can buy in the supermarket just adds lactobacillus. but the real deal is a genuine difference in taste.,2020-07-30 00:05:53+00:00,,,1288626833068404738,,https://twitter.com/RNickGorton/status/1288626833068404738,0,0,MDaware,
