text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"ty for sharing this! i'm currently listening to chap 3 & keep noticing how similar synanon's tactics are to scientology. i google ""chuck dietrich scientology"" & land on a blog, which didn't answer my q but i see they mention a maria szivalitz.. https://www.trueorbetter.com/2020/05/synanon-self-help-through-shame-and.html?m=1",2020-07-29 02:50:07+00:00,,,1288305778093424641,,https://twitter.com/RebelEclectic/status/1288305778093424641,0,0,maiasz,https://www.trueorbetter.com/2020/05/synanon-self-help-through-shame-and.html?m=1
which of the following issues do you feel most strongly about? this question and more is on the soberlifestyle survey i've been sharing. pls take it here: http://bit.ly/sobersurvey we need 9 more responses to hit 50! harmreduction addiction recoveryworks poll,2020-07-28 18:48:15+00:00,,#SoberLifestyle #HarmReduction #Addiction #Recoveryworks #Recoveryworks #poll,1288184510799056898,,https://twitter.com/RebelEclectic/status/1288184510799056898,0,0,,http://bit.ly/sobersurvey
"thank you! i've reached out in the past about stock issues and it's been resolved every time, so i really appreciate it! i was buying quantities of the  honey roasted almonds until the recipe changed last yr.. that was a sad day no other brand compared! ",2020-07-27 20:31:48+00:00,,,1287848182777511937,@meijer,https://twitter.com/RebelEclectic/status/1287848182777511937,0,0,meijer,
"i should also mention that larger clinics with multiple practitioners who accepted walk in appointments were the most willing to treat me, so it's usually where i ended up. but those types of clinics can tend to be revolving doors with crap for care ",2020-07-27 20:00:59+00:00,,,1287840428927197184,,https://twitter.com/RebelEclectic/status/1287840428927197184,1,0,RebelEclectic,
"this is an interesting study, thx for sharing! as a patient in mi that was on opioid therapy for chronic pain (now on bupe) i was shot down constantly when i'd call looking for a new dr. it was only when i didn't ask about specific tx or rx that i could get an appt.",2020-07-27 19:57:21+00:00,,,1287839511477661701,,https://twitter.com/RebelEclectic/status/1287839511477661701,1,0,BlessingBox4u,
tough as nails!,2020-07-27 19:25:16+00:00,,,1287831441049563139,,https://twitter.com/RebelEclectic/status/1287831441049563139,0,0,BulliesTattoos,
"yes, you did, thanks and hello again! i actually read through your blog and checked out your photos a bit ",2020-07-27 19:23:33+00:00,,,1287831007966760960,,https://twitter.com/RebelEclectic/status/1287831007966760960,1,0,XstopWriting,
props! the 1st cpl years are the toughest imo.,2020-07-27 19:22:03+00:00,,,1287830628722003969,,https://twitter.com/RebelEclectic/status/1287830628722003969,1,0,JOSHgeneration8,
recognizing growth is huge! it took me yeeeeeears to understand that. slow learner i suppose lol. props on the big nine zero zero!,2020-07-27 18:28:19+00:00,,,1287817107133038598,,https://twitter.com/RebelEclectic/status/1287817107133038598,0,0,KevinYeagerSC,
congrats!,2020-07-27 18:25:04+00:00,,,1287816288006537216,,https://twitter.com/RebelEclectic/status/1287816288006537216,0,0,Shitfaced2sober,
"our voice is crucial to the online recovery and sobriety movement! so if you're sober and have a sec, please contribute to the short sober survey i helped create at http://bit.ly/sobersurvey. tell us what you value most in life right now! recoveryposse soberaf",2020-07-27 18:21:41+00:00,,#recovery #sobriety #sober #RecoveryPosse #soberaf,1287815438718689282,,https://twitter.com/RebelEclectic/status/1287815438718689282,1,1,,http://bit.ly/sobersurvey
"i used to test myself like this purposely in the beginning (i was a bit too cocky for my own good in my early sobriety lol). it's awesome you walked away and you voiced it. we're much stronger than we think, or than we're led to believe sometimes! recoveryposse",2020-07-27 18:11:38+00:00,,#sobriety #RecoveryPosse,1287812909742141441,,https://twitter.com/RebelEclectic/status/1287812909742141441,1,0,BulliesTattoos,
"hello folks at , can u please adjust the inventory at store 63 for the meijer glazed honey cinnamon pecan halves? i've visited the store 3x in the past 3 wks (inc today) &amp; shelves have been empty each time. found 4 bags at store 145. purchase 7-10 bags/mo. thank you!",2020-07-27 01:23:39+00:00,,#Meijer,1287559240526098432,@meijer,https://twitter.com/RebelEclectic/status/1287559240526098432,1,0,,
"i shop online for things i don't need, take photos, care for succulents, help people with small problems, and try to learn something new!",2020-07-24 20:20:28+00:00,,,1286758165766385664,,https://twitter.com/RebelEclectic/status/1286758165766385664,1,1,Angelsgal02,
