text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
watch 's broadcast: glorifying assault &amp; revictimizing others,2020-07-30 14:32:32+00:00,,,1288844934959661056,@CIAAG_Lauren,https://twitter.com/Shasta_Rayne/status/1288844934959661056,2,1,,https://www.pscp.tv/w/cfF_wjFkdktPWmVKZWRYUVh8MWRqR1hvWFpqUlhLWoWNAwKLDLD9Ec00jT7PMZ0KGy7yxVSdXaXpgMGTaVmE
no apparently they don't. i know i have been quiet the past few days. i am not feeling well but you know i stand behind you and this is the truth 100%. this is what is happening to us. we have asked for peace and quiet and we deserve it. they need to stop. we are done,2020-07-30 01:45:23+00:00,,,1288651872916529152,,https://twitter.com/Shasta_Rayne/status/1288651872916529152,1,1,CIAAG_Lauren,
it is....we are a problem for them,2020-07-30 01:19:24+00:00,,,1288645335481344000,,https://twitter.com/Shasta_Rayne/status/1288645335481344000,1,0,lpray18,
hope is true and we truly hope for a better tomorrow. thank you for speaking up.,2020-07-30 01:03:21+00:00,,,1288641295959748608,,https://twitter.com/Shasta_Rayne/status/1288641295959748608,0,0,BarbyIngle,
thank you ,2020-07-30 01:02:41+00:00,,,1288641129643012096,@BarbyIngle,https://twitter.com/Shasta_Rayne/status/1288641129643012096,1,0,BarbyIngle,https://twitter.com/BarbyIngle/status/1288623128755634176
"i still remember the hours of hard labor with my first & it hurt like hell but i wouldn't give it up for the world. those intense moments, each contraction, each time i pushed....nope, too special to me. it hurts but it does come to an end; be present, the memories are priceless",2020-07-29 19:18:05+00:00,,,1288554406225408000,,https://twitter.com/Shasta_Rayne/status/1288554406225408000,0,0,FollowingForFu2,
"i was present mentally and emotionally during my labors (17.5 hours, 12 and 5) and have wonderful memories of bringing my children into the world. no way would i trade that to sit there with that on my face, all to avoid an epidural (which i had with 2 of my 3 sons).",2020-07-29 19:15:04+00:00,,,1288553646943113218,,https://twitter.com/Shasta_Rayne/status/1288553646943113218,0,0,FollowingForFu2,
"i just read that thing, take away labor pains? um, i have gone through 3 births, each one special and painful as anything and i wouldn't trade being present to feel every contraction, every time i screamed....wouldn't trade it for the world.",2020-07-29 19:13:43+00:00,,,1288553307808526336,,https://twitter.com/Shasta_Rayne/status/1288553307808526336,0,0,FollowingForFu2,
"oh gosh....i think this would be great for kids undergoing a dental procedure or anyone if they are nervous prior to undergoing surgery but my goodness, i have things to do. i can't sit around all day with that on my head!",2020-07-29 19:10:43+00:00,,,1288552554826092544,,https://twitter.com/Shasta_Rayne/status/1288552554826092544,0,0,FollowingForFu2,
watch 's broadcast: putting a face on chronicpain why can't they fix their problems. who goes to painmangement,2020-07-29 18:01:44+00:00,,#chronicpain #painmangement,1288535191124729856,@RNadvocating,https://twitter.com/Shasta_Rayne/status/1288535191124729856,0,6,,https://www.pscp.tv/w/cfBffTFkdktPWmVKZWRYUVh8MXlwSmR3UGVxVlZHV3uYj5ZxtRdlX5blyy9fRjsDYs7pH4TuMcVquBHhxfNI
no and i am tired of the intentional mis-framing and the disruption of our work. we constantly are accused of what they are doing to us. i know who is behind this......,2020-07-29 17:42:47+00:00,,,1288530423186771968,,https://twitter.com/Shasta_Rayne/status/1288530423186771968,0,2,Txsconstitution,
"yeah it is funny....i agree. we are making headway, more united than ever. they want to stop that from happening. we are presenting research and the truth; that poses a problem as well so this is the expected response. they need to stop.",2020-07-29 17:41:46+00:00,,,1288530167736856582,,https://twitter.com/Shasta_Rayne/status/1288530167736856582,0,0,life_is_art___,
watch this..... watch 's broadcast: pnns attack on the pain community under the guise of “unity” it’s time to get real &amp; stop playing these games.....,2020-07-29 16:55:28+00:00,,,1288518515016654854,@CIAAG_Lauren,https://twitter.com/Shasta_Rayne/status/1288518515016654854,2,4,,https://www.pscp.tv/w/cfBP2TFkdktPWmVKZWRYUVh8MW1ueGVsa2VYUXJKWDGIm4dCEYpAzrvb1Vx0xLakgl8eWKwEqRmPRRqBoGjF
sometimes things aren’t what they seem. stay tuned for a live video from her  will explain. i will tweet it out when she starts.,2020-07-29 13:45:29+00:00,,,1288470703944028165,@CIAAG_Lauren,https://twitter.com/Shasta_Rayne/status/1288470703944028165,0,1,CIAAG_Lauren,https://twitter.com/CIAAG_Lauren/status/1288469059877638151
i will  thank you for the fyi,2020-07-29 05:59:45+00:00,,,1288353498711523328,@larsiztch,https://twitter.com/Shasta_Rayne/status/1288353498711523328,0,0,larsiztch,
aw......hey my friend. i am so happy we re-connected too. i hope you have a beautiful night and sleep well.,2020-07-29 05:36:14+00:00,,,1288347583773999104,,https://twitter.com/Shasta_Rayne/status/1288347583773999104,0,0,victor13960396,
"hey everyone....our favorite girl,  wrote something good here that i think we can all get behind. please take a read and sign.",2020-07-29 04:36:37+00:00,,,1288332579725144064,@RNadvocating,https://twitter.com/Shasta_Rayne/status/1288332579725144064,1,2,RNadvocating,https://twitter.com/RNadvocating/status/1287192396174954496
"don't mistake my activism for anger. i am not angry, i am motivated",2020-07-29 04:33:54+00:00,,,1288331895214706688,,https://twitter.com/Shasta_Rayne/status/1288331895214706688,3,10,,
watch 's broadcast: nurseproblems ernurse ednurse tiktoknurses pain is not funny nightnurses opioids take care of your patients,2020-07-29 03:04:04+00:00,,#nurseproblems #ernurse #ednurse #tiktoknurses #pain #nightnurses #opioids,1288309286985019393,@RNadvocating,https://twitter.com/Shasta_Rayne/status/1288309286985019393,2,6,,https://www.pscp.tv/w/ce-IPDFkdktPWmVKZWRYUVh8MURYR3lBbEJSUFBHTckZbAZsIYW1i6Mg85Kzgf7sVjv9uHaQbkBzL6obOURG
"yeah i was afraid i was going to somehow rip it off. it was weird, i remember when i recorded this and i almost took it off subconsciously as i was worried i would rip the beautiful shawl that  made. plus i didn't want to lose the spoon! i would be sad!",2020-07-28 19:45:34+00:00,,,1288198937661149184,@ravensspirit68,https://twitter.com/Shasta_Rayne/status/1288198937661149184,1,0,LelenaPeacock,
"thank you. i am glad you liked my words. they were meant to inspire and let everyone know, we all have a voice and a right to use it.",2020-07-28 19:44:11+00:00,,,1288198587453595648,,https://twitter.com/Shasta_Rayne/status/1288198587453595648,0,0,Deeenst,
