text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
you have no idea.................,2020-07-30 23:54:35+00:00,,,1288986377980227584,,https://twitter.com/SiebeforORD1/status/1288986377980227584,1,0,cubanthuglfe702,
"oh man, i will. i felt horrible. i finally got a chance to talk to my son on the phone today and i just broke down crying... portlandprotestptsd",2020-07-30 23:53:17+00:00,,#PortlandProtestPTSD,1288986053370552320,,https://twitter.com/SiebeforORD1/status/1288986053370552320,2,0,BernieBitch420,
"contrary to what everyone has been hearing, riotribs is still there &amp; feeding people!! on an average day, we feed more homeless people in our city than most of our soup kitchens!! this is a community resource but we need your help!! venmo  paypal ",2020-07-30 23:43:31+00:00,,#RiotRibs,1288983592488452096,,https://twitter.com/SiebeforORD1/status/1288983592488452096,14,13,,
"we are still there, still running, still feeding people... we feed more homeless people everyday than most shelters or soup kitchens!",2020-07-30 23:41:06+00:00,,,1288982986801651712,,https://twitter.com/SiebeforORD1/status/1288982986801651712,0,0,merewhiz29,
"last night was a hard, hard night. i need to go check in downtown with riot ribs and the medic tent, but i'm not staying tonight. and i'm taking tomorrow off. i need a night holding on to my 2 guys... right now i want to hold them tight and never let go.........",2020-07-30 23:39:51+00:00,,,1288982669754109953,,https://twitter.com/SiebeforORD1/status/1288982669754109953,5,10,,
"think about when you eat something really spicy..... does water make it better?? no. you need milk. with tear gas, milk of magnesia works best cuz of the chemical irritants. water would just make them burn a fuck ton worse and spread it.",2020-07-30 23:21:02+00:00,,,1288977937341980672,,https://twitter.com/SiebeforORD1/status/1288977937341980672,1,0,okiedokiecrisco,
"can be to fight back** sorry, i'm really tired...",2020-07-30 23:19:46+00:00,,,1288977614955139073,,https://twitter.com/SiebeforORD1/status/1288977614955139073,1,0,SiebeforORD1,
"we are all in it together. the more info we get out across the country, the more equipped we can fight back!",2020-07-30 23:19:15+00:00,,,1288977485757997056,,https://twitter.com/SiebeforORD1/status/1288977485757997056,1,0,Salem4Congress,
"if people don't have venmo, i have a paypal set up that goes into an account for this that we are using, too. paypal  yesterday we took $1050 in food, water, & ice down there. you've probably seen my dog, wheelchair, & i.",2020-07-30 23:18:13+00:00,,,1288977228143800321,,https://twitter.com/SiebeforORD1/status/1288977228143800321,0,2,SiebeforORD1,
"this is the only account we are using on the street to feed people. i am working with the guys in the tents flipping the burgers and turning the dogs and cooking the ribs every day. that's the account we are using to feed everyone. i have a hand in the books, too.",2020-07-30 23:15:16+00:00,,,1288976483478724608,,https://twitter.com/SiebeforORD1/status/1288976483478724608,0,0,SiebeforORD1,
