text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"prep campaign ambassadors needed for nys prep aware week and prep campaign! deadline to apply is monday, august 3. click here to apply: https://docs.google.com/forms/d/e/1faipqlsf0fdedqly8akori26fds4ujhiabnryroyt7t00s7w4twoihq/viewform rochesterny",2020-07-30 22:01:52+00:00,,#rochesterny,1288958011160100867,,https://twitter.com/TrilliumNY/status/1288958011160100867,0,0,,https://docs.google.com/forms/d/e/1FAIpQLSf0FdEDQlY8akORi26FdS4UjhiABnryroYt7t00S7w4twoiHQ/viewform
"send us a video of your spoken word talent! if you don’t want to be on camera, submissions where others read your poetry are also accepted. submit your entries here: https://www.dropbox.com/request/5xqgc1womazfdxnzazsn the winner gets a prize! the deadline to enter is tomorrow, 7/31. rochesterny",2020-07-30 16:02:56+00:00,,#rochesterny,1288867684961193985,,https://twitter.com/TrilliumNY/status/1288867684961193985,0,0,,https://www.dropbox.com/request/5xQgC1womazFdxnzazSn
"if you're looking for covid-19 testing, please call our covid-19 hotline at 585.545.7292. walk-ins are also accepted. visit our website for more information: http://ow.ly/vpdl50asvmh rochesterny",2020-07-30 14:04:28+00:00,,#rochesterny,1288837868979453952,,https://twitter.com/TrilliumNY/status/1288837868979453952,0,0,,http://ow.ly/vpDL50AsVmh
"prep campaign ambassadors needed for nys prep aware week and prep campaign! deadline to apply is monday, august 3. click here to apply: https://docs.google.com/forms/d/e/1faipqlsf0fdedqly8akori26fds4ujhiabnryroyt7t00s7w4twoihq/viewform rochesterny",2020-07-30 00:01:14+00:00,,#rochesterny,1288625663298220033,,https://twitter.com/TrilliumNY/status/1288625663298220033,0,0,,https://docs.google.com/forms/d/e/1FAIpQLSf0FdEDQlY8akORi26FdS4UjhiABnryroYt7t00S7w4twoiHQ/viewform
"send us a video of your spoken word talent! if you don’t want to be on camera, submissions where others read your poetry are also accepted. submit your entries here: https://www.dropbox.com/request/5xqgc1womazfdxnzazsn the winner gets a prize! the deadline to enter is friday, 7/31. rochesterny",2020-07-29 16:02:10+00:00,,#rochesterny,1288505102974750725,,https://twitter.com/TrilliumNY/status/1288505102974750725,0,0,,https://www.dropbox.com/request/5xQgC1womazFdxnzazSn
"we’ve gone virtual! join us on the aids red ribbon ride by riding, walking, or running any day in august. register today: http://www.aidsredribbonride.org. rochesterny roc",2020-07-29 14:03:27+00:00,,#rochesterny #ROC,1288475225953374210,,https://twitter.com/TrilliumNY/status/1288475225953374210,0,0,,http://www.AIDSRedRibbonRide.org
"prep campaign ambassadors needed for nys prep aware week and prep campaign! deadline to apply is monday, august 3. click here to apply: https://docs.google.com/forms/d/e/1faipqlsf0fdedqly8akori26fds4ujhiabnryroyt7t00s7w4twoihq/viewform rochesterny",2020-07-28 19:01:29+00:00,,#rochesterny,1288187840669659138,,https://twitter.com/TrilliumNY/status/1288187840669659138,0,0,,https://docs.google.com/forms/d/e/1FAIpQLSf0FdEDQlY8akORi26FdS4UjhiABnryroYt7t00S7w4twoiHQ/viewform
"send us a video of your spoken word talent! if you don’t want to be on camera, submissions where others read your poetry are also accepted. submit your entries here: https://www.dropbox.com/request/5xqgc1womazfdxnzazsn the winner gets a prize! the deadline to enter is friday, 7/31. rochesterny",2020-07-28 16:00:48+00:00,,#rochesterny,1288142369515331584,,https://twitter.com/TrilliumNY/status/1288142369515331584,0,0,,https://www.dropbox.com/request/5xQgC1womazFdxnzazSn
"if you're interested in std or hiv testing, we can mail a home-test kit to you for free! to fill out a request form, visit https://forms.gle/nfgzl4qghet2uhd66 rochesterny",2020-07-28 14:04:26+00:00,,#rochesterny,1288113087229255683,,https://twitter.com/TrilliumNY/status/1288113087229255683,0,0,,https://forms.gle/nfGZL4QGhEt2uHD66
we’re accepting new patients at the center for gynecological care & wellness! learn more at http://gyncarecenter.org rochesterny,2020-07-27 14:03:51+00:00,,#rochesterny,1287750551560691715,,https://twitter.com/TrilliumNY/status/1287750551560691715,0,0,,http://gyncarecenter.org
