text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"happybirthdaymedicaid! medicaid provides coverage for 2m+ north carolinians &amp; over 40% of all people living with hiv in the us. expandingmedicaid in nc would provide 500,000 adults including 150,000 living with substance use disorder access to preventive care &amp; treatment.",2020-07-30 15:58:07+00:00,,#HappyBirthdayMedicaid #ExpandingMedicaid,1288866471230218249,,https://twitter.com/WNCAP/status/1288866471230218249,0,0,,
"tomorrow on facebook live, southern aids coalition hosts a saving ourselves symposium on importance of including black same-gender loving (sgl) men in clinical hiv research. sgl virtualblackprint eliminatingracism endstigma blackasheville gayasheville blackhealthmatters",2020-07-29 19:43:50+00:00,,#SGL #VirtualBlackPrint #EliminatingRacism #endstigma #BlackAsheville #gayasheville #blackhealthmatters,1288560885875781632,,https://twitter.com/WNCAP/status/1288560885875781632,0,1,,
"today, on worldhepatitisday lets raise awareness about the growing epidemic of hepatitisc in wnc &amp; globally. remember: wncap is always available for free, fast &amp; confidential hepc testing. and if you do have hep c, we can hook you up with affordable treatment harmreduction",2020-07-28 13:02:43+00:00,,#WorldHepatitisDay #HepatitisC #WNC #HepC #harmreduction,1288097556153749504,,https://twitter.com/WNCAP/status/1288097556153749504,0,0,,
wncap is delighted to be the current masks of love wnc community partner. the folks at mol have come together to use their skills and talents to help keep wnc residents safe. donate to protect publichealth today! wearamask 828isgreat http://masksoflove.org,2020-07-22 13:02:41+00:00,,#WNC #publichealth #wearamask #828isgreat,1285923219120291840,,https://twitter.com/WNCAP/status/1285923219120291840,0,1,,http://masksoflove.org
"“we need to support all our brothers and sisters who are living with hiv/ aids. their lives are precious... "" - john lewis, national black hiv/aids awareness day 2020 and pictured in 2016 taking an hiv test. goodtrouble hiv 828isgreat blackasheville",2020-07-20 13:37:11+00:00,,#goodtrouble #HIV #828isgreat #BlackAsheville,1285207124663062533,,https://twitter.com/WNCAP/status/1285207124663062533,0,0,,
"tonight 7pm et live via the southern aids coalition facebook page, the virtual black print. a conversation on the state of black lgbtq+ with charles stephens of counter narrative project and more. this is the first in the saving ourselves symposium series. https://www.facebook.com/events/308268423634929",2020-07-16 21:49:46+00:00,,,1283881537277222913,,https://twitter.com/WNCAP/status/1283881537277222913,0,0,,https://www.facebook.com/events/308268423634929
shout out to abipa. wncap received 15 nutritious food boxes which were distributed to people living w/hiv &amp; people visiting our syringe services. food insecurity is a common struggle. thanks to abipa 4 all they do. (jennifer poore &amp; martha shirano) ashevillestrong 828isgreat,2020-07-13 20:16:36+00:00,,#ABIPA #Ashevillestrong #828isgreat,1282770926732488704,,https://twitter.com/WNCAP/status/1282770926732488704,1,1,,
a1: we know from arkansas and other states that work requirements filter out people who are working but don't have the resources to fill out the complex paperwork that comes with work requirements medicaid4bl,2020-07-13 18:25:45+00:00,,#Medicaid4BL,1282743031985319937,,https://twitter.com/WNCAP/status/1282743031985319937,0,3,NCAIDSAction,https://twitter.com/NCAIDSAction/status/1282736995048071168
thank you to all who participated in our  virtual screening! all proceeds have been donated to  to help protect and defend black trans lives. we are grateful for our kind &amp; inclusive community blacktranslivesmatter https://marshap.org/,2020-07-13 17:00:24+00:00,,#blacktranslivesmatter #blacktranslivesmatter,1282721554078597129,@BornToBeFilm @MPJInstitute,https://twitter.com/WNCAP/status/1282721554078597129,0,0,,https://marshap.org/
"last chance to stream ""born to be"", an incredible doc about pioneering, gender-affirming surgery. email mpoandl.org for the exclusive streaming link - which expires tonight at 11:30pm. all proceeds go to  blacktranslivesmatter http://wncap.org/born-to-be/",2020-07-10 18:03:17+00:00,,#BlackTransLivesMatter #BlackTransLivesMatter,1281650215703818240,@MPJInstitute,https://twitter.com/WNCAP/status/1281650215703818240,0,0,,http://wncap.org/born-to-be/
