text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
and...steroids can also make people feel wonderful(time limited of course),2020-07-30 19:47:21+00:00,,,1288924162069798920,,https://twitter.com/ZacharySagerMD/status/1288924162069798920,0,0,jack_turban,
beautiful piece by  on serving those who served. “i feel like i’m in vietnam”—reminder covid may lead veterans to reengage with memories that may be distressing. a central part of my practice lately has been asking if they have been thinking more about their service.,2020-07-30 00:12:51+00:00,,,1288628589320196104,@meggerber,https://twitter.com/ZacharySagerMD/status/1288628589320196104,1,2,meggerber,https://twitter.com/meggerber/status/1288596633106690048
pallicovid chat today at 5pm est with  focusing on how covid19 has impacted other members of our hapc idts. how are you addressing this in your teams and systems? how is it impacting learners? sign up on pinned tweet. medtwitter,2020-07-29 14:29:34+00:00,,#pallicovid #COVID19 #hapc #medtwitter,1288481798075437056,@BlackhallLeslie,https://twitter.com/ZacharySagerMD/status/1288481798075437056,0,3,,
"i ultimately continued to care for this person in a variety of contexts over the years, and that first experience strengthened our working alliance, despite the pain it caused at first. if the statement came from a place of hate, not anger & suffering i’d likely feel different.",2020-07-29 14:02:46+00:00,,,1288475055891128321,,https://twitter.com/ZacharySagerMD/status/1288475055891128321,0,0,ZacharySagerMD,
"later when i retried the assessment i started by acknowledging how what they said hurt me, and that i wanted to understand how they felt about the experience. the person felt bad and acknowledged they were angry and suffering, and we were able to complete the assessment.",2020-07-29 13:59:44+00:00,,,1288474292326477824,,https://twitter.com/ZacharySagerMD/status/1288474292326477824,1,0,ZacharySagerMD,
"i’m so sorry this happened to you. in the past, when a patient has lobbed something like that at me(different circumstance) i’ve told them that what they said hurt, and that i didn’t feel like i could care for them in this moment in the way i want to. asked them wait in the lobby",2020-07-29 13:57:23+00:00,,,1288473700686331906,,https://twitter.com/ZacharySagerMD/status/1288473700686331906,1,0,CBlotner_,
the white coats lack pen stains and pockets stuffed with old graham cracker wrappers...so i’m going to go with fake doctors,2020-07-28 04:11:24+00:00,,,1287963845819011079,,https://twitter.com/ZacharySagerMD/status/1287963845819011079,0,0,Peter_Grinspoon,
"the safety data is tremendously clear(both in naturalistic use and scientific studies), efficacy less clear(if you only consider rcts as evidence), and as always, important to include the disclaimer that the scheduling of drugs is absolutely devoid of any and all science.",2020-07-27 21:03:47+00:00,,,1287856232506761217,,https://twitter.com/ZacharySagerMD/status/1287856232506761217,0,0,drrickbarnett,
"lack of role models contributes, and i think psychiatrists can be pretty death phobic. in psych residency the deaths/near deaths seen are largely suicide related, so a normal process is patholgized. you’re just not normally exposed to eol in most psych programs, even w/ geri&cl.",2020-07-26 18:10:08+00:00,,,1287450144800219138,,https://twitter.com/ZacharySagerMD/status/1287450144800219138,0,0,ZacharySagerMD,
"psych residents are always surprised that you can do hpm from psych, and the false belief you need to know medicine like an internist. at least a few years ago programs told me they only interview im/fp residents, but i hope that’s changed. 1/2",2020-07-26 18:05:32+00:00,,#HPM,1287448984802545666,,https://twitter.com/ZacharySagerMD/status/1287448984802545666,1,0,ctsinclair,
it’s a hobby! i will say looking at zillow is more exciting.,2020-07-23 12:46:24+00:00,,,1286281507980693509,,https://twitter.com/ZacharySagerMD/status/1286281507980693509,0,0,meggerber,
this so much. take system failures and blame the individual.,2020-07-22 22:09:38+00:00,,,1286060863691141120,,https://twitter.com/ZacharySagerMD/status/1286060863691141120,1,0,DrDaniJackson,
"i feel like i look for jobs as much as i look at zillow, which is to say everyday",2020-07-22 20:37:25+00:00,,,1286037655168458752,,https://twitter.com/ZacharySagerMD/status/1286037655168458752,1,0,meggerber,
"one thing is for sure, they need some work on their chant game",2020-07-22 20:35:08+00:00,,,1286037080733372416,,https://twitter.com/ZacharySagerMD/status/1286037080733372416,0,0,ZachWritesStuff,
it could also be an opportunity to highlight the different power dynamic and ask what would be the preferred way to address the person. then you could point out the disparity and model that this is tough to navigate for a lot of folks.,2020-07-22 15:56:11+00:00,,,1285966881996902403,,https://twitter.com/ZacharySagerMD/status/1285966881996902403,0,0,BlackhallLeslie,
pallicovid chat today at 5pm est with ! come join our supportive place to discuss what you’re experiencing as a hapc clinician during this pandemic. sign up on pinned tweet. medtwitter,2020-07-22 15:28:21+00:00,,#pallicovid #hapc #medtwitter,1285959879811895297,@BlackhallLeslie,https://twitter.com/ZacharySagerMD/status/1285959879811895297,0,3,,
so you’re saying you probably won’t work for them?,2020-07-20 13:43:49+00:00,,,1285208796655046656,,https://twitter.com/ZacharySagerMD/status/1285208796655046656,0,0,ZachWritesStuff,
i’m sorry you are having to deal with this. ,2020-07-16 21:57:00+00:00,,,1283883358720790529,,https://twitter.com/ZacharySagerMD/status/1283883358720790529,1,0,LizLilleyMD,
hasan minhaj did a great piece on this https://m.youtube.com/watch?v=7xqqkzwhmoc and then created the free tax website:,2020-07-16 12:13:34+00:00,,,1283736531157618688,,https://twitter.com/ZacharySagerMD/status/1283736531157618688,0,0,QueenMD2024,"https://m.youtube.com/watch?v=7xQQkzWhMOc,http://turbotaxsucksass.com"
,2020-07-16 01:21:08+00:00,,,1283572340505432064,,https://twitter.com/ZacharySagerMD/status/1283572340505432064,0,0,zachcanole,
thank you christian! hard to believe we’ve been doing it weekly since march 18.,2020-07-15 17:10:57+00:00,,,1283448984288350208,,https://twitter.com/ZacharySagerMD/status/1283448984288350208,0,0,ctsinclair,
"i mean, not surprising given uva frats also brought us the foxfields trough dive.",2020-07-15 17:09:02+00:00,,,1283448500559151106,,https://twitter.com/ZacharySagerMD/status/1283448500559151106,0,0,BlackhallLeslie,
good to hear—and hopefully it will be more accepted state side soon. a big hurdle is payment system—using an off label med for this specific indication. curious if others get it kicked back by payors,2020-07-15 16:24:23+00:00,,,1283437265230991362,,https://twitter.com/ZacharySagerMD/status/1283437265230991362,1,0,nomorekites90,
wednesday means pallicovid chat at 5pm est with ! how are clinician-parents navigating return to in person visits and potential return to school this fall? join with anything else that’s on your mind too. sign up on pinned tweet. medtwitter,2020-07-15 15:57:50+00:00,,#pallicovid #medtwitter,1283430581376823300,@BlackhallLeslie,https://twitter.com/ZacharySagerMD/status/1283430581376823300,0,2,,
makes sense—see this in + utox well past when i think fentanyl will be there. makes the case that maybe we should be using bup microdose or butrans to suboxone initiation?,2020-07-15 13:12:03+00:00,,,1283388859678588931,,https://twitter.com/ZacharySagerMD/status/1283388859678588931,2,0,Dinahlew,
can’t get much more socially distant than the middle fork!,2020-07-13 17:29:49+00:00,,,1282728955754303494,,https://twitter.com/ZacharySagerMD/status/1282728955754303494,1,0,XimenaLevander,
"no, but it’s a perfectly good excuse to be embrace the look i’m going for: https://media.theradavist.com/uploads/2019/06/photo-may-31-4-27-40-pm.jpg?fit=2000,2000&amp;quality=75",2020-07-13 13:21:52+00:00,,,1282666555361329156,,https://twitter.com/ZacharySagerMD/status/1282666555361329156,0,0,WFKARS,"https://media.theradavist.com/uploads/2019/06/Photo-May-31-4-27-40-PM.jpg?fit=2000,2000&quality=75"
awesome! did you go through the lottery for the reservation?,2020-07-13 13:06:06+00:00,,,1282662589592461313,,https://twitter.com/ZacharySagerMD/status/1282662589592461313,1,0,XimenaLevander,
"ugh, i’m so sorry you have to go through this. i will echo , often an initial dialog in therapy is discussion on how things will be documented and diagnosed. therapy should never be used as a weapon against a person.",2020-07-12 15:46:59+00:00,,,1282340687602647040,@drjessigold,https://twitter.com/ZacharySagerMD/status/1282340687602647040,0,0,Ledgemd,
i picked the wrong field,2020-07-11 13:48:50+00:00,,,1281948565695352833,,https://twitter.com/ZacharySagerMD/status/1281948565695352833,1,0,EarlCampbellMD,
"i’m so sorry you’re having to experience this too. go easy on yourself, take breaks, and know what you do is enough.",2020-07-11 13:46:24+00:00,,,1281947954392203264,,https://twitter.com/ZacharySagerMD/status/1281947954392203264,0,0,drcarroll,
"it was great to contribute to this piece, and hope it’s some practical tips for making telehealth trauma informed! what would medtwitter add?",2020-07-10 20:15:56+00:00,,#medtwitter,1281683594193383431,,https://twitter.com/ZacharySagerMD/status/1281683594193383431,1,2,meggerber,https://twitter.com/meggerber/status/1281315958901145600
"despite med school, residency, fellowship training and now research fellowship training i still feel as though the most important thing i can do for patients is find them ice cream.",2020-07-10 15:46:37+00:00,,,1281615821450686465,,https://twitter.com/ZacharySagerMD/status/1281615821450686465,0,0,relatableafmd,
tomatoes look great though! mine are runty this year.,2020-07-09 17:25:14+00:00,,,1281278248513609731,,https://twitter.com/ZacharySagerMD/status/1281278248513609731,1,0,KristinMDCT,
black dots make me think septoria,2020-07-09 15:55:41+00:00,,,1281255716179886082,,https://twitter.com/ZacharySagerMD/status/1281255716179886082,1,0,KristinMDCT,https://www.canr.msu.edu/news/septoria_leaf_spot_on_tomatoes_preventing_spots_before_your_eyes
"congrats! well deserved, you rock.",2020-07-09 15:52:46+00:00,,,1281254978611527682,,https://twitter.com/ZacharySagerMD/status/1281254978611527682,0,0,KathleenBroglio,
probably says more about the state of medicine and less the applicant that a meaningless score on a crappy test is the deciding factor of becoming a doctor or not.,2020-07-08 18:39:26+00:00,,,1280934534696120322,,https://twitter.com/ZacharySagerMD/status/1280934534696120322,0,0,mdlizs,
let’s hope he’s not going back up on the roof,2020-07-08 16:49:39+00:00,,,1280906907994202119,,https://twitter.com/ZacharySagerMD/status/1280906907994202119,0,0,Rxpalli8r,
i really want to know what’s in the fanny pack,2020-07-08 16:27:57+00:00,,,1280901444938457088,,https://twitter.com/ZacharySagerMD/status/1280901444938457088,1,0,skochb,
,2020-07-08 16:26:18+00:00,,,1280901030855806976,,https://twitter.com/ZacharySagerMD/status/1280901030855806976,0,0,zachcanole,
"wednesday means pallicovid chat at 5pm est with ! with hospitals/clinics seeing return to in person visits&amp;visitors, whose job does it become to enforce mask wearing? are clinicians adding 'mask enforcer' to their job title? sign up on pinned tweet. medtwitter",2020-07-08 14:27:42+00:00,,#pallicovid #medtwitter,1280871186390532107,@BlackhallLeslie,https://twitter.com/ZacharySagerMD/status/1280871186390532107,0,0,,
