text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
fascinating commentary about who gets clemency and why in california.,2020-07-27 14:10:10+00:00,,,1287752142057594881,,https://twitter.com/_tomdalton/status/1287752142057594881,0,3,,https://www.bakersfield.com/opinion/other-voices-california-clemency-needs-an-overhaul-an-old-regulation-can-enhance-fairness/article_d67c5f02-cadf-11ea-8163-67c7495229ee.html
 and thank you!,2020-07-26 15:03:51+00:00,,,1287403262661058562,,https://twitter.com/_tomdalton/status/1287403262661058562,0,1,GovPhilScott,https://twitter.com/GovPhilScott/status/1287096864387616769
,2020-07-23 22:52:04+00:00,,,1286433930804109318,,https://twitter.com/_tomdalton/status/1286433930804109318,0,0,BrendaForVT,https://twitter.com/i/events/930636909436637185?s=21
time is overdue to establish supervised consumption sites in vermont. they save lives and link people to treatment and recovery.,2020-07-23 20:58:04+00:00,,,1286405242628780033,,https://twitter.com/_tomdalton/status/1286405242628780033,0,4,SarahFairVT,https://twitter.com/SarahFairVT/status/1286295500929609728
overdose deaths are up and treatment admissions are down . h.162 must be part of our urgent response to covid19 and the opioid crisis this session. https://legalizerecovery.com/vermont/       ,2020-07-18 01:51:42+00:00,,,1284304808766255104,@MitziJohnsonVT @TimAsheVT @JKrowinski @VT_Dylan @GovPhilScott @healthvermont @sevendaysvt,https://twitter.com/_tomdalton/status/1284304808766255104,0,2,V4CJR,"https://legalizerecovery.com/vermont/,https://twitter.com/V4CJR/status/1284274244998836225"
vermont covid19 in the past week... 50 presumed cases in manchester positive case at a summer camp positive case at a prison new cases in at least seven counties mandate masks !,2020-07-17 00:09:05+00:00,,,1283916598340878336,@GovPhilScott,https://twitter.com/_tomdalton/status/1283916598340878336,2,13,,
new covid19 cases in six vermont counties today alone!,2020-07-16 02:00:17+00:00,,,1283582195085516801,,https://twitter.com/_tomdalton/status/1283582195085516801,0,1,BrendaForVT,https://twitter.com/BrendaForVT/status/1283403019003068416
 covid19 update: overdoses are up and treatment admissions are down in vt. we need h.162 emergency access to the survival medication buprenorphine now more than ever!     vtpoli  ,2020-07-12 23:14:51+00:00,,#VT #vtpoli,1282453396943970304,@MitziJohnsonVT @TimAsheVT @GovPhilScott @healthvermont @sevendaysvt @vtdigger,https://twitter.com/_tomdalton/status/1282453396943970304,0,3,,https://journals.sagepub.com/doi/abs/10.1177/1073110520935353?journalCode=lmec#articleShareContainer
" more today. this virus is not “boxed in” as  and  claim! new cases in orange county, caledonia county, lamoille county, washington county and chittenden county today alone!",2020-07-05 23:49:09+00:00,,,1279925313561145344,@GovPhilScott @healthvermont,https://twitter.com/_tomdalton/status/1279925313561145344,0,1,_tomdalton,https://twitter.com/_tomdalton/status/1279078733215924224
 new cases yesterday and more today. mask up vermont!,2020-07-03 15:45:08+00:00,,,1279078733215924224,,https://twitter.com/_tomdalton/status/1279078733215924224,0,4,,
