text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"""moving on & forgetting is much harder when you & your ancestors have been hurt & your trust violated countless times."" in this  piece i discuss how we need to listen to our patients' experiences &amp; the work we need to do to earn their trust.",2020-07-30 21:44:08+00:00,,,1288953551209799680,@doximity,https://twitter.com/back2brains/status/1288953551209799680,0,0,,https://opmed.doximity.com/articles/why-should-our-patients-trust-us-when-we-do-not-trust-them
"thank you, that makes sense & also explains why pregnant women & children are told to stay >6ft away.",2020-07-30 17:41:56+00:00,,,1288892597692436480,,https://twitter.com/back2brains/status/1288892597692436480,0,0,MadScientistPhD,
the vet says that when oscar comes home from his radioiodine treatment we must stay 3ft away for a week b/c he's giving off gamma radiation. but i thought gamma radiation travels quite far so i'm confused as to why 3ft is protective. any smart people know more about this?,2020-07-30 17:30:57+00:00,,,1288889832115183617,,https://twitter.com/back2brains/status/1288889832115183617,1,0,,
i look forward to hearing your episode!,2020-07-30 17:12:03+00:00,,,1288885077053775872,,https://twitter.com/back2brains/status/1288885077053775872,0,0,JessLynnMoreno,
that is both rude and unnecessary. sorry you have to deal with that review.,2020-07-30 17:11:28+00:00,,,1288884932534730752,,https://twitter.com/back2brains/status/1288884932534730752,0,0,JessLynnMoreno,
"this sounds very similar to the fun process i went through for my most recent irb survey submission. although the best part was when they argued that i should make the survey required b/c more data is better. i mean, i agree but that kind of negates the whole optional thing.",2020-07-30 03:55:21+00:00,,,1288684582393589760,,https://twitter.com/back2brains/status/1288684582393589760,0,0,ampeckham,
we're supposed to be doing our hair for zoom meetings? i'm just embracing the wild look.,2020-07-29 16:55:39+00:00,,,1288518564517945346,,https://twitter.com/back2brains/status/1288518564517945346,1,0,AndreaWoo,
i’m glad i’m not the only one! it was worse b/c with covid restrictions we couldn’t even take him in & get him settled. it’s taking a lot of restraint to not call them every hour to check in!,2020-07-28 20:49:25+00:00,,,1288215002902560768,,https://twitter.com/back2brains/status/1288215002902560768,0,0,sarahevictor,
"well, at least we got a laugh when we dropped him off today. the vet explained that cat radioiodine treatments had stricter regulations than human treatments b/c humans follow the directions of their doctors & cats don’t. we have very different experiences of humans.",2020-07-28 18:11:50+00:00,,,1288175346026795009,,https://twitter.com/back2brains/status/1288175346026795009,0,0,back2brains,https://twitter.com/back2brains/status/1287783808889217038
"i definitely underestimated how much worrying about this cat was going to distract me from working this week. based on the fact that he hasn’t left my side in a week, i think he knows he’s going to the kitty hospital tomorrow for his 4 day radioactive vacation.",2020-07-27 16:16:00+00:00,,,1287783808889217038,,https://twitter.com/back2brains/status/1287783808889217038,3,0,,
just a general overview of types of harm reduction behavior.,2020-07-24 04:05:05+00:00,,,1286512702278467585,,https://twitter.com/back2brains/status/1286512702278467585,1,0,NathanRexSmith,
"as bad as the original publication is, i really appreciate how quickly medtwitter responded to this. i love that my timeline is currently filled with unapologetic pictures of physicians &amp; physicians in training having fun &amp; being comfortable in their bodies.",2020-07-24 04:04:10+00:00,,#MedTwitter,1286512474779516928,,https://twitter.com/back2brains/status/1286512474779516928,1,0,MaaloufMD,https://twitter.com/MaaloufMD/status/1286467106662420482
does anyone know if there are any good validated assessments of harm reduction activities? we are looking at both substance use harmreduction (e.g. naloxone acquisition) &amp; sexual harm reduction (e.g. condom use). please &amp; thank you!,2020-07-23 22:26:19+00:00,,#harmreduction #naloxone,1286427452026368006,,https://twitter.com/back2brains/status/1286427452026368006,1,2,,
"oh yes, this helps me too. at bedtime i've been listening to audiobooks that i already know that have positive plots. it's just enough stimulation to stop my brain from wandering.",2020-07-23 22:13:45+00:00,,,1286424288187293696,,https://twitter.com/back2brains/status/1286424288187293696,1,0,BlueEyedLucille,
"singing along to music i know well. it helps regulate breathing & i can't get the words right if my brain is thinking about other things. also, exercise that requires my brain. i started doing ddr again recently & i have to focus on the arrows so my brain can't be thinking.",2020-07-23 22:11:48+00:00,,,1286423798649159682,,https://twitter.com/back2brains/status/1286423798649159682,1,0,DontMissTheSun,
"never underestimate the power of a supportive email. also, ""i'm glad you reached out"" is such an important phrase. as students, we often feel as though we shouldn't take up the time of faculty so statements that confirm that it was okay to reach out are incredibly helpful.",2020-07-23 18:29:23+00:00,,,1286367825632919552,,https://twitter.com/back2brains/status/1286367825632919552,0,3,,
"there is nothing like receiving a copy of someone's letter of recommendation for you when you are having a bad day. whenever possible, share letters of rec with the people you write them for. it can be very uplifting to see how others perceive you & your successes.",2020-07-21 21:26:53+00:00,,,1285687719360958472,,https://twitter.com/back2brains/status/1285687719360958472,0,0,,
i don't think i've seen anything that represents my life in grad school as well as this!,2020-07-21 21:16:41+00:00,,,1285685151381553153,,https://twitter.com/back2brains/status/1285685151381553153,0,0,drrachelbrenner,https://twitter.com/drrachelbrenner/status/1285679323572314112
"and before people complain about needing to comment on someone's body to compliment them or whatever, just don't. there are so many ways to compliment someone without discussing their body.",2020-07-21 19:09:32+00:00,,,1285653152822292480,,https://twitter.com/back2brains/status/1285653152822292480,0,0,,
let's make this simple: don't comment on people's bodies unless they ask you to. it's not that hard.,2020-07-21 19:08:19+00:00,,,1285652844545290241,,https://twitter.com/back2brains/status/1285652844545290241,1,0,thoughtsofaphd,https://twitter.com/thoughtsofaphd/status/1285529518489378816
