text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
a country so great even the haters won’t leave! can i get a retweet!!  trumppence2020 trump2020 walkaway $spy $tsla $amzn $fb $ge $xspa $aytu $qqq bitcoin portland $sgbx $ears $ibio $visl $ba $baba,2020-07-27 02:54:06+00:00,,#TrumpPence2020 #trump2020 #walkaway #bitcoin #bitcoin #Portland,1287582005480361990,@realDonaldTrump,https://twitter.com/bullishstocks7/status/1287582005480361990,0,0,,
can you explain how this works. he got a share and a warrant for .30 but they can’t execute those warrants till .35,2020-07-22 02:51:07+00:00,,,1285769314050748416,,https://twitter.com/bullishstocks7/status/1285769314050748416,0,0,TradingForGreen,
,2020-07-22 02:49:57+00:00,,,1285769020092960768,,https://twitter.com/bullishstocks7/status/1285769020092960768,0,0,TradingForGreen,
warrants are at .35 right?,2020-07-22 02:30:24+00:00,,,1285764099645870085,,https://twitter.com/bullishstocks7/status/1285764099645870085,1,0,TradingForGreen,
well buy it up man! i’ll slap it for 10k more tomorrow,2020-07-22 02:30:13+00:00,,,1285764054926188546,,https://twitter.com/bullishstocks7/status/1285764054926188546,0,0,TradingForGreen,
$aapl $tops $tsla $amzn $chk $spy $qqq $nova $f $ge $bkyi $xbio $ibio $aim $ears $pixy $ctrm $glbs $ship $esea if you want your account to look like this month after month then hit the follow button! i’ll be sharing all my buys and sells if anyone wants to tag along!!!,2020-07-22 02:27:38+00:00,,,1285763403890466818,,https://twitter.com/bullishstocks7/status/1285763403890466818,0,0,,
how soon till it’s gonna cross? 3 days?,2020-07-22 02:18:05+00:00,,,1285760999505698816,,https://twitter.com/bullishstocks7/status/1285760999505698816,1,0,TradingForGreen,
 where do you post your picks?,2020-07-22 02:15:47+00:00,,,1285760421140602880,@MoneylineMark,https://twitter.com/bullishstocks7/status/1285760421140602880,0,0,,
silence??? now is your chance to be telling investors every move. anything can be turned into a pr. silence scares investors,2020-07-21 23:58:06+00:00,,,1285725774667026432,,https://twitter.com/bullishstocks7/status/1285725774667026432,0,0,sgblocks,
free??,2020-07-20 23:11:53+00:00,,,1285351753597231104,,https://twitter.com/bullishstocks7/status/1285351753597231104,1,0,BuyerHigh,
what app is this,2020-07-20 07:46:01+00:00,,,1285118753282371584,,https://twitter.com/bullishstocks7/status/1285118753282371584,1,0,BuyerHigh,
how many think the radical left is being too dramatic about the coronavirus? $spy $tsla $amzn $fb $zom $xspa $aapl $qqq $nova $f,2020-07-14 03:01:29+00:00,,,1282872819437768704,,https://twitter.com/bullishstocks7/status/1282872819437768704,1,0,,
"who will win the 2020 election? not who do you want to win, who do you think will win??? $spy $tsla $amzn $fb $qqq $xspa $vxrt dowjones covid19 als $baba $ba $tops $ship",2020-07-14 02:13:21+00:00,,#dowjones #COVID19 #ALS,1282860705608273923,,https://twitter.com/bullishstocks7/status/1282860705608273923,0,1,,
$aapl $amzn $tsla $xspa $fb $f $spy $qqq please retweet for so we can get more accurate votes! who is better to vote for to restore this economy?,2020-07-14 00:57:28+00:00,,,1282841611081220097,,https://twitter.com/bullishstocks7/status/1282841611081220097,0,3,,
what is the pricing for these? looking for a couple houses to be built,2020-07-10 21:54:12+00:00,,,1281708326645108736,,https://twitter.com/bullishstocks7/status/1281708326645108736,0,0,sgblocks,
blm covid19   $tsla $amzn $aytu $xspa $fb $spy can i get a retweet,2020-07-10 21:52:36+00:00,,#blm #COVID19,1281707924847497216,@FoxNews @CNN,https://twitter.com/bullishstocks7/status/1281707924847497216,0,0,CGIContainer,https://twitter.com/CGIContainer/status/1281667263406448640
will all my friends please retweet this!  $sgbx $vxrt  covid19,2020-07-08 18:52:47+00:00,,#COVID19,1280937895935856641,@CNN @FoxNews,https://twitter.com/bullishstocks7/status/1280937895935856641,0,1,sgblocks,https://twitter.com/sgblocks/status/1280901191115948032
just because you haven’t seen or experienced him doesn’t make him not real,2020-07-08 01:52:35+00:00,,,1280681152160940034,,https://twitter.com/bullishstocks7/status/1280681152160940034,1,0,xannygolden,
so it’s more of a “i wanna live my life my way” scenario and don’t need some god giving you any rules or whatever so you just choose not to believe? or it’s ive studied and done a ton of research and don’t believe it’s real?,2020-07-08 01:21:08+00:00,,,1280673240327782400,,https://twitter.com/bullishstocks7/status/1280673240327782400,1,0,acnhisout,
so what makes you atheist?,2020-07-08 01:19:00+00:00,,,1280672702953590785,,https://twitter.com/bullishstocks7/status/1280672702953590785,1,0,xannygolden,
so serious question. where do you think you will go when you die?,2020-07-06 01:45:43+00:00,,,1279954651388018688,,https://twitter.com/bullishstocks7/status/1279954651388018688,1,0,adoretheria,
what made you an atheist if your family is christian? just curious what turned you away from it?,2020-07-06 01:15:03+00:00,,,1279946932614508545,,https://twitter.com/bullishstocks7/status/1279946932614508545,1,0,acnhisout,
can you explain what you mean by i’m atheist but i believe in god?,2020-07-06 01:14:13+00:00,,,1279946724325326849,,https://twitter.com/bullishstocks7/status/1279946724325326849,1,0,diziscult,
why did you go to church camp if you are atheist?,2020-07-06 01:13:35+00:00,,,1279946561426984961,,https://twitter.com/bullishstocks7/status/1279946561426984961,1,0,xannygolden,
where do you think christmas came from?,2020-07-06 01:12:18+00:00,,,1279946238838915072,,https://twitter.com/bullishstocks7/status/1279946238838915072,1,0,adoretheria,
they have covid test too? or just shipping containers?,2020-06-25 12:29:29+00:00,,,1276130393440256000,,https://twitter.com/bullishstocks7/status/1276130393440256000,1,0,Sauron_Trading,
they are covid?,2020-06-15 03:36:09+00:00,,,1272372296271921153,,https://twitter.com/bullishstocks7/status/1272372296271921153,0,0,BigSwings101,
more like freedom. people don’t have to go out they could stay home.,2020-06-13 01:12:38+00:00,,,1271611403481341953,,https://twitter.com/bullishstocks7/status/1271611403481341953,0,0,fattyvibeszx,
