text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this actually made me lol,2020-07-30 20:31:44+00:00,,,1288935329651740676,,https://twitter.com/elizabethbrico/status/1288935329651740676,0,0,ASFleischman,
yes haha. but now that i think of it i took my daughters to see frozen 2...so i guess i'm being frozen to death by an ice queen? or something,2020-07-30 18:14:54+00:00,,,1288900892427788288,,https://twitter.com/elizabethbrico/status/1288900892427788288,0,0,ZachWritesStuff,
"this is especially horrifying for me b/c i can't even make choices about my kids' health-florida took that power from me, baselessly. take a look: https://www.change.org/reunitebricofamily at least i get to see them..countless parents are denied basic fostersystem contact during covid",2020-07-30 17:00:36+00:00,,#Florida #fostersystem #COVID,1288882194669277191,,https://twitter.com/elizabethbrico/status/1288882194669277191,0,0,GeorgeTakei,https://www.change.org/ReuniteBricoFamily
hmmmmm i'm going to become a horse-man.,2020-07-30 16:52:59+00:00,,,1288880280057643010,,https://twitter.com/elizabethbrico/status/1288880280057643010,1,0,ZachWritesStuff,
"""this mom is being treated unfairly. her children need her."" -- dee enst. please sign this petition to reunite a family separated by the usgovernment: http://chng.it/4gdcf5cs via  florida returnthekids returnthebricogirls sendnellyhome sendbellyhome helpfamilies",2020-07-30 16:52:17+00:00,,#petition #USGovernment #Florida #ReturntheKids #ReturntheBricoGirls #SendNellyHome #SendBellyHome #HelpFamilies,1288880101841674242,@Change,https://twitter.com/elizabethbrico/status/1288880101841674242,0,0,,http://chng.it/4GDcf5CS
yo me too,2020-07-30 15:05:48+00:00,,,1288853306266341377,,https://twitter.com/elizabethbrico/status/1288853306266341377,0,0,TheSarahFader,
my petition has slowed a lot today. nothing has changed. please keep signing &amp; sharing. reunite the brico babies with their mama - sign the petition! http://chng.it/5cchglqj via  returnthebricogirls sendbellyhome sendnellyhome legalizemotherhood abolishcps helpus,2020-07-30 03:23:52+00:00,,#petition #ReturntheBricoGirls #SendBellyHome #SendNellyHome #LegalizeMotherhood #abolishCPS #HelpUs,1288676658464129029,@Change,https://twitter.com/elizabethbrico/status/1288676658464129029,0,0,,http://chng.it/5cChgLqj
"""this mother deserves to be reunited with her children - dueprocess was not realized in this case!"" -connie rossi's reason for signing my petition seeking the return of my daughters after they were forcibly &amp; unjustly adopted by cps. plz sign &amp; rt:",2020-07-29 22:58:37+00:00,,#DueProcess #petition #adopted #CPS #RT,1288609906338205702,,https://twitter.com/elizabethbrico/status/1288609906338205702,0,2,,http://chng.it/gcbHyxv7
"""this is disgusting behaviour & these children need to be home with their mum"" - eleanor butterworth's reason for signing this petition. help two little girls go home--add your name today: http://chng.it/xdt78pcz via ",2020-07-29 15:40:36+00:00,,#petition,1288499676967325696,@Change,https://twitter.com/elizabethbrico/status/1288499676967325696,0,0,,http://chng.it/XdT78PCZ
"the fact is that the constitution guarantees family integrity and equal rights to all citizens--yet in practice it regularly divides black, latinx, and nativeamerican families for reasons that amount to perceptions, suspicions, and biases. it's unethical&amp; unconstitutional",2020-07-29 03:45:55+00:00,,#constitution #citizens #Black #Latinx #NativeAmerican #unethical #unconstitutional,1288319821512355840,,https://twitter.com/elizabethbrico/status/1288319821512355840,1,0,,
"family integrity is a constitutionalright, and it is one that has been denied me, my husband, and my children *by our own government* my family didn't come to this country to be split apart and harmed by our government...that's why they left cuba. plz sign &amp; support our rights!",2020-07-29 03:45:55+00:00,,#constitutionalright #government,1288319820455346176,,https://twitter.com/elizabethbrico/status/1288319820455346176,1,0,,
"""children are always better off with their parents [who] love them more than themselves."" - lisa hoefling's reason for signing my petition: http://chng.it/l6c8vz2y if you love this country &amp; what it stands for, then you should not be ok when its government tries to undo that.",2020-07-29 03:45:55+00:00,,#petition,1288319819457220608,,https://twitter.com/elizabethbrico/status/1288319819457220608,1,1,,http://chng.it/L6C8vZ2Y
"elizabeth brico is dead • betty's battleground http://www.bettysbattleground.com/2018/08/31/elizabeth-brico-is-dead/more-3954 i remember writing this strangeness. i still had hope then, ironically.",2020-07-29 02:08:55+00:00,,,1288295408175849474,,https://twitter.com/elizabethbrico/status/1288295408175849474,0,0,,http://www.bettysbattleground.com/2018/08/31/elizabeth-brico-is-dead/#more-3954
"wrong. the correct answer is ""because i'm an overly attractive person who says i have an awful face.""",2020-07-29 00:40:03+00:00,,,1288273043886923777,,https://twitter.com/elizabethbrico/status/1288273043886923777,1,0,xo_plasm,
"you're not ugly. i hope you stop thinking you're ugly. i used to think i was ugly, now i look at pictures of myself when younger and think ""aww i was so pretty,"" but now i'm wretched and ruined. in 10 years i'll prbly lament how pretty i was now. alas. fuck life.",2020-07-29 00:38:16+00:00,,,1288272594081320960,,https://twitter.com/elizabethbrico/status/1288272594081320960,1,0,RukA_narchy,
"hey i don't know you but, seeing that you're the turbo cuck apparently, i wanted to tell you that my psycho ex likes to post fake complaints about me online pretending to be other ppl and his latest one has included that i am a ""divine cuckold."" so there ya go.",2020-07-29 00:36:28+00:00,,,1288272141595611140,,https://twitter.com/elizabethbrico/status/1288272141595611140,1,1,brizzle_bill,
"oh me too! this is my horrorshow, what's yours? let's trade. https://www.change.org/reunitebricofamily we can make a trauma collection and use it to fend off the whole world forever.",2020-07-29 00:34:22+00:00,,,1288271615990652928,,https://twitter.com/elizabethbrico/status/1288271615990652928,0,0,CreativeMrPen,https://www.change.org/ReuniteBricoFamily
oo me too.,2020-07-29 00:32:49+00:00,,,1288271224574025728,,https://twitter.com/elizabethbrico/status/1288271224574025728,0,0,BeckTheGirl,
opinionated vagina-haver.,2020-07-29 00:32:15+00:00,,,1288271079962808320,,https://twitter.com/elizabethbrico/status/1288271079962808320,0,0,DoorHinge9,
that's laugh/cry style amazing. can you link some of those sources?,2020-07-29 00:31:42+00:00,,,1288270945447219200,,https://twitter.com/elizabethbrico/status/1288270945447219200,1,0,RGreeningLaw,
she's right tho,2020-07-28 23:23:23+00:00,,,1288253749237100544,,https://twitter.com/elizabethbrico/status/1288253749237100544,0,0,SuppressThis,
can you please sign & share my petition to save my little girls from a monster like this?,2020-07-28 23:21:22+00:00,,,1288253241856348160,,https://twitter.com/elizabethbrico/status/1288253241856348160,0,0,stoweyvik,https://www.change.org/ReuniteBricoFamily
