text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"at least this is a good sign about what lamont will do. if they're not pushing back now, perhaps they think it's as-good-as signed? need to make sure lamont doesn't use signing this bill as cover for the failings of the ctdoc w/r/t covid.",2020-07-30 18:32:53+00:00,,,1288905419952447491,,https://twitter.com/howell_ben/status/1288905419952447491,1,0,MelMedinaCT,
one way is to look up nih funding here -> https://projectreporter.nih.gov/ it looks like dr. risch mostly gets nci funding for ovarian &amp; pancreatic cancer epidemiology research.,2020-07-30 02:29:09+00:00,,,1288662890426368000,,https://twitter.com/howell_ben/status/1288662890426368000,0,0,n8boyd,https://projectreporter.nih.gov/
"which is consistent to what it shows on the website - a ""flat"" curve over the last two weeks.",2020-07-29 19:27:26+00:00,,,1288556758991077376,,https://twitter.com/howell_ben/status/1288556758991077376,1,0,howell_ben,https://covidtrackerct.com/wastewater-current/
"there may be other concerning signals, but the graph makes it look covid rna in wastewater/sewage surveillance has been reassuring (green line ~flat for last two weeks).  can you clarify?",2020-07-29 19:25:10+00:00,,#COVID,1288556191774396420,@jordan_peccia,https://twitter.com/howell_ben/status/1288556191774396420,1,0,DFANewHaven,
"the  - over which barr has jurisdiction, currently incarcerates almost 4,500 individuals over 65. in the us we incarcerate (including state prisons) ~130,000 individuals over age 55. https://www.bop.gov/about/statistics/statistics_inmate_age.jsp https://www.bjs.gov/content/pub/pdf/aspp9313_sum.pdf https://twitter.com/josephjaafari/status/1288525691575771138",2020-07-29 18:21:39+00:00,,,1288540206040150016,@OfficialFBOP,https://twitter.com/howell_ben/status/1288540206040150016,0,0,,"https://www.bop.gov/about/statistics/statistics_inmate_age.jsp,https://www.bjs.gov/content/pub/pdf/aspp9313_Sum.pdf,https://twitter.com/JosephJaafari/status/1288525691575771138"
"good news! ct general assembly (all , no r's) passes the senate. proud of senators not getting pushed by police union fear mongering. let's keep up the pressure and get  to sign this bill. is it perfect, no? is it ok-to-good, yes!",2020-07-29 16:38:22+00:00,,,1288514212411703296,@CTDems @GovNedLamont,https://twitter.com/howell_ben/status/1288514212411703296,1,0,,https://ctmirror.org/2020/07/29/police-reforms-clear-connecticut-senate-on-partisan-vote/
same with meds for aud such as naltrexone.,2020-07-28 13:11:10+00:00,,,1288099681080356865,,https://twitter.com/howell_ben/status/1288099681080356865,0,0,D_Winetsky_MD,
"sure it can be done, but so can suppression of community spread, which we can't seem to do. frankly feeling like we don't deserve major league baseball...",2020-07-27 18:46:05+00:00,,,1287821579066499074,,https://twitter.com/howell_ben/status/1287821579066499074,1,0,alikhan28,
"watching opening weekend felt like it was all theatrics of prevention and not real prevention. some wore masks, many didn't; some didn't high-five, most did. some sat outside of dugout, most sat as they typically do. if they're gonna do it, they're gonna need to *really * do it.",2020-07-27 17:18:58+00:00,,,1287799655263240192,,https://twitter.com/howell_ben/status/1287799655263240192,2,0,alikhan28,
"given recent high publicity call out of racist red sox fans, you'd think they'd over-compensate, but they're more like ""nah""... we're ok.",2020-07-25 17:12:16+00:00,,,1287073192021024768,,https://twitter.com/howell_ben/status/1287073192021024768,0,0,sostfeldjohns,https://www.washingtonpost.com/sports/2020/06/11/red-sox-acknowledge-racism-fenway-park-is-real-promise-action/
still a bump from ~80->~140. definitely feels like things are getting lax around town here in new haven.,2020-07-25 00:10:40+00:00,,,1286816097312935938,,https://twitter.com/howell_ben/status/1286816097312935938,1,0,LaurenPischel,
 way to go davis &amp; leah! ,2020-07-23 15:35:20+00:00,,,1286324023207563268,,https://twitter.com/howell_ben/status/1286324023207563268,0,0,DrEllenEaton,
my feelings in this moment.,2020-07-21 19:35:43+00:00,,,1285659739792211971,,https://twitter.com/howell_ben/status/1285659739792211971,0,0,laceywh,https://twitter.com/howell_ben/status/1285659382643068929?s=20
now that charlie clutch is an atlanta brave again. ,2020-07-21 19:34:57+00:00,,,1285659547651145728,@laceywh,https://twitter.com/howell_ben/status/1285659547651145728,0,0,,
"been saving this tweet for this moment: our dog, who she's named after...",2020-07-21 19:34:17+00:00,,,1285659382643068929,,https://twitter.com/howell_ben/status/1285659382643068929,2,1,,
it's not science v. the economy. it's us v the virus. pretending otherwise drives false narratives and bad decisions leading to early reopening a la az & fl. the real driver of sustained economic recovery will be suppression of community viral spread.,2020-07-21 15:58:19+00:00,,,1285605032772206592,,https://twitter.com/howell_ben/status/1285605032772206592,0,0,,https://www.washingtonpost.com/business/2020/07/21/arizona-struggles-neighboring-new-mexico-found-more-cautious-path-sustained-growth/?hpid=hp_hp-banner-main_twostates-1025am%3Ahomepage%2Fstory-ans
"nhv  calling it right -&gt; segregation today in ct today is due to continuing structurally racist housing &amp; educational policies. ""it is time we recognize these zoning codes for what they are – segregation.""",2020-07-17 19:24:02+00:00,,#NHV,1284207252078047232,@MayorElicker,https://twitter.com/howell_ben/status/1284207252078047232,0,3,,https://ctmirror.org/category/ct-viewpoints/lets-tax-segregation-justin-elicker/
"""low-income schools"" aren't a thing, schools under-resourced because they serve a disproportionate number of students from families with lower income.",2020-07-17 15:29:46+00:00,,,1284148293279330309,,https://twitter.com/howell_ben/status/1284148293279330309,1,1,,
"started reading the az republic, my home-state paper, and frankly, and it's kind of depressing. covid19 reinforcing structural inequalities built into housing and schools leading to worse health outcomes.",2020-07-17 15:29:45+00:00,,#COVID19,1284148292264300545,,https://twitter.com/howell_ben/status/1284148292264300545,1,0,,https://www.azcentral.com/story/news/local/arizona-education/2020/07/17/arizona-schools-looking-masks-and-where-buy-children-covid-19/3287468001/
zeno’s paradox but really really dumb.,2020-07-14 23:38:07+00:00,,,1283184029118889990,,https://twitter.com/howell_ben/status/1283184029118889990,0,0,Yamiche,https://twitter.com/Yamiche/status/1283157221740863496
