text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
people dont care. justified that whatever it is - they must deserve it,2020-07-30 19:15:29+00:00,,,1288916139637198848,,https://twitter.com/icmyserenity/status/1288916139637198848,0,0,syodertweets,https://twitter.com/syodertweets/status/1288840542428815365
"not cancelled right, just pushed back?",2020-07-29 23:36:36+00:00,,,1288619464750227456,,https://twitter.com/icmyserenity/status/1288619464750227456,1,0,Edward_Holloran,
get em chief!,2020-07-27 15:30:57+00:00,,,1287772471131885569,,https://twitter.com/icmyserenity/status/1287772471131885569,0,0,BridgetMaryMc,https://twitter.com/BridgetMaryMc/status/1287580234762661888
"damning doj report- ""supervisors watch officers brutally beat inmates without intervening"". nothing to see here, they must deserve it right?",2020-07-25 13:39:06+00:00,,,1287019549292978177,,https://twitter.com/icmyserenity/status/1287019549292978177,0,2,JoshuaBHoe,https://twitter.com/JoshuaBHoe/status/1286852790296477696
"i have an addictions joke, but it's not dope...",2020-07-25 13:23:57+00:00,,,1287015734917451776,,https://twitter.com/icmyserenity/status/1287015734917451776,0,0,JeromeAdamsMD,https://twitter.com/JeromeAdamsMD/status/1286815532172410881
"my friend is spot on here, i can especially appreciate the acknowledgment that transition is occurring but it's going to take some time. the actual logistical process of shifting engrained systems approaches is sud is daunting. an org or community agreeing to is only first step",2020-07-23 12:26:57+00:00,,,1286276614217773057,,https://twitter.com/icmyserenity/status/1286276614217773057,0,0,DMcDRecovery,https://twitter.com/DMcDRecovery/status/1286274123040272385
"indiana- this is about keeping others healthy, not impeding on individual liberties. recovery has taught me to think about other more than myself. i wear a mask for my grandmother, with asthma. who do you were a mask for? maskuphoosiers",2020-07-22 23:27:56+00:00,,#MaskUpHoosiers,1286080568090857472,,https://twitter.com/icmyserenity/status/1286080568090857472,1,2,KarenCampbellTV,https://twitter.com/KarenCampbellTV/status/1284977983023980554
"people in respect deeply on both sides of this issue- both feel strongly about impact. some say its death of privacy, others say it's a step towards better care.",2020-07-22 19:34:31+00:00,,,1286021826053840896,,https://twitter.com/icmyserenity/status/1286021826053840896,0,0,bethconnolly20,https://twitter.com/bethconnolly20/status/1286009365653118976
"3000 people a year. less than a gram. felony. lifetime sentence for housing, school, employment. as usual, effects black and brown communities at higher rate. this ain't right. we have to do better",2020-07-22 19:31:14+00:00,,,1286021001751429120,,https://twitter.com/icmyserenity/status/1286021001751429120,0,0,ShatterproofHQ,https://twitter.com/ShatterproofHQ/status/1286005610287439874
"never forget having law enforcement bust in apt at 20 years old & being held at gun point, only to find out it was wrong address (next door). thank goodness my firearm wasnt around or i would have grabbed it thinking someone was trying to break in. too much risk, it was traumatic",2020-07-22 16:22:42+00:00,,,1285973556556439552,,https://twitter.com/icmyserenity/status/1285973556556439552,0,0,wrtv,https://twitter.com/wrtv/status/1285957580506963971
out of control,2020-07-21 02:02:41+00:00,,,1285394737403502593,,https://twitter.com/icmyserenity/status/1285394737403502593,0,0,REFORM,https://twitter.com/REFORM/status/1284915164219924481
"not sure there is an area/topic where the general public's thoughts of something is so far from reality. prisons are indeed terrible, but not bc the reason most ppl think.",2020-07-20 17:39:02+00:00,,,1285267989730930689,,https://twitter.com/icmyserenity/status/1285267989730930689,0,0,shonhopwood,https://twitter.com/shonhopwood/status/1285258935885275138
"in several jails and prisons where they provided these meds, the demand went down. oh yeah, it also means you're not violating the 4th and 8th amendment. grateful  and  are working with  to get medication in our correctional facilities",2020-07-19 16:24:48+00:00,,,1284886921777483776,@INDrugCzar @FSSAIndiana @INSheriffAssn,https://twitter.com/icmyserenity/status/1284886921777483776,0,0,NCPublicSafety,https://twitter.com/NCPublicSafety/status/1284503750305087489
