text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this feeling is echoed throughout brockville as well.   have you ever felt like this? would you want the people you love to feel like this?? are you really okay with so many people in ontario feeling like this?? i’m not...,2020-07-30 20:23:20+00:00,,#Brockville,1288933217152782342,@MichaelTibollo @celliottability,https://twitter.com/jesbesharah/status/1288933217152782342,0,0,ZoeDodd,https://twitter.com/ZoeDodd/status/1288541036839677952
help a girl out and come relieve me of some of these naloxone kits!! this tie isn’t going to last much longer and with the od rate as high as it is right now everyone in brockville should have at least one of these life savers in their possession. what an easy way to be a hero,2020-07-26 16:12:06+00:00,,#naloxone #Brockville,1287420438218526721,,https://twitter.com/jesbesharah/status/1287420438218526721,0,1,,
yeah-it’s awful....we need to get something happening that gives people access to a safe supply or at the very least a safe place to use what we have access to.,2020-07-25 17:31:19+00:00,,,1287077985879826438,,https://twitter.com/jesbesharah/status/1287077985879826438,0,0,LeighBursey,
"don’t quite catch the question, sorry.",2020-07-25 16:06:45+00:00,,,1287056703629012992,,https://twitter.com/jesbesharah/status/1287056703629012992,1,0,LeighBursey,
another fatal od in brockville. i spent the day trying to write something about it but i don’t know what to say anymore. without a safesupply it’s not going to change. we can’t even keep a consistent supply around here. with stims hard to find everyone is at risk. stay safe ,2020-07-25 14:41:02+00:00,,#Brockville #safesupply,1287035134106112002,,https://twitter.com/jesbesharah/status/1287035134106112002,1,0,,
we’re even seeing the ripple effects of this in small city ontario. i never thought i would hear a cop in our city speak to our need for a safesupply but that’s exactly what happened at ’s last city council meeting!! ,2020-07-21 01:04:34+00:00,,#safesupply,1285380110372278273,@BrockvilleON,https://twitter.com/jesbesharah/status/1285380110372278273,0,0,tlupick,https://twitter.com/tlupick/status/1285246581503979521
"two hundred fucking dollars?? i have a friend who, while experiencing homelessness, stole a sandwich from metro and was fined $600... what a joke",2020-07-20 15:40:43+00:00,,,1285238213129510912,,https://twitter.com/jesbesharah/status/1285238213129510912,0,0,TomPark1n,https://twitter.com/TomPark1n/status/1285006692007268353
we have had at least 2 more opioid overdoses yesterday to people only smoking crack! we need a safesupply now! live in our fine city of brockville and still don’t carry naloxone?? you should be able to get it for free at any pharmacy or come down to the clinic 244 king w – at change health care,2020-07-19 15:53:31+00:00,,#SAFESUPPLY #Brockville,1284879047269507072,,https://twitter.com/jesbesharah/status/1284879047269507072,0,0,,
"it was definitely mentioned last night night, and i’m so glad the conversation is happening, but i’m not sure that i’d go so far as to call it covered ",2020-07-16 00:15:30+00:00,,,1283555822748995585,,https://twitter.com/jesbesharah/status/1283555822748995585,1,0,LeighBursey,
"it would be really nice to see some city wide education happen, maybe an article in the paper about why the overdose ’s are so high (toxic drug supply), how a safe supply would change the game. could let people know about the resources that are available in town for pwud...",2020-07-15 23:20:14+00:00,,,1283541915506479104,,https://twitter.com/jesbesharah/status/1283541915506479104,1,0,LeighBursey,
lost another friend to another preventable death. he was poisoned by the toxic drug supply-the only-supply that we have access to. ironically enough it happened on the same night that a cop explained the need for a safesupply to our council.  hope it was heard!,2020-07-15 16:58:24+00:00,,#safesupply,1283445824630992896,@BrockvilleClerk,https://twitter.com/jesbesharah/status/1283445824630992896,0,0,,
"really glad to hear that! nobody dies before then, was just dumb luck that we didn’t lose someone in last week’s wave!",2020-07-15 15:52:17+00:00,,,1283429187202711554,,https://twitter.com/jesbesharah/status/1283429187202711554,0,0,LeighBursey,
great idea ⁦⁩! this is something that the drug using community and those that stand in solidarity with us have been celebrating for years. what do you propose that our fine city of brockville do on this day?? can’t wait to hear all about it!,2020-07-14 22:01:04+00:00,,#Brockville,1283159606747975680,@LeighBursey,https://twitter.com/jesbesharah/status/1283159606747975680,0,0,,
did you know that you can live stream this evening’s city council meeting?? i hear tonight will be a good one! personally i’m hoping to hear more on the cooling centre they have been discussing for brockville! https://brockville.civicweb.net/portal/,2020-07-14 21:36:41+00:00,,#Brockville,1283153469956857856,,https://twitter.com/jesbesharah/status/1283153469956857856,1,0,,https://brockville.civicweb.net/portal/
got naloxone?? if not come see us down at the peer room in changehealthcare brockville 244 king st w  back of ze building to get stocked up on it and whatever other harmreduction supplies you might need!!,2020-07-14 20:26:50+00:00,,#Naloxone #peer #ChangeHealthCare #Brockville #HarmReduction,1283135889284136960,,https://twitter.com/jesbesharah/status/1283135889284136960,0,1,,
so jealous of you!!,2020-07-12 21:44:21+00:00,,,1282430622938607622,,https://twitter.com/jesbesharah/status/1282430622938607622,0,0,seadavis7,
"yup it’s old but we actually have fentanyl/carfentanil testing strips that we have been using to test the stimulants. and while we certainly do have polysubstance users, that’s not what we’re talking about here. i just lost a friend who only used coke last month from an op od.",2020-07-12 14:33:05+00:00,,,1282322092738871301,,https://twitter.com/jesbesharah/status/1282322092738871301,0,0,naloxoneguru,
no doubt that you’re right!! pretty much all of our stimulants have some fent in them anymore-have people dropping after doing a toke-so scary as they’re less likely to have narcan handy/know how to react. plus people want what they paid for !,2020-07-11 17:41:55+00:00,,,1282007225209421827,,https://twitter.com/jesbesharah/status/1282007225209421827,0,0,seadavis7,
ever seen this shade when cooking up your crack?? would you smoke this shit? it’s clearly waaaaaay past the time for a safesupply in canada!,2020-07-11 15:44:09+00:00,,#safesupply,1281977589167525888,,https://twitter.com/jesbesharah/status/1281977589167525888,2,6,,
like it’s the cure all end all be all when talking to someone ?? we spent soooo much time on it in my program and consent was never brought up once!,2020-07-10 01:22:39+00:00,,,1281398395329040384,,https://twitter.com/jesbesharah/status/1281398395329040384,2,0,seadavis7,
thank you! recently got into a discussion about this with a about a peer experiencing homelessness. his argument is that because he has been given multiple opportunities for housing (we don’t even have multiple housing opportunities to offer) he’s chosing to live like this.,2020-07-10 01:17:44+00:00,,,1281397157359058946,,https://twitter.com/jesbesharah/status/1281397157359058946,0,0,MichaelDeene,https://twitter.com/MichaelDeene/status/1281345022894505984
"reason 6,769 that urinescreens are the worst: when you drop your phone in the toilet trying to pull your shorts up as quickly &amp; gracefully as possible (you know, because of the camera) only to have them drop around your ankles as you bend over to scoop it out of your own pee.",2020-07-10 00:56:32+00:00,,#urinescreens,1281391822317785088,,https://twitter.com/jesbesharah/status/1281391822317785088,0,0,,
providers identified the issue that their patients’ need to access the drug during the pandemic could interfere with adherence to social distancing and isolation common sense irish harm reduction response to covid-19 saves unhoused drug users’ lives,2020-07-07 16:37:39+00:00,,,1280541500590473216,,https://twitter.com/jesbesharah/status/1280541500590473216,0,0,,https://filtermag.org/ireland-coronavirus-homeless/
however drug overdoses continue to happen despite all of the....nothing they have put towards that epidemic,2020-07-06 15:58:06+00:00,,,1280169160824274951,,https://twitter.com/jesbesharah/status/1280169160824274951,0,0,CTVBarrieNews,https://twitter.com/CTVBarrieNews/status/1280159584414502914
wtf iowa?? how do expect people to make changes surrounding their drug use when you’re quite literally locking them up for doing so?? time to start educating your police force at the very least if not every city employee!,2020-07-05 21:29:35+00:00,,#Iowa,1279890190413291520,,https://twitter.com/jesbesharah/status/1279890190413291520,0,0,sarah_ziggy,https://twitter.com/sarah_ziggy/status/1279584519297867777
like they looked into warming centres during the winter?? time to stop talking and start doing!! it’s not like we don’t have any empty buildings sitting around that could be used for this and the other life saving programs we so desperately need in our city! theytalkwedie,2020-07-05 00:57:33+00:00,,#theytalkwedie,1279580141065310214,,https://twitter.com/jesbesharah/status/1279580141065310214,0,0,RecorderTimes,https://twitter.com/RecorderTimes/status/1279091882421862400
"oh yes, we should absolutely be prioritizing road expansions over the hundreds of people experiencing homelessness in the area . wtf?",2020-07-04 15:44:21+00:00,,,1279440921243930625,@SteveClarkPC,https://twitter.com/jesbesharah/status/1279440921243930625,0,0,RecorderTimes,https://twitter.com/RecorderTimes/status/1279142653221838849
masimo announces a drug-free opioid-withdrawal device for real? does this work for those of us who have a bit of a tolerance??? https://j.mp/3eiojne ,2020-06-30 18:55:38+00:00,,,1278039508076900352,@MassDevice,https://twitter.com/jesbesharah/status/1278039508076900352,0,0,,https://j.mp/3eIoJnE
