text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i knew this was your money truck because the driver had his hands indian style behind his neck like you do.,2020-07-30 23:57:55+00:00,,,1288987216232890369,,https://twitter.com/jhopper23/status/1288987216232890369,0,0,,
"elon...youre money truck had its gas cap opened today, the one that was blocking the doors while i was i was at the register in front of the doors.",2020-07-30 23:47:10+00:00,,,1288984511024205826,,https://twitter.com/jhopper23/status/1288984511024205826,0,0,,
ogden use to leave snuff containers. this urban leaves corona beer bottles.,2020-07-30 13:21:43+00:00,,,1288827113152249856,,https://twitter.com/jhopper23/status/1288827113152249856,0,0,,
friend forever. thank you.,2020-07-30 13:14:42+00:00,,,1288825347249602563,,https://twitter.com/jhopper23/status/1288825347249602563,0,0,JamesCraigmyle,
he killed thr bear to tell the other urban legends he was going after dom.,2020-07-30 13:06:38+00:00,,,1288823317395173376,,https://twitter.com/jhopper23/status/1288823317395173376,0,0,,
hes also a threat to dom. thats why he killed the bear.,2020-07-30 13:05:08+00:00,,,1288822940637659141,,https://twitter.com/jhopper23/status/1288822940637659141,0,0,,
hes a big monster.,2020-07-30 13:02:14+00:00,,,1288822207477452801,,https://twitter.com/jhopper23/status/1288822207477452801,1,0,,
hez bekigrrant. arrogant racist vulgar and sloppy. he wont be hard to catch. he dont just kill for money he kills black people and cops that arent racist.,2020-07-30 13:01:50+00:00,,,1288822110282866690,,https://twitter.com/jhopper23/status/1288822110282866690,0,0,,
know who your enemies are. know who are enemies of the kids.,2020-07-30 12:59:03+00:00,,,1288821409343344640,,https://twitter.com/jhopper23/status/1288821409343344640,0,0,,
hes definately on my deatwish list for even thinking of hurting my son.,2020-07-30 12:57:49+00:00,,,1288821098209894400,,https://twitter.com/jhopper23/status/1288821098209894400,0,0,,
hes part of the darrin and di circle. one of julianas.,2020-07-30 12:55:23+00:00,,,1288820485183029248,,https://twitter.com/jhopper23/status/1288820485183029248,0,0,,
and i wouldnt have any of that information about him if i gadnt spoken to him to see what the fuck he wanted.,2020-07-30 12:54:51+00:00,,,1288820351103721472,,https://twitter.com/jhopper23/status/1288820351103721472,0,0,,
hes a white supremisist contract killer/urban legend for sure.,2020-07-30 12:54:06+00:00,,,1288820161235963905,,https://twitter.com/jhopper23/status/1288820161235963905,0,0,,
cuz both of us are worth money to dead. i reported him to the modesto tio line...something i never do. and if hes still armed and dangerous and hunting people for money then he has dirty cop friends.,2020-07-30 12:53:27+00:00,,,1288819996945076225,,https://twitter.com/jhopper23/status/1288819996945076225,0,0,,
hes been huntung me for more thsn 3 years. he specifically told me if he cant hit me hes going after my son..,2020-07-30 12:51:58+00:00,,,1288819624558002176,,https://twitter.com/jhopper23/status/1288819624558002176,0,0,,
i cant believe that monster is not dead yet.,2020-07-30 12:36:41+00:00,,,1288815779236868096,,https://twitter.com/jhopper23/status/1288815779236868096,0,0,,
