text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"in 8 years, us pipelines leaked enough natural gas to heat a quarter million homes for one year!---> http://sc.org/del_mar_pipeline savetheshore",2020-07-18 18:42:44+00:00,,#SaveTheShore,1284559244185001984,,https://twitter.com/john_dittmann/status/1284559244185001984,0,0,,http://sc.org/del_mar_pipeline
"do you have any idea how many times the uscg is called out to ""waste recourses"" (sp) on night time search and rescue missions every year?",2020-07-09 23:14:23+00:00,,,1281366117060050950,,https://twitter.com/john_dittmann/status/1281366117060050950,0,0,Sam_0tt,
" are you trying to cause seizures with your website? i am just trying to get a couple pairs of shoes, it should not take me 4-6 hours using multiple browsers over several devices!",2020-05-30 09:51:38+00:00,,,1266668585340080128,@Eastbay,https://twitter.com/john_dittmann/status/1266668585340080128,0,0,,
sending love & positive energy (sorry forgot to stick that in),2020-05-12 01:30:16+00:00,,,1260019427623366657,,https://twitter.com/john_dittmann/status/1260019427623366657,0,0,john_dittmann,
i'm sorry for your loss. the times we're in...our grandchildren will still bear the scars. please know you're never alone!,2020-05-12 01:29:31+00:00,,,1260019241530486785,,https://twitter.com/john_dittmann/status/1260019241530486785,1,0,ZoeDodd,
" can i really not send a package of 5 books to the uk without a valid passport? this is what your employee's telling me as the box sits in a warehouse 7 days after expected delivery. when i worked at ups, was fedex kind of customerservice",2020-05-11 20:47:06+00:00,,#CustomerService,1259948167539367936,@UPS,https://twitter.com/john_dittmann/status/1259948167539367936,0,0,,
the harmreduction approach also increases likelihood vulnerable people will comply with social distancing and other cdc recommendations. homelesscantstayhome homelesscovid19,2020-05-08 09:16:05+00:00,,#harmreduction #HomelessCantStayHome #HomelessCovid19,1258687105494134784,,https://twitter.com/john_dittmann/status/1258687105494134784,0,0,john_dittmann,
"san francisco is taking an evidence based harmreduction approach to dealing with people who use drugs &amp; alcohol during the cv19 pandemic. this significantly reduces chances of fatal overdoses &amp; dangerous withdrawals. this is not simply ""enabling addicts"".",2020-05-08 09:09:34+00:00,,#harmreduction,1258685461909946368,,https://twitter.com/john_dittmann/status/1258685461909946368,1,0,RealJohnDennis,
,2020-05-07 11:18:50+00:00,,,1258355605099687937,,https://twitter.com/john_dittmann/status/1258355605099687937,0,0,john_dittmann,https://www.brookings.edu/blog/up-front/2020/05/06/the-covid-19-crisis-has-already-left-too-many-children-hungry-in-america/
"yet still one in five young children are not regularly getting enough to eat, the highest rate it modern history and three times what it was during the great recession! so yeah, thank you ",2020-05-07 11:18:38+00:00,,,1258355557544722434,@realDonaldTrump,https://twitter.com/john_dittmann/status/1258355557544722434,1,0,SenatorLoeffler,
"your tweet was used by  in  to advocate deregulating the meat industry. against advice of food safety, labor &amp; animal welfare groups, 45 ""deregulated"" pig slaughterhouses by removing inspectors and eliminating slaughter speed limits! nomeat_nocoronavirus",2020-05-05 21:48:33+00:00,,#NoMeat_NoCoronaVirus,1257789303599620098,@brad_polumbo @dcexaminer,https://twitter.com/john_dittmann/status/1257789303599620098,0,0,amberlyno,
"worst part is they know my sud history & have praised my advocacy work, yet when i advocate for myself i'm made to feel like i've done something wrong. makes me feel like an ""addict"" in the true, disgusting sense of that archaic word great start to mentalhealthawarenessmonth",2020-05-01 20:02:47+00:00,,#MentalHealthAwarenessMonth,1256313134148657154,,https://twitter.com/john_dittmann/status/1256313134148657154,0,0,,
"my drs office just called to say they won't refill meds from my psychiatrist because they suddenly realized i hadn't had seen pcp (the medical director) since '18. in the middle of all this, i have to go without meds for 2 days due to their screw up! mentalhealthduringcovid19",2020-05-01 19:29:16+00:00,,#MentalhealthduringCovid19,1256304702662180866,,https://twitter.com/john_dittmann/status/1256304702662180866,1,0,,
"circles within the community still see identifying as an ""addict"" as a necessary right of passage on the way to ""recovery""",2020-04-29 21:55:44+00:00,,,1255616783916109825,,https://twitter.com/john_dittmann/status/1255616783916109825,0,0,coreysdavis,
" &amp;  , it's grimey enough to charge an unlinked account while i'm away helping coronavirus related ems personnel shortages, but to lock my account as well. no wonder so many customers flock to  customerservice",2020-04-29 21:27:40+00:00,,#coronavirus #EMS #CustomerService,1255609723203858437,@eBay @PayPal @mercari_app,https://twitter.com/john_dittmann/status/1255609723203858437,0,0,,
camouflage really helps him blend in to the surroundings!,2020-04-21 10:35:08+00:00,,,1252546405337567234,,https://twitter.com/john_dittmann/status/1252546405337567234,0,0,miguelmarquez,
"based on the musings of the famous ""family member"", and coming to a journal near you; ""an antivaxxers analysis of cv-19 data""!",2020-04-21 07:15:17+00:00,,#antivaxxers,1252496108934307841,,https://twitter.com/john_dittmann/status/1252496108934307841,0,0,HerbsandDirt,
chi ci ha dato il soffio della vita? scuderiaferrari covid_19,2020-04-19 01:27:13+00:00,,#ScuderiaFerrari #Covid_19,1251683739777863680,,https://twitter.com/john_dittmann/status/1251683739777863680,0,0,,
"if you're going shopping a. pre-plan. most stores have online maps! b. designate a shopper. don't bring your spouse, 3 teenage children, & family parakeet for company c. remember social_distancing d. commonsense",2020-04-18 17:49:22+00:00,,#Social_Distancing #CommonSense,1251568519680004097,,https://twitter.com/john_dittmann/status/1251568519680004097,0,0,,
as a homeowner i recognize  &amp;  are essential businesses &amp; appreciate their efforts to remain open. as a microbiologist &amp; paramedic i'm concerned long lines &amp; extended wait times may increase risk &amp; intensity of exposure! social_distancing coronavirus,2020-04-18 17:49:22+00:00,,#Social_Distancing #coronavirus,1251568516739870720,@Lowes @HomeDepot,https://twitter.com/john_dittmann/status/1251568516739870720,1,0,,
"i always hated my voice. my first year of college i filled in for a dj friend. it grew into quite a business. my bread & butter accounts for 3 years: ""gentleman's clubs"" that required a lot of mic work! moral of the story; your voice is always better than you think!",2020-04-18 12:23:19+00:00,,,1251486466452176903,,https://twitter.com/john_dittmann/status/1251486466452176903,0,0,CandaceWinstea1,
