text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
one thing you can’t blame the democrats for this one ! the books being written by hohn bolton & mary trump !!,2020-07-18 20:15:44+00:00,,,1284582647906267136,,https://twitter.com/kathleenaie/status/1284582647906267136,0,0,axidentaliberal,
he has more court hearings in the books then anyone! he fights anything he doesn’t agree with n always in the court room ! just go nys court web site n type ghetto name in !!,2020-07-18 20:12:50+00:00,,,1284581920202866688,,https://twitter.com/kathleenaie/status/1284581920202866688,1,0,rsfreeman153,
"would you personally risk all to, loose ? i already have lost what was important to me! i personally don’t wish this on anyone ! many dr’s have also committed suicide over a loss of patients ! how do we combat this together! the justice system is destroying our healthcare !",2020-07-15 22:07:40+00:00,,,1283523653708046336,,https://twitter.com/kathleenaie/status/1283523653708046336,2,0,shoegalhms,
"i understand your feelings! on the hand i can sympathize with dr’s too! the threat of the dea, raiding their office n license is huge! many disagree n many are fighting but they lost a lot ! we as patients are as well in a bad position! how do dr’s fight the dea?",2020-07-15 22:04:34+00:00,,,1283522873408151554,,https://twitter.com/kathleenaie/status/1283522873408151554,1,0,shoegalhms,
so if your political choice of party is democrat your an outcast ? blackballed? is this another political. play to win the election? never have i seen such turmoil in elections as i’ve seen 2016 & now 2020!,2020-07-15 19:05:25+00:00,,,1283477790814113793,,https://twitter.com/kathleenaie/status/1283477790814113793,0,0,M2Madness,
you are so right on the truth! why so many are failing to open their eyes n face the facts ! is scary ! i commend you for all your efforts !,2020-07-15 19:01:55+00:00,,,1283476909490200576,,https://twitter.com/kathleenaie/status/1283476909490200576,0,0,nizzaregalado,
what has happened to our freedom ? is the country already a socialist society? yet no one is willing to just say it !,2020-07-15 19:00:02+00:00,,,1283476436330790912,,https://twitter.com/kathleenaie/status/1283476436330790912,0,0,47Junia,
you know i might have believed you if several of my friends who had corvid nearly died ! my doctors i just spoke to less then a week ago stated they were extremely busy ! please be honest n tell the truth ! facts matter !,2020-07-15 18:58:55+00:00,,,1283476152510607365,,https://twitter.com/kathleenaie/status/1283476152510607365,0,0,chuckwoolery,
omg that’s stupid! i understand ratings are vip to networks ! this isn’t about ratings it’s about the ppl !,2020-07-15 18:56:46+00:00,,,1283475611227353090,,https://twitter.com/kathleenaie/status/1283475611227353090,0,0,svdate,
"i agree ! i had read a post where the legislature , senators or ignoring posts that are screaming! it is much better to post facts of current facts! past facts that have caused the suffering n demise of many in this community! the wrongful treatment of doctors trying to treat",2020-07-15 18:54:22+00:00,,,1283475008941985792,,https://twitter.com/kathleenaie/status/1283475008941985792,1,0,headdock,
