text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"   i only hope we take back the house and senate, because after 8 of obama, we need to heal , we called him the great divider and as he spoke today, he proved that to be true,",2020-07-30 23:59:09+00:00,,,1.29E+18,@FLOTUS @POTUS @attorneygeneral,https://twitter.com/larryrstreet/status/1288987527559491585,0,0,WhiteHouse,
"i’ll say this again  has done more for america against all odds , with democratic and some republicans at his throat, like paul ryan and romney , on top of the harassment to  .and obama was the most corrupt president we have ever had, he still works to destroy usa",2020-07-30 23:44:34+00:00,,,1.29E+18,@POTUS @FLOTUS,https://twitter.com/larryrstreet/status/1288983858814291969,0,0,WhiteHouse,
"it’s time to limit the overuse of antibiotics, and stop using the bill gates flue vaccine, any vaccine you have to take each year is only making the flue virus stronger, until in time it will be the next pandemic, that could wipe out a nation",2020-07-30 23:37:58+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288982196351651841,0,0,WhiteHouse,
"we let any food or drugs come in from abroad when we can provide it just fine, they have control of your nation, period ! thank god for  and  now the table is turning, maybe in time to save america from total failure because we have a non politicaly correct ",2020-07-30 23:34:40+00:00,,,1.29E+18,@POTUS @Kodak @POTUS,https://twitter.com/larryrstreet/status/1288981366793801728,0,0,,
"       usa used to not allow food or drugs to come in from any countries , yet obama makes a speech how he loved sending our drug co and ppg to china, he taxed them out of america, why would",2020-07-30 23:34:39+00:00,,,1.29E+18,@POTUS @FLOTUS @DonaldJTrumpJr @senatemajldr @TuckerCarlson @RealJamesWoods @attorneygeneral,https://twitter.com/larryrstreet/status/1288981362532392960,1,0,,
stop trying t say only blacks are mistreated by that 1% of bad cops,2020-07-30 18:04:26+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288898261672013824,0,0,,https://www.washingtonpost.com/nation/2019/08/01/police-laughed-joked-he-lost-consciousness-handcuffs-minutes-later-he-died/?outputType=amp
https://www.google.com/url?sa=t&amp;source=web&amp;cd=&amp;ved=2ahukewibl8ntpvxqahudc6wkhfkfdvoqfjabegqiarab&amp;url=https%3a%2f%2fwww.washingtonpost.com%2fnation%2f2019%2f08%2f01%2fpolice-laughed-joked-he-lost-consciousness-handcuffs-minutes-later-he-died%2f%3foutputtype%3damp&amp;usg=aovvaw27hxcpddtatlpzo6ha_nvw it does happen to whites too but it’s a small % that are bad cops,2020-07-30 17:34:19+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288890680916541441,0,0,,https://www.google.com/url?sa=t&source=web&cd=&ved=2ahUKEwiBl8nTpvXqAhUDC6wKHfkfDVoQFjABegQIARAB&url=https%3A%2F%2Fwww.washingtonpost.com%2Fnation%2F2019%2F08%2F01%2Fpolice-laughed-joked-he-lost-consciousness-handcuffs-minutes-later-he-died%2F%3FoutputType%3Damp&usg=AOvVaw27hxcpDDTAtLpZo6Ha_nvW
"yes it is but we don’t want co- dependent children who can’t ever stop asking mom and dad for hand outs , we need to teach to fish not just give out fish !",2020-07-30 16:53:25+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288880386978844672,0,0,burpeesRfun,
short dick man | 20 fingers choreo by yanis marshall | dance by nomi | k... https://youtu.be/vwcyydiaaca via . lol,2020-07-30 16:51:40+00:00,,,1.29E+18,@YouTube,https://twitter.com/larryrstreet/status/1288879947545747462,0,0,,https://youtu.be/VwCyYDiaaCA
"we have more biracial children now than ever before, it’s very sad to say most are father less , we need to have jobs to bring black and white dad and mom together to stay together once agin !",2020-07-30 16:21:17+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288872301593845760,0,0,burpeesRfun,
"he did that and he helped carry on what martin luther taught all of us, i grew up in the north we were proud even so so many life’s were lost in the civil war we knew america and england were first to end thousands of years of slavery across the globe ,yes rome was brutal to us !",2020-07-30 16:18:47+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288871672347602944,0,0,tjholmes,
yes rep john lewis was a non violent warrior and we needed them at that time in our history !,2020-07-30 16:15:23+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288870816491491333,0,0,STrimel,
"yea but we have had enough of that good trouble, because at night it becomes violent, peaceful protests mean go home at night , and don’t block traffic or beat up whites who can’t defend themselves",2020-07-30 16:11:53+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288869937285562368,0,0,qsteph,
"i am sorry to give you a hard time this day but john lewis last words were like that of mlk to come together as one nation, and he did not believe in the violent protests of antifa and blm . destruction that costs all of us taxpayers, is wrong , our insurance rates will increase",2020-07-30 16:09:46+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288869401685569537,0,0,ABC,
"i’m sorry i liked rep john lewis because he didn’t just repeat democratic talking points and he wound not stand for unfair hearing in congress , that he was part of ! unlike  who refuse to let  answer any questions, he let democratics berated him !",2020-07-30 16:06:28+00:00,,,1.29E+18,@RepJerryNadler @RawsiWilliams,https://twitter.com/larryrstreet/status/1288868571989368835,0,0,ABC,
"look at how when clinton was on the line each and every one of her staff and the dnc and clinton really were given immunity to any thing , the corruption by obama entire team and cia, fbi spying on ",2020-07-30 15:56:49+00:00,,,1.29E+18,@POTUS,https://twitter.com/larryrstreet/status/1288866143579627520,0,0,ABC,
"in hatti bush put clinton in charge , and not one fresh water well drilled fir the public use but many fir friends of clinton who made money off hatti",2020-07-30 15:54:48+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288865637280948224,0,0,ABC,
"if white supremacy is so prevalent then why is it 70 % of children born today are of mixed race , explain that to us who live out here , not behind your gated homes like hollywood stars like nancy pelosi, look at how the clinton did to the people of hatti , not one public well",2020-07-30 15:53:33+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288865321810616320,0,0,ABC,
"stop with the racist remarks, we have seen a huge rise in black on white crime as whites who like  are beaten half to death or the black man shot and killed for his support of trump , most the police in democratic run city are black or hispanic, yet you say it is whites ,",2020-07-30 15:50:11+00:00,,,1.29E+18,@POTUS,https://twitter.com/larryrstreet/status/1288864475580424192,0,0,ABC,
you speak of white supremacy when we saw the end of poor treatment of blacks after the 60s and the only reason blacks were treated that way was democratic run cities even west virginia still had a grand wizard robert byrd who could never seem to be defeated ? yet no votes f him,2020-07-30 15:46:51+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288863634509246465,0,0,ABC,
"it is democratic run city that allowed illegal and criminal to run the city over honest tax paying citizens, sanctuary city are breeding ground for child prostitution, drug and mob rule, and letting those who commit crimes right back out to recommit the next day",2020-07-30 15:43:08+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288862700592943104,0,0,ABC,
"just because democratics socialist party and mainstream media only puts blacks who died from that .001 % of bad cops, during election time, and the cop who killed floyd, had equal claims of brutality against him white and black , amy cobishsr was one who let him stay on as cop",2020-07-30 15:39:39+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288861825891737602,0,0,ABC,
where were the march for this man,2020-07-30 15:36:24+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288861004751831041,0,0,ABC,https://www.google.com/url?sa=t&source=web&cd=&ved=2ahUKEwiBl8nTpvXqAhUDC6wKHfkfDVoQFjABegQIARAB&url=https%3A%2F%2Fwww.washingtonpost.com%2Fnation%2F2019%2F08%2F01%2Fpolice-laughed-joked-he-lost-consciousness-handcuffs-minutes-later-he-died%2F%3FoutputType%3Damp&usg=AOvVaw27hxcpDDTAtLpZo6Ha_nvW
"i’m sorry but poor whites suffer just as much poor blacks we get pulled over because of our crappy cars that are broken, and we get beat up when we resist arrest, when black commit 70 to 80 crime, and yet more unarmed whites killed by cops than blacks",2020-07-30 15:34:06+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288860428433489920,0,0,ABC,
"i would swear you sound racist, by claiming you need a double dose of riots, and how white supremacy is rampant, how many more progressive programs for free black college should we pay for , when blacks have bee fooled by democratic party for years they promise you then nothing",2020-07-30 15:31:21+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288859733710057475,0,0,ABC,
"the va hospital once they messed you up they don’t want you healthy because that would prove they messed you up , if i stay half crippled then they can claim it’s my spine that caused my muscles to melt away, when my right side is so much stronger i wake up leaning way over !",2020-07-30 15:11:27+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288854726948401157,0,0,DontDregMeBro,
"the va lies to the president about how well they are doing , when they gave me parkinson’s med for a pinch nerve in my back, it ate my muscles up, and arms and kidney yet they refuse to treat me with, botox to relax the spastic muscles that have pulled my spine in a curve now !",2020-07-30 15:09:07+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288854139355779073,0,0,DontDregMeBro,
"let’s stop hating and think about saving life’s, the only way this inexpensive medicine works best if it’s given right as soon as you get sick ! , if doctors are being harassed for trying all the magic in there doctor bag then , your at the va hospital where once they mess u up ",2020-07-30 15:06:11+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288853402286542850,0,0,DontDregMeBro,
"stronger , as it mutates, i stopped taking the flue shot 8 years ago and have gone through hell but the va hospital giving me medicine that ate up my muscles and was eating up my kidneys , even weaker i still never got sick, it no different than the over use of antibiotics !!",2020-07-30 15:00:39+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288852010838745088,0,0,,
"       i will say this again a vaccine that had to be taken each year, flu , sold by bill gates , means that virus mutates each year , all you who take that shot only make it",2020-07-30 15:00:39+00:00,,,1.29E+18,@DonaldJTrumpJr @realDonaldTrump @PatriotSiSi @attorneygeneral @FancyBitch_Here @WhiteHouse @RealJamesWoods,https://twitter.com/larryrstreet/status/1288852009387532288,1,0,,
"this is absolutely not a republican trait , it’s has been the pattern of democratic socialist party for years , they say it takes 2 times the votes needed to elect a republican because of the fraud, dead people getting registered and people bussed into areas that have no id laws",2020-07-30 14:55:03+00:00,,,1.29E+18,,https://twitter.com/larryrstreet/status/1288850599765778438,0,0,Ambitloka,
