text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"when my daughter was 8 we used to bargain for tv time. we made a deal that i could watch 1 hour of political talk show per night. so one night i said ""my turn"" and changed channel. she lamented: ""it's just a bunch of old people trying to look smart"". mouths of babes.",2020-07-30 21:39:37+00:00,,,1288952413324546050,,https://twitter.com/mikedennymike/status/1288952413324546050,0,0,clairlemon,
hip dimples so womanly.,2020-07-29 11:40:57+00:00,,,1288439365962805248,,https://twitter.com/mikedennymike/status/1288439365962805248,0,0,Claire_Voltaire,
i don't know what the proportional representation is of the ppl you speak of and the participants in the poll. i strongly suspect the ppl who determine those poll results were not multi-generational farm laborers. it's 0/1st/2nd generation immigrants driving those disparities.,2020-07-29 11:35:39+00:00,,,1288438031243005953,,https://twitter.com/mikedennymike/status/1288438031243005953,0,0,DiverMike69,
we had a chance to eradicate an illness that is likely to become endemic. 10 times more fatal than flu. take the annual flu deathtoll and multiply by 10. every year. forever. eradication may have been a matter of months.,2020-07-29 11:27:04+00:00,,,1288435870379450368,,https://twitter.com/mikedennymike/status/1288435870379450368,0,0,mikedennymike,
what would we have to sacrifice to prevent that? generations before us sacrificed alot more for alot less.,2020-07-29 11:23:59+00:00,,,1288435096752660483,,https://twitter.com/mikedennymike/status/1288435096752660483,1,0,mikedennymike,
"i ain't going to any public gathering outside. protests, concerts, national holidays....none of that. i don't understand why anyone would. covid is likely to become endemic. that means 100 millions of deaths worldwide the next 300 years.",2020-07-29 11:18:27+00:00,,,1288433704327614464,,https://twitter.com/mikedennymike/status/1288433704327614464,1,0,newbury_eric,
if i'm on main street of a given town/city....than yes. anything other than that not til i see science.,2020-07-29 11:12:45+00:00,,,1288432270982995969,,https://twitter.com/mikedennymike/status/1288432270982995969,1,0,newbury_eric,
i don't think public health officials should decide whether or not to mislead the public about the truth of public health crisis'. they told us there was no reason to wear masks. what might have the been the outcome if they told ppl to make masks?,2020-07-29 11:02:00+00:00,,,1288429564478328837,,https://twitter.com/mikedennymike/status/1288429564478328837,0,1,mikedennymike,
i don't think our public health officials are expertise on that matter.,2020-07-29 10:59:00+00:00,,,1288428809667125248,,https://twitter.com/mikedennymike/status/1288428809667125248,2,0,Nothercupacafe,
dr fauci seems like a well-intentioned person. i'm not wearing a mask outside until i see science. fauci has admitted he is willing to mislead the public for pragmatic reasons. i assume this latest assertion is also based on a cynical belief that ppl do not have common sense.,2020-07-29 10:56:10+00:00,,,1288428095230312454,,https://twitter.com/mikedennymike/status/1288428095230312454,2,0,,
i was pro-mask even when us/can officials (including fauci) were purposely misleading the public on mask effectiveness. dr fauci is now saying to wear masks outside. first time i'm on the mask skeptic side. i'm not wearing a mask outside until i see science that persuades me.,2020-07-29 10:52:42+00:00,,,1288427225231110145,,https://twitter.com/mikedennymike/status/1288427225231110145,1,0,mikedennymike,
to be clear...the reason sri lankan-canadians in my hood don't correspond to the stats given in the op....is that many came as refugees. so we're not only getting the wealthy/educated ppl from sri lanka. that's what's driving those disparities in that graphic.,2020-07-29 10:42:44+00:00,,,1288424713920950272,,https://twitter.com/mikedennymike/status/1288424713920950272,0,0,mikedennymike,
i live in a predominantly sri lankan community in toronto. many of whom came here bc of the 90s civil war. the sri lankan-canadians in my community didn't come here via screening process and do not correspond to the stats cited in the op. they're just working class like everyone,2020-07-29 10:36:45+00:00,,,1288423210699108352,,https://twitter.com/mikedennymike/status/1288423210699108352,1,0,mikedennymike,
strongly disagree. the only immigrants that can afford and make it through immigration screening are the best and brightest in terms of both wealth and education. if random ppl were picked from those countries to immigrate ti the west we would not see these disparities.,2020-07-29 10:29:09+00:00,,,1288421297677053958,,https://twitter.com/mikedennymike/status/1288421297677053958,3,0,CarlGreenwood12,
i went from primary care to visitation so i was never disconnected. it was still a kidnapping and noone will ever tell me different. i'm i'm disbelief in the daily vindications i am blessed with. i am one of the lucky ones.,2020-07-29 10:23:10+00:00,,,1288419789527044096,,https://twitter.com/mikedennymike/status/1288419789527044096,0,0,Scoobyd71606296,
it's been 15 years since my baby was taken away from me. i'll never forget it. i made the best of what i could in aftermath. i'm still shocked by how justice worked itself it out. i thought i was destined to be a martyr. nope. everything i sowed came back to me two-fold.,2020-07-29 10:20:07+00:00,,,1288419024867676160,,https://twitter.com/mikedennymike/status/1288419024867676160,0,0,mikedennymike,
the fact it shouldn't be a legal obligation does not justify robbing oneself of formative life experiences. i haven't talked about how i got burned...but it was bad. abandoned with baby for 3 years and then baby kidnapped from me by feminist family court. i regret nothing.,2020-07-29 10:09:28+00:00,,,1288416343839178759,,https://twitter.com/mikedennymike/status/1288416343839178759,2,0,Scoobyd71606296,
song rocks like an old zeppelin track too:,2020-07-29 09:56:33+00:00,,,1288413091785515008,,https://twitter.com/mikedennymike/status/1288413091785515008,0,0,mikedennymike,https://m.youtube.com/watch?v=xL0Pk-Irad4
