text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
too real ,2020-07-30 22:18:21+00:00,,,1288962161168064514,,https://twitter.com/mynameisrachel/status/1288962161168064514,0,0,ScribblingOn,https://twitter.com/ScribblingOn/status/1288133174820835328
i don’t want to reinvent the wheel: are there already resources readily available that include common misconceptions of buprenorphine and/or naltrexone (vivitrol)?,2020-07-29 11:04:44+00:00,,,1288430252646109184,,https://twitter.com/mynameisrachel/status/1288430252646109184,1,1,,
"the three fda-approved meds for alcohol use disorder are disulfiram, acamprosate calcium, and naltrexone (oral or long-acting injectable). each have their risks/benefits. additionally, there are many behavioral interventions that can help people who wish to reduce/stop drinking.",2020-07-29 00:33:00+00:00,,,1288271271634128896,,https://twitter.com/mynameisrachel/status/1288271271634128896,0,0,jennkcollins,
my heart is breaking. i am so sorry ,2020-07-26 04:15:10+00:00,,,1287240016519991296,,https://twitter.com/mynameisrachel/status/1287240016519991296,0,0,_jennystarfish_,
"but you could put it in the care plan related to a nursing diagnosis as evidenced by this tweet, right?",2020-07-25 18:39:53+00:00,,,1287095240386650112,,https://twitter.com/mynameisrachel/status/1287095240386650112,0,0,PaulaKagan,https://twitter.com/PaulaKagan/status/1286993492011560960
but you could put it in the care plan related to a nursing diagnosis as evidenced by this tweet right?,2020-07-25 18:39:41+00:00,,,1287095192814866432,,https://twitter.com/mynameisrachel/status/1287095192814866432,0,0,PaulaKagan,
thank you! it’s my favorite!!! credit: ,2020-07-25 16:28:56+00:00,,,1287062289225588736,@IAHarmReduction,https://twitter.com/mynameisrachel/status/1287062289225588736,0,0,roni_kgg,
good vibes while getting sh*t done ,2020-07-25 15:55:32+00:00,,,1287053883802619904,,https://twitter.com/mynameisrachel/status/1287053883802619904,1,2,,
 ,2020-07-25 14:33:23+00:00,,,1287033209897791489,,https://twitter.com/mynameisrachel/status/1287033209897791489,0,0,GarrettReuscher,https://twitter.com/GarrettReuscher/status/1286459556248408065
i want allllll the mr yuk gear ,2020-07-25 14:30:17+00:00,,,1287032429333684224,,https://twitter.com/mynameisrachel/status/1287032429333684224,0,0,TrumpKennels,
"you are one of my favorite people, and this solidifies everything.",2020-07-25 14:29:17+00:00,,,1287032178170372096,,https://twitter.com/mynameisrachel/status/1287032178170372096,0,0,RyanMarino,
"my sister at her bachelorette party: “mom, will you take a shot with us?” our mom: “shuttle bus?” ",2020-07-18 02:59:33+00:00,,,1284321884969017345,,https://twitter.com/mynameisrachel/status/1284321884969017345,0,0,,
"“blood thc >2 ng/ml, and possibly even thc >5 ng/ml, does not necessarily represent recent use of cannabis in frequent cannabis users.”",2020-07-13 01:36:27+00:00,,,1282489030840586240,,https://twitter.com/mynameisrachel/status/1282489030840586240,0,0,,https://www.sciencedirect.com/science/article/pii/S0376871620303422
say it louder for the people in the back! ,2020-07-11 23:37:30+00:00,,,1282096710697787394,,https://twitter.com/mynameisrachel/status/1282096710697787394,0,0,davidewlucas,https://twitter.com/davidewlucas/status/1282050328569970693
 !!! and is that a  toy i see? the box of dumplings?,2020-07-11 23:36:55+00:00,,,1282096561296756739,@barkbox,https://twitter.com/mynameisrachel/status/1282096561296756739,0,0,DrAyanaJordan,
