text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
freddie mercury:: https://www.instagram.com/p/cdpkjtkmxxc/?igshid=ev0jpedc9wl1 simply adore him and his attitude. i've listened to queen since the late 1970's. all ofnthe members are brilliant ,2020-07-30 20:32:34+00:00,,,1288935537634693128,,https://twitter.com/nogoddogs/status/1288935537634693128,0,0,,https://www.instagram.com/p/CDPKJtKMxxc/?igshid=ev0jpedc9wl1
"lauren, i was banned by my high risk 92 yr old father (copd chf) and respected his wishes. he passed on the 19 in hospital from chf and lung cancer. first time i visited him in 4 months was in hospital then he died. never made it out. also tested neg. for covid.",2020-07-23 09:34:47+00:00,,,1286233289628450820,,https://twitter.com/nogoddogs/status/1286233289628450820,0,0,CIAAG_Lauren,
cop's are an experiment. we were and still are being used and stored in a data base...the oligarchs have been influencing every agency esp fed. idiocracy has overtaken democrazy.,2020-07-23 02:32:12+00:00,,,1286126941440016385,,https://twitter.com/nogoddogs/status/1286126941440016385,0,0,ThomasKlineMD,
research what and how a virus is and 'survives'. basic. then put everything that's been done in its right place. this is a global reset.,2020-07-18 09:27:37+00:00,,,1284419545751531521,,https://twitter.com/nogoddogs/status/1284419545751531521,0,0,,
please people...use critical thinking and deduction. engineered bio weapon covid. goes to reset and control of the citizenry. virus has mutated. please question all the irrational guidelines that do not work. ? all reasons no-one is on the same page.,2020-07-18 09:23:13+00:00,,,1284418439545856002,,https://twitter.com/nogoddogs/status/1284418439545856002,0,0,TimRunsHisMouth,https://twitter.com/TimRunsHisMouth/status/1284251151005818883
society in disarray. mankind?,2020-07-15 02:03:34+00:00,,,1283220632998752256,,https://twitter.com/nogoddogs/status/1283220632998752256,0,0,ravensspirit68,
on exact point. agree.,2020-07-14 18:23:07+00:00,,,1283104755917770759,,https://twitter.com/nogoddogs/status/1283104755917770759,0,0,ravensspirit68,https://twitter.com/ravensspirit68/status/1283043915491430401
no. sorry. i wish i could be of help. i also purchased a new laptop but not what i wanted as 'kids at home' parents 'ran the laptops'. windows 10 took time to adjust. no idea about apple devices.,2020-07-14 18:20:58+00:00,,,1283104213778739204,,https://twitter.com/nogoddogs/status/1283104213778739204,1,0,PaulMiller1313,
a measurement comparing the milligram dosage of any prescribed opiate to be below or = to 90 milligrams of morphine...thus mme (morphine milligram equivalent),2020-07-14 14:46:06+00:00,,,1283050143361703940,,https://twitter.com/nogoddogs/status/1283050143361703940,0,0,MajorlyMost,
truth. and i refuse to utilize pt now for 22 years of chronic pain. just keeps pulling $$from cms and paying therapists. who has validated pt as the go-to replacing opiates for pain management anyway?,2020-07-14 14:38:38+00:00,,,1283048264678477830,,https://twitter.com/nogoddogs/status/1283048264678477830,0,0,CIAAG_Lauren,https://twitter.com/CIAAG_Lauren/status/1281268129822322694
thank you lauren.,2020-07-14 14:33:36+00:00,,,1283046998292258818,,https://twitter.com/nogoddogs/status/1283046998292258818,0,0,CIAAG_Lauren,
"agree. i had to make that decision in 2017... after my prescriber for benzos became qualified to rx suboxone. i actually was rx'd both for about a year. suboxone is a monster. no pain relieving quality. if you have been cut off opiates, subs stave off withdraw. for pain??? bs.",2020-07-14 14:33:10+00:00,,,1283046889361940480,,https://twitter.com/nogoddogs/status/1283046889361940480,0,0,Deeenst,
and the then operational government will have redefined pain. this is so wrong.,2020-07-14 14:23:46+00:00,,,1283044521773862914,,https://twitter.com/nogoddogs/status/1283044521773862914,0,0,ThomasKlineMD,https://twitter.com/ThomasKlineMD/status/1282525390368538624
that is absurd and unjustifiable...this is definitely part of a plan for the globalist society. how to commit genocide of a specific cohort group by denial of needed treatment. that group is us. those with documented chronic pain issues/medical conditions or pain related diseases,2020-07-14 14:21:55+00:00,,,1283044058173181959,,https://twitter.com/nogoddogs/status/1283044058173181959,0,0,ThomasKlineMD,
blm ,2020-07-12 20:41:35+00:00,,,1282414828385120258,@saytheirnames,https://twitter.com/nogoddogs/status/1282414828385120258,0,2,_SJPeace_,https://twitter.com/_SJPeace_/status/1282192300651806720
manipulative lies all the time. le are only public servants....why do they have guns in the first place? right?,2020-07-11 23:20:07+00:00,,,1282092334637817856,,https://twitter.com/nogoddogs/status/1282092334637817856,1,0,brent_kellogg,
opiate synthetic analgesics are more bio-adaptive to we humans opiate receptors .. this dependence not addiction usually occurs. msm spins and interchanges wording to cause the fake fact of 'opiate addiction' esp in chronic pain issues.,2020-07-05 10:59:54+00:00,,,1279731726961577984,,https://twitter.com/nogoddogs/status/1279731726961577984,0,0,Ledhedd,
"all suboxone does is prevent the horror of withdraw....after an abrupt cut off from 12 yrs opiate analgesic therapy, i was in 'blackout' mode due to withdraw... landed in a psych fac ... psychiatrist arrives w/o checking my med hx gives 8 mg suboxone... tada. withdraw gone ...",2020-07-05 10:51:42+00:00,,,1279729663665897473,,https://twitter.com/nogoddogs/status/1279729663665897473,0,0,,
yes protests allowed. xivil rights ... also it's this group who protests shoulder to shoulder who the government could care less about them contracting the 'virus'...,2020-07-05 10:41:07+00:00,,,1279726999599304710,,https://twitter.com/nogoddogs/status/1279726999599304710,0,0,TONYxTWO,
 2/ have no validity to state the amount of pain we are experiencing. the docs are playing the game bc it's rhwie6 life income. is there any way out of this horror show?,2020-07-05 09:28:39+00:00,,,1279708763021344768,@ravensspirit68,https://twitter.com/nogoddogs/status/1279708763021344768,0,0,,
 your comment lays out the end game in this bs campaign for the push for suboxone ... the one size fits all pain moderating analgesic. no pain relief bc of the naloxone which has such tight affinity to mu receptors ... we know what's up but as usual we (cpp's),2020-07-05 09:26:44+00:00,,,1279708282131808257,@ravensspirit68,https://twitter.com/nogoddogs/status/1279708282131808257,1,0,,
"i have, as many others, been told of the 'pain relieving abilities of suboxone... it's a lie. also told the naloxone in suboxone is useless? so why add it to the buprenorphine at all?. tried to get only buprenorphine. nope it's only advised if allergic, pregnant or specified???",2020-07-05 09:22:57+00:00,,,1279707330163150854,,https://twitter.com/nogoddogs/status/1279707330163150854,0,0,ravensspirit68,
"2/throwing this rough draft of an idea onto the mix. i have near 0 skill set on how to set this up and broadcast using zoom or a similar platform. as a cohesive group, cpp's need to be seen and heard. this is as close to group exposure i could rationally come up with. anyone?",2020-07-05 09:18:54+00:00,,,1279706308548136961,,https://twitter.com/nogoddogs/status/1279706308548136961,0,0,ravensspirit68,
"q possible plan. specific day all dont punish pain rallies have duo, zoom set up. connecting to state governors offices and broadcast every person who is able to state their chronic pain issue and lack of opiate analgesics treatment. i really am just throwing this out",2020-07-05 09:13:54+00:00,,,1279705049623597056,,https://twitter.com/nogoddogs/status/1279705049623597056,0,0,ravensspirit68,https://twitter.com/ravensspirit68/status/1279456813134430208
oops suboxone.. above statement,2020-07-04 16:27:46+00:00,,,1279451850438258690,,https://twitter.com/nogoddogs/status/1279451850438258690,0,0,MaaShealth,
i unfortunately was placed on subordinate and the amt of pain control is nixed by the added naloxone... is definitely be willing to try straight buprenorphine but no doc will rx it unless 1/ allergic 2/pregnant 3/ docs note that it's ok... how hypocritical is that ill reasoning,2020-07-04 16:27:03+00:00,,,1279451668841672707,,https://twitter.com/nogoddogs/status/1279451668841672707,0,0,MaaShealth,
i'm a ccp w/o. a prescriber... 12 yrs on opiates with moderated pain control... i'm in the same position as your friend... ssdi and car is falling apart. tried go fund me... unsuccessful. best to your friend and thanks you for standing with those of us needing legislation 3 pain,2020-07-04 16:23:04+00:00,,,1279450665836838914,,https://twitter.com/nogoddogs/status/1279450665836838914,0,0,MaaShealth,
"go dez. could you explain your field studies ,.. what they entailed ?",2020-07-04 14:58:24+00:00,,,1279429359095472129,,https://twitter.com/nogoddogs/status/1279429359095472129,1,0,MaaShealth,
criticality think this planned fear campaign through... the dots are bottomless pits of irrationality.,2020-07-02 23:58:34+00:00,,,1278840520819777538,,https://twitter.com/nogoddogs/status/1278840520819777538,0,0,Jali_Cat,
yes they've known it covid19 to be of the covid viral family since it's 'discovery'... to your point exactly.,2020-07-02 23:56:08+00:00,,,1278839906345852928,,https://twitter.com/nogoddogs/status/1278839906345852928,0,0,Jali_Cat,
"agreed ..."" baby you've been had""",2020-07-02 23:53:51+00:00,,,1278839333953429510,,https://twitter.com/nogoddogs/status/1278839333953429510,0,0,Jali_Cat,
queen and freddie mercury are the only performers i have ever respected. they achieved $and balance within the cutthroat arena of true artists.,2020-07-02 23:52:02+00:00,,,1278838878372315142,,https://twitter.com/nogoddogs/status/1278838878372315142,0,0,EveryDoggoKnows,
 i do like your location! i'm from down in a hole!,2020-07-02 23:47:01+00:00,,,1278837612619403267,@BrigidCovey,https://twitter.com/nogoddogs/status/1278837612619403267,0,0,,
i love your statement... it falls on greedy imbeciles who became self appointed ignorant tyrannical sell-outs.... and that's saying what i know quite nicely.,2020-07-02 23:45:13+00:00,,,1278837162293764098,,https://twitter.com/nogoddogs/status/1278837162293764098,0,0,cathy_kean,
excuse the hopelessness and blunt statement : being humans and not of wealth and privilege are fucked ,2020-07-02 23:41:48+00:00,,,1278836299705864194,,https://twitter.com/nogoddogs/status/1278836299705864194,2,1,NickCarlin6,
very cool. all of them! ,2020-07-02 17:17:23+00:00,,,1278739557555544065,,https://twitter.com/nogoddogs/status/1278739557555544065,1,0,reversechapter,
