text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
so if i go out to a pub in glasgow and there are people in the pub from any of these areas who have been there in the last fortnight - then what ??? i'm just throwing this out here. the virus is bossing us but it's bizarrely easy to contain clinically but impossible socially.,2020-07-30 23:21:16+00:00,,,1288977995613515777,,https://twitter.com/p3t3rmcd/status/1288977995613515777,0,0,JitterbugSs,
"it might just be possible that some people were diametrically opposed to the policies during thatcher's tenure and afterwards, including many of blair's and brown's and want scottish independence without being a fanboy/girl of nicola sturgeon either or snp groupie.",2020-07-30 22:23:01+00:00,,,1288963333245276162,,https://twitter.com/p3t3rmcd/status/1288963333245276162,0,0,uk_stronger,
"it's going to be his call. personally i think he's waiting for murdoch's backing. if it looks like it isn't happening before net ge then he'll split. he's not daft. neither's murdoch, so i'm guessing within 4 yrs, he'll be off.",2020-07-30 22:04:10+00:00,,,1288958590678716417,,https://twitter.com/p3t3rmcd/status/1288958590678716417,0,0,TuckerClemens,
sure we've got enough data to measure/compare the risk between inside and outside. personally i feel ok outside but fvcked if i'm going to spend any great amount of time inside apart from folks house.,2020-07-30 21:41:51+00:00,,,1288952975508090888,,https://twitter.com/p3t3rmcd/status/1288952975508090888,0,0,IanCookson72,
i just followed james woods to block him.,2020-07-30 21:35:09+00:00,,,1288951289829785605,,https://twitter.com/p3t3rmcd/status/1288951289829785605,0,0,JLCauvin,
i totally agree john. there should be pools of volunteers at the ready to just deliver it to the stations if the police don't want to stock it. my main annoyance is at the non recording of kits given out for scrutiny between forces and to measure its success. nobrainer,2020-07-30 21:33:16+00:00,,#nobrainer,1288950815248482305,,https://twitter.com/p3t3rmcd/status/1288950815248482305,0,0,JohnDivney,
"pubs and houses cold weather combination. it's bonkers - it's not going anywhere but from a simple clinical perspective, it's not that hard to avoid or deal with. however from a day to day living socio economic angle. it's bossing us.",2020-07-30 21:28:55+00:00,,,1288949719767678984,,https://twitter.com/p3t3rmcd/status/1288949719767678984,0,0,afterprohibends,
,2020-07-30 21:21:52+00:00,,,1288947945535045633,,https://twitter.com/p3t3rmcd/status/1288947945535045633,0,0,AngusMacNeilSNP,
sweden has a special way with dealing with the 'vulnerable'. they're good in many ways but there are some hardcore fvckin bonkers mad borderline eugenicists when it comes to public health.,2020-07-30 20:37:14+00:00,,,1288936714870951936,,https://twitter.com/p3t3rmcd/status/1288936714870951936,0,0,dohtcareahy,
that does appear to be one big wank circle.,2020-07-30 20:10:21+00:00,,,1288929948028358668,,https://twitter.com/p3t3rmcd/status/1288929948028358668,0,0,markgall7,
