text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
hahahha no i know it for fact my great grandfather got one for voting for a democratic governor and i have it.,2020-07-30 20:45:03+00:00,,,1288938681018068993,,https://twitter.com/painadvocateAR/status/1288938681018068993,2,0,Goin4sane66,
no one said you threatened lauren. you wrote a one ide hit piece. now im leaving at this. im not on a really good mood now from losing my cousin from drowning so you need to drop it or you wont like me at all,2020-07-30 20:38:39+00:00,,,1288937069516128263,,https://twitter.com/painadvocateAR/status/1288937069516128263,0,0,HappyWarriorP,
journalism 101.. ypu dont wrote about one side of a story without hearing the other side. you didn't have to mention names we all have been around along time and i actually worked for that woman that threatened lauren. so i know the truth.,2020-07-30 20:36:07+00:00,,,1288936434334945281,,https://twitter.com/painadvocateAR/status/1288936434334945281,0,0,HappyWarriorP,
no ma'am.,2020-07-30 20:33:06+00:00,,,1288935672645144589,,https://twitter.com/painadvocateAR/status/1288935672645144589,1,0,Goin4sane66,
"well i am friggin tired of the ones being attack and no more... see what you don't understand about me is i give to shit less. if you threaten me like lauren was threaten, here i am... bring it on.",2020-07-30 20:30:55+00:00,,,1288935125473021964,,https://twitter.com/painadvocateAR/status/1288935125473021964,1,0,HappyWarriorP,
you passively agressivelu did attack lauren without knowing the true story. i know the story well and what you were told was bullshit it didn't happen cause of lauren. she was the victim. then i became the next target so dont bullshit a bullshitter.,2020-07-30 20:28:05+00:00,,,1288934410428076038,,https://twitter.com/painadvocateAR/status/1288934410428076038,1,0,HappyWarriorP,
"so am i leah . no one can change the past. history is what we become today. but i would like to point out. dems was mostly southerns, the kkk was founded by dems and the term redneck came from dems who handed out red handkerchiefs for those that vote for a democrat.",2020-07-30 20:25:48+00:00,,,1288933836420767745,,https://twitter.com/painadvocateAR/status/1288933836420767745,1,0,Txsconstitution,
absolutely is,2020-07-30 20:21:32+00:00,,,1288932764188803074,,https://twitter.com/painadvocateAR/status/1288932764188803074,0,0,truthoverhate,
yes you have to prove it.,2020-07-30 20:16:34+00:00,,,1288931513418092544,,https://twitter.com/painadvocateAR/status/1288931513418092544,1,0,Goin4sane66,
thank you love to bow hunt,2020-07-30 20:15:25+00:00,,,1288931224619188224,,https://twitter.com/painadvocateAR/status/1288931224619188224,0,0,jaysanchezdorta,
yes it does,2020-07-30 19:39:39+00:00,,,1288922221361147905,,https://twitter.com/painadvocateAR/status/1288922221361147905,1,0,jaysanchezdorta,
andy great great grandma was on the trail of tears. and on the dawl roll of heritage,2020-07-30 19:38:58+00:00,,,1288922050023882755,,https://twitter.com/painadvocateAR/status/1288922050023882755,0,0,jaysanchezdorta,
