text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
this needs a emoji instead of a heart for liking this tweet,2020-07-30 22:12:44+00:00,,,1288960748144570368,,https://twitter.com/pharmerfour/status/1288960748144570368,1,1,KazH61,
"for july 2020,  are asking about consumer views of &amp; experiences with community pharmacy via the australian health panel https://chf.engageable.net/guest/workflows/770",2020-07-30 11:30:00+00:00,,,1288798998099181569,@CHFofAustralia,https://twitter.com/pharmerfour/status/1288798998099181569,0,1,,https://chf.engageable.net/guest/workflows/770
traversity is an online community for australian healthcare professionals ready to take action to deliver better care the time has come to break down the silos. ready to cross boundaries and make it better?  https://traversity.com.au/,2020-07-30 08:30:00+00:00,,,1288753698647281664,@traversity_au,https://twitter.com/pharmerfour/status/1288753698647281664,0,0,,https://traversity.com.au/
expressions of interest are open for membership of the national naidoc committee for period of sept 2020 – aug 2023. applications close 5pm (aest) monday 3 august 2020. http://naidoc.org.au/news/join-national-naidoc-committee-1 naidoc week this year is november 8-15 2020  alwayswasalwayswillbe,2020-07-30 06:30:00+00:00,,#AlwaysWasAlwaysWillBe,1288723500069351424,@naidocweek,https://twitter.com/pharmerfour/status/1288723500069351424,0,0,,http://naidoc.org.au/news/join-national-naidoc-committee-1
"pharmacists wise use survey pharmacist researchers are interested in finding out which information sources pharmacists use when faced with uncertainties in practice if you're an australian pharmacist, participate here https://uwa.qualtrics.com/jfe/form/sv_bwmzzp6k0cf3wjl",2020-07-30 04:30:00+00:00,,,1288693300954910721,,https://twitter.com/pharmerfour/status/1288693300954910721,0,2,,https://uwa.qualtrics.com/jfe/form/SV_bwMzzP6K0cF3WJL
i've decided my mask is going to remain a part of my life after covid19 is done. hayfever season for me is misery; anything that reduces pollen counts into my face is worth using.,2020-07-29 23:33:36+00:00,,,1288618710769401856,,https://twitter.com/pharmerfour/status/1288618710769401856,0,0,,
submissions for the royal commission into aged care quality and safety are open. have your say before july 31: https://lnkd.in/e6juaem agedcarerc agedcare,2020-07-29 20:00:00+00:00,,#AgedCareRC #agedcare,1288564957601075200,,https://twitter.com/pharmerfour/status/1288564957601075200,0,0,,https://lnkd.in/e6jUAem
"for july 2020,  are asking about consumer views of &amp; experiences with community pharmacy via the australian health panel https://chf.engageable.net/guest/workflows/770",2020-07-29 10:30:00+00:00,,,1288421510328115200,@CHFofAustralia,https://twitter.com/pharmerfour/status/1288421510328115200,0,0,,https://chf.engageable.net/guest/workflows/770
asthma educators on 1800 asthma (1800 278 462) are ready to help people with asthma &amp; the people who care for them get in touch today https://bit.ly/3f0u18z ,2020-07-29 06:30:00+00:00,,#asthma,1288361112744759296,@AsthmaAustralia,https://twitter.com/pharmerfour/status/1288361112744759296,0,0,,https://bit.ly/3f0U18Z
"pharmacists wise use survey pharmacist researchers are interested in finding out which information sources pharmacists use when faced with uncertainties in practice if you're an australian pharmacist, participate here https://uwa.qualtrics.com/jfe/form/sv_bwmzzp6k0cf3wjl",2020-07-29 05:30:00+00:00,,,1288346011832692737,,https://twitter.com/pharmerfour/status/1288346011832692737,0,0,,https://uwa.qualtrics.com/jfe/form/SV_bwMzzP6K0cF3WJL
lol i think my twitter profile photo covers it ;),2020-07-29 02:57:59+00:00,,,1288307755942465536,,https://twitter.com/pharmerfour/status/1288307755942465536,0,0,Patwreid,
submissions for the royal commission into aged care quality and safety are open. have your say before july 31: https://lnkd.in/e6juaem agedcarerc agedcare,2020-07-28 21:00:00+00:00,,#AgedCareRC #agedcare,1288217667611000832,,https://twitter.com/pharmerfour/status/1288217667611000832,0,0,,https://lnkd.in/e6jUAem
" virtual program in september coincides with world pharmacy week, &amp; the 10th world pharmacy day the fip virtual 2020 website is now up &amp; running! https://virtual2020.fip.org don’t be late &amp; save the date! fip pharmacists pharmacyheroes",2020-07-28 13:30:00+00:00,,#fip #pharmacists #PharmacyHeroes,1288104421797302272,@FIP_org,https://twitter.com/pharmerfour/status/1288104421797302272,0,0,,https://virtual2020.fip.org
have you listened to  yet? subscribe today &amp; listen to  talk to pharmacists from australia &amp; around the world about issues affecting pharmacy practice https://open.spotify.com/show/7bdmzzr3i2enqvmlmrgqxd,2020-07-28 13:00:01+00:00,,,1288096875023933445,@AJPPodcast @carlene_ngoma,https://twitter.com/pharmerfour/status/1288096875023933445,1,1,,https://open.spotify.com/show/7bdMZZr3i2eNqvmLMrgqXD
university of melbourne has developed a free online short-course designed to support health professionals communicate covid-19 to patients and the wider community https://mdhs-study.unimelb.edu.au/short-courses/mms-short-courses/communicating-covid-19-preparing-clinicians-to-tackle-challenging-questions/overviewoverview,2020-07-28 12:30:00+00:00,,,1288089322596573184,,https://twitter.com/pharmerfour/status/1288089322596573184,0,2,,https://mdhs-study.unimelb.edu.au/short-courses/mms-short-courses/communicating-covid-19-preparing-clinicians-to-tackle-challenging-questions/overview#overview
"if you or your partner has recently been diagnosed with gestational diabetes , this web page has all the information you need to get started on your diabetes journey http://ow.ly/sday50anvfv  ",2020-07-28 11:00:00+00:00,,#diabetes,1288066671316545541,@DiabetesAus @NDSS_AUS,https://twitter.com/pharmerfour/status/1288066671316545541,0,0,,http://ow.ly/SDAY50AnvFv
international overdose awareness day is 31st august there are so many ways to make a difference watch this video for some inspiration – and share widely endoverdose  ,2020-07-28 10:45:00+00:00,,#EndOverdose,1288062896388243458,@HRV_Aust @OverdoseDay,https://twitter.com/pharmerfour/status/1288062896388243458,0,0,,
"for july 2020,  are asking about consumer views of &amp; experiences with community pharmacy via the australian health panel https://chf.engageable.net/guest/workflows/770",2020-07-28 09:30:00+00:00,,,1288044023005851648,@CHFofAustralia,https://twitter.com/pharmerfour/status/1288044023005851648,0,0,,https://chf.engageable.net/guest/workflows/770
are you a community pharmacist currently practising in victoria? please complete a short anonymous survey on your knowledge and perspectives of voluntary assisted dying une ethics approval (he20-106) link: https://unesurveys.au1.qualtrics.com/jfe/form/sv_3ygib7ob50vfoq1,2020-07-28 08:00:00+00:00,,,1288021373969981441,,https://twitter.com/pharmerfour/status/1288021373969981441,0,2,,https://unesurveys.au1.qualtrics.com/jfe/form/SV_3yGiB7Ob50vfoq1
pharmacy covid-19 testing trial to commence https://ajp.com.au/news/pharmacy-covid-19-testing-trial-to-commence/ south australia is rolling out a two-week testing pilot commencing at several metropolitan pharmacies this week  ,2020-07-28 07:30:00+00:00,,,1288013823232729088,@AJPEditor @sheshypea,https://twitter.com/pharmerfour/status/1288013823232729088,0,0,,https://ajp.com.au/news/pharmacy-covid-19-testing-trial-to-commence/
"digitalhealth elearning courses are available for people who work in healthcare modules are available on my health record, electronic prescribing, and digital security http://training.digitalhealth.gov.au ",2020-07-28 07:15:00+00:00,,#DigitalHealth #healthcare,1288010048137027585,@AuDigitalHealth,https://twitter.com/pharmerfour/status/1288010048137027585,0,0,,http://training.digitalhealth.gov.au
"pharmacists wise use survey pharmacist researchers are interested in finding out which information sources pharmacists use when faced with uncertainties in practice if you're an australian pharmacist, participate here https://uwa.qualtrics.com/jfe/form/sv_bwmzzp6k0cf3wjl",2020-07-28 06:30:00+00:00,,,1287998723558006785,,https://twitter.com/pharmerfour/status/1287998723558006785,0,0,,https://uwa.qualtrics.com/jfe/form/SV_bwMzzP6K0cF3WJL
"in winter, it’s easy to forget the choking skies we couldn’t escape during record summer bushfires. but, people with asthma have not forgotten donate now to help people with asthma to breathe easier. https://bit.ly/3frknfj ",2020-07-28 05:00:00+00:00,,#asthma,1287976074564063232,@AsthmaAustralia,https://twitter.com/pharmerfour/status/1287976074564063232,0,0,,https://bit.ly/3fRKNfJ
world hepatitis day (whd) on 28 july is one of only nine international health days highlighted by the world health organisation and partners across the globe find out how you can raise awareness  https://www.hepvic.org.au/ endhep whd2020 today!,2020-07-27 23:00:01+00:00,,#EndHep #WHD2020,1287885481707880448,@hepvic,https://twitter.com/pharmerfour/status/1287885481707880448,0,1,,https://www.hepvic.org.au/
submissions for the royal commission into aged care quality and safety are open. have your say before july 31: https://lnkd.in/e6juaem agedcarerc agedcare,2020-07-27 22:00:01+00:00,,#AgedCareRC #agedcare,1287870381684973568,,https://twitter.com/pharmerfour/status/1287870381684973568,0,0,,https://lnkd.in/e6jUAem
yep ,2020-07-27 20:38:22+00:00,,,1287849834460790784,,https://twitter.com/pharmerfour/status/1287849834460790784,0,0,ThomasSideways,
"webinar: eliminating viral hepatitis & adapting to covid-19 four years after simple & effective hepatitis c treatment was made broadly accessible, australia remains about halfway towards its elimination goals https://zoom.us/webinar/register/wn_uxvirlzdtvgtg9flvvr-ka ",2020-07-27 12:45:00+00:00,,,1287730707570274306,@BurnetInstitute,https://twitter.com/pharmerfour/status/1287730707570274306,0,0,,https://zoom.us/webinar/register/WN_UXvIRLZdTvGtg9FLvvr-kA
" virtual program in september coincides with world pharmacy week, &amp; the 10th world pharmacy day the fip virtual 2020 website is now up &amp; running! https://virtual2020.fip.org don’t be late &amp; save the date! fip pharmacists pharmacyheroes",2020-07-27 12:30:00+00:00,,#fip #pharmacists #PharmacyHeroes,1287726934923845633,@FIP_org,https://twitter.com/pharmerfour/status/1287726934923845633,0,0,,https://virtual2020.fip.org
have you listened to  yet? subscribe today &amp; listen to  talk to pharmacists from australia &amp; around the world about issues affecting pharmacy practice https://open.spotify.com/show/7bdmzzr3i2enqvmlmrgqxd,2020-07-27 12:00:00+00:00,,,1287719383704403968,@AJPPodcast @carlene_ngoma,https://twitter.com/pharmerfour/status/1287719383704403968,0,0,,https://open.spotify.com/show/7bdMZZr3i2eNqvmLMrgqXD
international overdose awareness day is 31st august there are so many ways to make a difference watch this video for some inspiration – and share widely endoverdose  ,2020-07-27 11:45:00+00:00,,#EndOverdose,1287715608117882880,@HRV_Aust @OverdoseDay,https://twitter.com/pharmerfour/status/1287715608117882880,0,1,,
"yah, vic. depends on those state's laws.... but the only thing i'm concerned about is that you're anonymous/can't be identified. ahpra known for picking things up on social media",2020-07-27 10:25:49+00:00,,,1287695682736762880,,https://twitter.com/pharmerfour/status/1287695682736762880,1,0,ThomasSideways,
"are you a young person who, or has your child recently been diagnosed with diabetes ? this web page has all the information you need to get started on your diabetes journey http://ow.ly/gxph50anw5b  ",2020-07-27 10:00:01+00:00,,#diabetes,1287689188859674624,@DiabetesAus @NDSS_AUS,https://twitter.com/pharmerfour/status/1287689188859674624,0,0,,http://ow.ly/GXph50Anw5b
"national pain week this year starts with a live facebook discussion today at noon join us to hear from people who live with chronic pain, and to discuss the results of the national pain survey 2020 npw2020  http://www.nationalpainweek.org.au",2020-07-27 10:00:00+00:00,,#NPW2020,1287689184073809925,@ChronicPainAust,https://twitter.com/pharmerfour/status/1287689184073809925,0,0,,http://www.nationalpainweek.org.au
