text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
"we caught a huge bear on the game cam last night. strolling by the back fence, about 20 ft from the back door. wish i could load the video onto twitter, but can only take screenshots of the video to post.",2020-07-30 22:16:53+00:00,,,1288961790420819970,,https://twitter.com/ravensspirit68/status/1288961790420819970,12,10,,
 ,2020-07-30 22:05:26+00:00,,,1288958908187303937,,https://twitter.com/ravensspirit68/status/1288958908187303937,0,0,moosepyro,
"she's ok. she told me she just stared the one guy being the most aggressive down. she's taken self defense classes, and could hold her own to a point, but to have 50 year old males being aggressive & intimidating to a 25 yr old young woman minding her own business is disgusting.",2020-07-30 22:02:10+00:00,,,1288958089408860160,,https://twitter.com/ravensspirit68/status/1288958089408860160,2,0,Irishbrat1966,
yep. the intersection is extremely small.,2020-07-30 19:20:27+00:00,,,1288917391171129344,,https://twitter.com/ravensspirit68/status/1288917391171129344,0,0,lpray18,
unfortunately no. just some of our local 'good ol' boys'. smh,2020-07-30 18:50:05+00:00,,,1288909750147510273,,https://twitter.com/ravensspirit68/status/1288909750147510273,1,0,h3x_mat3,
i live in a very conservative area of ca and it's been happening to a lot of people here who are wearing masks in public.,2020-07-30 17:37:17+00:00,,,1288891426760093703,,https://twitter.com/ravensspirit68/status/1288891426760093703,3,1,Lynnsather1966,
i agree. still worrisome though. she's little but she's mighty.,2020-07-30 17:35:47+00:00,,,1288891051378237440,,https://twitter.com/ravensspirit68/status/1288891051378237440,1,0,torch437,
"they'll never come out & say they were wrong-that rx'd opiates were not a major player in the addiction/od crisis. they state that it's primarily an illicit drug problem now, insinuating that rxs were the driving force in the so called 'opioidcrisis'. greatopioidlie",2020-07-30 17:30:18+00:00,,#opioidcrisis #GreatOpioidLie,1288889669837455362,,https://twitter.com/ravensspirit68/status/1288889669837455362,2,15,,
"*intimidated twitterstorians i'm so angry right now. mess with my kids, and mama bear comes out with claws ready to rip.",2020-07-30 17:12:34+00:00,,#twitterstorians,1288885208876384257,,https://twitter.com/ravensspirit68/status/1288885208876384257,3,2,,
"just found out that my daughter, was accosted by two men in a line at the store because she was wearing a mask. they made gestures & comments degrading her & making fun of her. she felt very intimidating as one was behind her & one in front. she wears a mask to protect me.",2020-07-30 17:10:24+00:00,,,1288884660869541888,,https://twitter.com/ravensspirit68/status/1288884660869541888,57,19,,
,2020-07-30 16:23:02+00:00,,,1288872742591184898,,https://twitter.com/ravensspirit68/status/1288872742591184898,1,2,,https://harpers.org/archive/2018/04/the-pain-refugees/?fbclid=IwAR2hKczQayhRklKOboND8C_4Czg3-WkBVFyaAQKM6ag1gIfFNbsRVkB9o08
"invitation  about the current issue where ppl are now denied needed medicines. desperate, some now even seek relief on the streets, but most merely suffer. the 'opioid crisis' response merely made a deadly situation deadlier. cpp pls join in. greatopioidlie",2020-07-30 16:21:09+00:00,,#CPP #GreatOpioidLie,1288872267443666945,,https://twitter.com/ravensspirit68/status/1288872267443666945,1,2,,
"we can make complete sense. point out the corruption, the insanity of this system, and the people in power will merely laugh and shrug us off because they know we can't do shit about it.",2020-07-30 14:41:12+00:00,,,1288847114080907264,,https://twitter.com/ravensspirit68/status/1288847114080907264,1,1,,https://www.youtube.com/watch?v=TnwGdl1YrQ8
it's pointless.,2020-07-30 13:59:03+00:00,,,1288836506610569217,,https://twitter.com/ravensspirit68/status/1288836506610569217,3,14,,
"leaving the sick & injured in pain, suffering when there are medicines to alleviate suffering, is cruel & unusual punishment.  did little to nothing to help tens of millions. things have only gotten worse. ods still skyrocketing. ppl in pain denied proper care. wearedying",2020-07-30 13:18:26+00:00,,#WeAreDying,1288826287239204864,@hrw,https://twitter.com/ravensspirit68/status/1288826287239204864,0,7,,
yep.,2020-07-29 23:56:19+00:00,,,1288624425110089728,,https://twitter.com/ravensspirit68/status/1288624425110089728,0,1,Paul_Bradley425,
the original longhaulers i'm a 36 yr member of the club no one want's to be a member of. myalgicencephalomyelitis,2020-07-29 19:05:11+00:00,,#LongHaulers #MyalgicEncephalomyelitis,1288551161910288385,,https://twitter.com/ravensspirit68/status/1288551161910288385,1,4,AertbyLisa,https://twitter.com/AertbyLisa/status/1288542306803621889
"oh, yes the pa there was very giddy about telling us that she could now rx bupe as she had just gotten her xwaiver. i wasn't there for pain management or even seeking care for pain in any regard. i've also not been on pain meds for about 8 years now for my c-spine injury.",2020-07-29 18:53:26+00:00,,,1288548201759268864,,https://twitter.com/ravensspirit68/status/1288548201759268864,0,0,tal7291,
"2/the md stated on more than one occasion, in front of my husband, said that mds were 'being watched' regarding rxing certain medicines. he also stated that if it were a few years ago, he'd be 'handing me an rx for the med i needed with 6 refills' but that things had changed.",2020-07-29 18:50:40+00:00,,,1288547508415680512,,https://twitter.com/ravensspirit68/status/1288547508415680512,2,1,ravensspirit68,
"i was referred by md to their behavior health person to be assessed. saw him twice, we spoke on phone as well. he told me he didn't see any reason why i shouldn't be rxd the med for vertigo. never said he thought i had a sud & told me to keep advocating for myself.",2020-07-29 18:47:56+00:00,,,1288546818825916417,,https://twitter.com/ravensspirit68/status/1288546818825916417,2,0,tal7291,
"i did file a complaint with anthem, they stated they found no impropriety re: another issue when i sought care and was denied needed medicine and told me to file a complaint with the medical board.",2020-07-29 18:09:47+00:00,,,1288537219846647808,,https://twitter.com/ravensspirit68/status/1288537219846647808,2,0,tal7291,
i'd have to look into it and go request my records etc... but if i do get the info i'll let you know.,2020-07-29 18:03:28+00:00,,,1288535630180257792,,https://twitter.com/ravensspirit68/status/1288535630180257792,1,0,tal7291,
"i've tried almost everything else, but not that.",2020-07-29 17:59:00+00:00,,,1288534503602794496,,https://twitter.com/ravensspirit68/status/1288534503602794496,1,0,tal7291,
the two videos at the bottom of the ca medical board's website speak for themselves. https://www.mbc.ca.gov/,2020-07-29 17:39:17+00:00,,,1288529544891121664,,https://twitter.com/ravensspirit68/status/1288529544891121664,1,0,ravensspirit68,https://www.mbc.ca.gov/
wonder how much transparency there would be? i'm sure they would cite some hippa bs. and who would be in charge of oversight that could be impartial and objective at this point?,2020-07-29 17:37:57+00:00,,,1288529206305931264,,https://twitter.com/ravensspirit68/status/1288529206305931264,0,0,tal7291,
anthem bc through the university of california.,2020-07-29 17:36:24+00:00,,,1288528817451982850,,https://twitter.com/ravensspirit68/status/1288528817451982850,1,0,tal7291,
"2/i challenged his decision-the benzodiazepine, rxd by an er doc had helped reduce my vertigo a great deal. my md kept stalling then they did this & abandoned me. right in the middle of screening for poss breast ca, as i had developed a lesion on my breast. medicallyabandoned",2020-07-29 17:35:52+00:00,,#MedicallyAbandoned,1288528683573993472,,https://twitter.com/ravensspirit68/status/1288528683573993472,0,0,ravensspirit68,
"yes, it's part of my medical record now. i had asked my md to continue on a benzodiazepine for severe vertigo that started in nov last year. he stated he was being scrutinized & was uncomfortable rxing that med. i did a whole thread on the nightmare.",2020-07-29 17:32:48+00:00,,,1288527913025851393,,https://twitter.com/ravensspirit68/status/1288527913025851393,3,0,tal7291,
"i filed a formal complaint with both the board of health and the medical board in ca. they both told me there was an 'investigation' and that they found no impropriety in regard to the care, or lack thereof, that i received.",2020-07-29 17:28:37+00:00,,,1288526857827098624,,https://twitter.com/ravensspirit68/status/1288526857827098624,1,0,funchefchick,
"they've denied my complaints thus far. i've filed 2. they are anti-opioid to the core. i have no recourse in ca for fairness, or access to proper treatment.",2020-07-29 17:25:37+00:00,,,1288526102378373120,,https://twitter.com/ravensspirit68/status/1288526102378373120,1,0,tal7291,
"i've already been branded, abandoned, and left for dead. i was also told by an md just last year that denying patients in pain opioids is for for the good of society and part of the new 'wellness initiative. it's the chapter in the anti-opioid handbook after ""enhanced recovery""",2020-07-29 16:26:15+00:00,,,1288511162707918853,,https://twitter.com/ravensspirit68/status/1288511162707918853,4,0,tal7291,
just sayin'.,2020-07-29 16:16:03+00:00,,,1288508597219934208,,https://twitter.com/ravensspirit68/status/1288508597219934208,2,3,,
"""the opioidcrisis""",2020-07-29 16:15:10+00:00,,#OPIOIDCRISIS,1288508375181885440,,https://twitter.com/ravensspirit68/status/1288508375181885440,1,3,,
,2020-07-29 16:14:39+00:00,,,1288508243669442561,,https://twitter.com/ravensspirit68/status/1288508243669442561,0,4,,
"for the record, those deemed 'recovered' from covid19 are merely those who don't die and then test negative after receiving a positive diagnosis. if you are one of the covid19 longhaulers, who may have long term/lifelong health issues, you're still counted as recovered.",2020-07-29 16:08:43+00:00,,#LongHaulers,1288506749423464449,,https://twitter.com/ravensspirit68/status/1288506749423464449,3,5,,
"we all know individualized care is a joke now. a joke on all of us being ravaged by untreated and undertreated pain, all courtesy of the greatopioidlie.",2020-07-29 15:58:38+00:00,,#untreated #GreatOpioidLie,1288504213371142145,,https://twitter.com/ravensspirit68/status/1288504213371142145,1,1,NickCarlin6,
"actually, i'd assert that listening to those of us existing w/painful conditions and believing us would improve our care; as would doing away with the opiophobic narrative in medicine today. paincarecrisis wearedying greatopioidlie",2020-07-29 15:56:47+00:00,,#PainCareCrisis #WeAreDying #GreatOpioidLie,1288503749992804354,,https://twitter.com/ravensspirit68/status/1288503749992804354,0,1,DrSeanMackey,
i'm curious.,2020-07-29 15:26:03+00:00,,,1288496012818968578,,https://twitter.com/ravensspirit68/status/1288496012818968578,0,0,Heather98323492,
"i hope you're right. i'm not sure i'll make it to see the day, but maybe if my children or grandchildren ever find themselves in need of care they will not face the same horrors.",2020-07-29 15:08:49+00:00,,,1288491677552795648,,https://twitter.com/ravensspirit68/status/1288491677552795648,1,0,funchefchick,
