text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
a man doesn’t have tiktok.,2020-07-30 23:43:10+00:00,,,1288983505259520001,,https://twitter.com/simplylorilee/status/1288983505259520001,0,0,Johnny_Joey,
"today, herman cain is with jesus. mr. cain has experienced the ultimate healing. god is stronger than coronavirus.",2020-07-30 23:31:03+00:00,,,1288980456281645056,,https://twitter.com/simplylorilee/status/1288980456281645056,0,0,cenkuygur,
"to a christian, death is the ultimate healing. people have faced much greater dangers than a virus to maintain freedom in america for the next generation.",2020-07-30 23:27:55+00:00,,,1288979666250928129,,https://twitter.com/simplylorilee/status/1288979666250928129,0,0,Cernovich,
i’m doing well thank you. couple of new stints and i’m almost as good as new. my family is christian so we don’t really fear death so we laugh about everything. it’s our stress reliever.,2020-07-30 17:17:54+00:00,,,1288886550839861250,,https://twitter.com/simplylorilee/status/1288886550839861250,0,0,esenkmajer,
very kind. thank you.,2020-07-30 17:13:34+00:00,,,1288885460912275465,,https://twitter.com/simplylorilee/status/1288885460912275465,1,0,esenkmajer,
mi,2020-07-30 17:10:45+00:00,,,1288884749856124930,,https://twitter.com/simplylorilee/status/1288884749856124930,0,0,JudgeJeaninefan,
"i was at my son’s house a few weeks ago and had a heart attack. he knows i don’t trust covid reporting so while i was laying on the floor waiting for the paramedics he said, “don’t die, mom, or you’ll be counted as a covid victim.” i laughed. (while clutching my chest)",2020-07-30 17:06:47+00:00,,,1288883752018620416,,https://twitter.com/simplylorilee/status/1288883752018620416,1,0,jason_howerton,
 my deepest condolences. mr. cain was a good man and he will be missed.,2020-07-30 16:02:43+00:00,,,1288867627516022785,@THEHermanCain,https://twitter.com/simplylorilee/status/1288867627516022785,0,0,,
"trump is a bully for sure and he loves pushing buttons, but it’s just so easy for him when the left freaks out every single time. how can we not laugh?",2020-07-30 16:01:11+00:00,,,1288867241610575872,,https://twitter.com/simplylorilee/status/1288867241610575872,0,0,KurtSchlichter,
i had a heart attack 3 wks ago. i started cardiac rehab and we have to wear masks while exercising. it is so hard to breath and it’s 10x hotter. i was swimming 3 miles a week before the gyms were all closed in march. it’s ridiculous.,2020-07-30 12:52:22+00:00,,,1288819726509056000,,https://twitter.com/simplylorilee/status/1288819726509056000,0,1,JordanSchachtel,
