text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
that’s what sabbaticals are for!,2020-07-29 21:30:07+00:00,,,1288587632331677696,,https://twitter.com/tdbrothers/status/1288587632331677696,1,0,MrAhmednurAli,
"unless you have a good job, then maybe only $20",2020-07-26 00:13:46+00:00,,,1287179264962564103,,https://twitter.com/tdbrothers/status/1287179264962564103,0,0,iehnekahawis,
i have a joke about canadian health care & i swear it’s really good but you’re all going to have to wait a bit,2020-07-25 23:33:24+00:00,,,1287169110120570881,,https://twitter.com/tdbrothers/status/1287169110120570881,1,0,theplaguedoc,https://twitter.com/theplaguedoc/status/1286677361979723777
"unfortunately we never held a key to the building, never had our own bank account, and had no formal organizational structure - we relied on good faith arrangements with others who fought & led with us, without ever thinking they could take it all away. lesson learned.",2020-07-23 15:47:59+00:00,,,1286327207024046082,,https://twitter.com/tdbrothers/status/1286327207024046082,0,1,matthew__bonn,
"thanks, stef - that says it better than i could",2020-07-22 19:09:34+00:00,,,1286015549072461826,,https://twitter.com/tdbrothers/status/1286015549072461826,0,0,stefmater,
we almost did it for this first ops but we couldn’t find anywhere we’d be able to park it. maybe after a successful year indoors somebody would let us use their parking lot,2020-07-22 18:04:24+00:00,,,1285999150845300738,,https://twitter.com/tdbrothers/status/1285999150845300738,1,0,kwardvancouver,
we just might,2020-07-22 17:55:43+00:00,,,1285996963192864768,,https://twitter.com/tdbrothers/status/1285996963192864768,1,0,kwardvancouver,
"for a year we ran an ops in halifax, with a group of people that came together to support the health & rights of people who use drugs. we had positive feedback from the community & showed that it’s possible. i hope we changed some hearts & minds /13",2020-07-22 16:57:21+00:00,,,1285982274215968769,,https://twitter.com/tdbrothers/status/1285982274215968769,2,2,,
"eventually differences in philosophy & priority developed among our group and started a process that led to some people leaving & seems to have contributed to the site closing. this the part i still don’t understand, but hope to learn more soon 12/",2020-07-22 16:57:20+00:00,,,1285982272634728448,,https://twitter.com/tdbrothers/status/1285982272634728448,1,1,,
"but as the organization was focused on service delivery & trying to survive by a thread, we no longer seemed to prioritize advocacy, social justice, liberation, and centring voices at the margins we were really just trying to keep the site open against the odds 11/",2020-07-22 16:57:20+00:00,,,1285982270361423873,,https://twitter.com/tdbrothers/status/1285982270361423873,2,1,,
"i’m so glad that i could participate in the co-leadership of an organization along with advocates who use drugs & that centered the perspectives of people who use drugs our group also included lawyers, academics, health care professionals, and community service providers 10/",2020-07-22 16:57:17+00:00,,,1285982260357935105,,https://twitter.com/tdbrothers/status/1285982260357935105,1,1,,
"our leadership structure was amorphous & organic, even after the mi’kmaw native friendship centre graciously & generously took us on as a program, providing their insurance oversight in-kind 9/",2020-07-22 16:46:05+00:00,,,1285979441773060096,,https://twitter.com/tdbrothers/status/1285979441773060096,2,1,,
our group leadership that had been focused on advocacy & policy change morphed into a focus on service delivery our priorities became establishing our operating procedures and continuing to connect with the few neighbours who expressed opposition to the site 8/,2020-07-22 16:44:01+00:00,,,1285978921767522311,,https://twitter.com/tdbrothers/status/1285978921767522311,1,1,,
"we operated on the t-shirt money. 3-4 hours per day, 6 days per week, employing people with lived experience of injection substance use as front line staff they did overdose response & cpr training, provided support and connection — they did outstanding work 7/",2020-07-22 16:41:46+00:00,,,1285978354030645248,,https://twitter.com/tdbrothers/status/1285978354030645248,2,3,,
"without any other viable options for a location, and with an increasingly toxic local drug supply & and the upcoming (last) federal election we felt we didn’t have much choice but to open the space where people who use drugs can use drugs & not have to die 6/",2020-07-22 16:41:46+00:00,,,1285978352403337216,,https://twitter.com/tdbrothers/status/1285978352403337216,1,2,,
"ns public health had been assisting us with our pitch to the provincial government & with planning for further community consultations, but suddenly the government told them they were no longer allowed to even reply to our emails 5/",2020-07-22 16:41:45+00:00,,,1285978350822072320,,https://twitter.com/tdbrothers/status/1285978350822072320,1,2,,
"through private donations, t-shirt sales, and a generous donation from  of both money and space, we opened the site last year there were a few community members who expressed vocal opposition to the site location, and this was challenging for us to navigate 4/",2020-07-22 16:41:45+00:00,,,1285978349081370624,@Direction180,https://twitter.com/tdbrothers/status/1285978349081370624,1,2,,
"after years of planning, advocacy, and with largely very positive community support we were able to obtain an “urgent public health need site” exemption from health canada to operate our ops legally, but without any government political or financial support 3/",2020-07-22 16:41:45+00:00,,,1285978347630190592,,https://twitter.com/tdbrothers/status/1285978347630190592,2,2,,
"there are apparently other plans to establish an ops elsewhere in halifax some time soon, but  has so far not been invited to participate in that process 2/",2020-07-22 16:41:44+00:00,,,1285978345352695813,@halifix902,https://twitter.com/tdbrothers/status/1285978345352695813,1,4,,
"heartbreaking that the ops we worked hard to establish is now closed we’re still trying to understand what happened & why, but members who had control over the physical space and to our financial resources decided that it could not continue in its current location 1/",2020-07-22 16:41:42+00:00,,,1285978338671108098,,https://twitter.com/tdbrothers/status/1285978338671108098,8,40,halifix902,https://twitter.com/halifix902/status/1285964000677822465
makes sense to me!,2020-07-12 14:54:18+00:00,,,1282327431819538433,,https://twitter.com/tdbrothers/status/1282327431819538433,1,0,ebtapper,
"i find this fascinating. if hh has low penetrance, how would we confirm the diagnosis & what would be next step? if homozygous & tsat 80% but ongoing heavy alcohol use, would you start phlebotomy anyway? or do liver biopsy first?",2020-07-12 12:57:10+00:00,,,1282297952959172612,,https://twitter.com/tdbrothers/status/1282297952959172612,1,0,ebtapper,
are you able to share the design with us?,2020-07-08 10:54:52+00:00,,,1280817624142819328,,https://twitter.com/tdbrothers/status/1280817624142819328,0,0,rusmaynard,
congrats!!!,2020-07-05 17:34:47+00:00,,,1279831102723588097,,https://twitter.com/tdbrothers/status/1279831102723588097,0,0,kinnathakarar,
congrats  !! fascinating work,2020-07-03 20:41:39+00:00,,,1279153354367799297,@David_D_Ward,https://twitter.com/tdbrothers/status/1279153354367799297,0,0,GreenJournal,
thanks for all the support!!,2020-07-01 00:04:42+00:00,,,1278117289154486272,,https://twitter.com/tdbrothers/status/1278117289154486272,1,0,research_dal,
"the internists i know who make advocacy part of their work are the most energized and passionate, and some of the best doctors i know i think it's a vaccine against burnout",2020-06-26 17:41:07+00:00,,,1276571206754480128,,https://twitter.com/tdbrothers/status/1276571206754480128,3,3,tdbrothers,
"i do think family med, psych, and public health are a lot further along in terms of explicitly acknowledging how much sdoh, inequity, marginalization are central to medicine it's not yet ""mainstream"" in im (but we're getting there). i think a disservice to patients & doctors",2020-06-26 17:40:27+00:00,,,1276571037749202945,,https://twitter.com/tdbrothers/status/1276571037749202945,1,0,tdbrothers,
"all the internists/advocates on this list inspired me to go into im (some i'd never met in real life, but only through their research or writing). also     &amp; others not on twitter, incl. jeff turnbull &amp; alexandra king",2020-06-26 17:38:36+00:00,,,1276570573565562887,@Krockdoc @StephenHwang @anitapalepu @IrfanDhalla,https://twitter.com/tdbrothers/status/1276570573565562887,1,0,CamillaParpia,
congrats!!,2020-06-26 11:54:38+00:00,,,1276484007820214272,,https://twitter.com/tdbrothers/status/1276484007820214272,0,0,dmwerb,
congrats!! really creative & awesome approach to the lack of a “gold standard” for sars-cov-2 diagnosis,2020-06-25 20:30:21+00:00,,,1276251404739502083,,https://twitter.com/tdbrothers/status/1276251404739502083,0,0,AlainnaJJ,
"“it is crucial that people who smoke illegal drugs are considered a vulnerable population in regard to covid 19 transmission and fatality risk, with innovative harm reduction measures scaled up in response.”",2020-06-25 14:02:40+00:00,,,1276153840564416513,,https://twitter.com/tdbrothers/status/1276153840564416513,1,2,pwidpride,https://twitter.com/pwidpride/status/1276146526394482689
congrats marlon!,2020-06-23 17:10:09+00:00,,,1275476250413404162,,https://twitter.com/tdbrothers/status/1275476250413404162,1,0,MarlonDanMD,
congratulations!!!! so so well deserved :),2020-06-10 22:49:55+00:00,,,1270850711329427456,,https://twitter.com/tdbrothers/status/1270850711329427456,0,0,_alexbcollins,
"powerful interview w/ desmond cole on the case for police abolition - covering the purpose & history of policing, and who feels protected vs. who are terrorized by state-sanctioned violence",2020-06-10 09:48:57+00:00,,,1270654174452219906,,https://twitter.com/tdbrothers/status/1270654174452219906,1,2,,https://www.thestar.com/podcasts/thismatters/2020/06/09/desmond-cole-and-the-case-for-defunding-police.html
“...the loudest voices calling for ‘peaceful protests’ really want ineffective protests. the irony is that ... their shamelessness could make a nonviolent response to the overwhelming violence of the state impossible”,2020-06-08 01:10:58+00:00,,,1269799042067947525,,https://twitter.com/tdbrothers/status/1269799042067947525,0,2,,https://katz.substack.com/p/nonviolence-doesnt-work-without-shame?r=blkq&utm_campaign=post&utm_medium=web&utm_source=copy
thanks! i've been sharing your new cid oral antibiotic paper just like i was sharing your last cid addiction medicine consultation paper. keep up the great work & thank you for teaching all of us!,2020-06-05 22:55:28+00:00,,,1269040168201265152,,https://twitter.com/tdbrothers/status/1269040168201265152,0,0,LauraMarks5,
"20/ & yet in this new study case-control study to identify risk factors for ie, injecting controlled-release hydromorphone was not associated with increased risk. however, the difference might not be ""statistically significant"" because almost everyone in cases & controls used it",2020-06-05 22:50:39+00:00,,,1269038956613636096,,https://twitter.com/tdbrothers/status/1269038956613636096,0,0,,
19/ this is the research team that identified sustained-release formulation of hydromorphone & sharing filters associated w/ increased risk of bacterial infection/ie (& hiv): https://www.thelancet.com/journals/laninf/article/piis1473-3099(19)30705-4/fulltext https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219777 https://journals.lww.com/jaids/fulltext/2019/08010/heating_injection_drug_preparation_equipment_used.20.aspx,2020-06-05 22:46:36+00:00,,,1269037937297100801,,https://twitter.com/tdbrothers/status/1269037937297100801,1,1,,"https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(19)30705-4/fulltext,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219777,https://journals.lww.com/jaids/fulltext/2019/08010/heating_injection_drug_preparation_equipment_used.20.aspx"
18/ addendum 1: this really interesting study on risk factors for idu-ie by  &amp; amazing team at western was published today,2020-06-05 22:43:34+00:00,,,1269037175900909569,@LauraBallMPH,https://twitter.com/tdbrothers/status/1269037175900909569,1,1,,https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-020-00378-z
"i'm not sure how valves might heal after a first episode, nor how long at elevated risk persists (maybe forever?)",2020-06-05 22:39:10+00:00,,,1269036066260029440,,https://twitter.com/tdbrothers/status/1269036066260029440,0,0,tdbrothers,
"clinically (& in some nova scotia data forthcoming) we've seen people with history of idu-ie who stop injecting and then have ""unprovoked"" ie months-years later & some w/ first episode ie years after stopping idu",2020-06-05 22:38:44+00:00,,,1269035957371785226,,https://twitter.com/tdbrothers/status/1269035957371785226,1,0,danlewer,
"that issue is recognized & medicalized to the point that the european infective endocarditis guidelines suggest considering empiric antifungal therapy for patients w/ ie who inject brown heroin ""dissolved in lemon juice"" https://academic.oup.com/eurheartj/article/36/44/3075/2293384",2020-06-05 22:08:57+00:00,,,1269028460833505283,,https://twitter.com/tdbrothers/status/1269028460833505283,1,0,tdbrothers,https://academic.oup.com/eurheartj/article/36/44/3075/2293384
some interesting promixal-distal questions for the individual harm reduction practices too- eg. lemon water & vinegar as acidifiers increase risk of invasive fungal infection (due to contamination) vs. vit c http://www.bccdc.ca/resource-gallery/documents/educational%20materials/epid/other/vitamincqandajanuary2011.pdf but who doesn't have access to vit c &amp; why?,2020-06-05 22:07:48+00:00,,,1269028172240236546,,https://twitter.com/tdbrothers/status/1269028172240236546,1,0,tdbrothers,http://www.bccdc.ca/resource-gallery/Documents/Educational%20Materials/Epid/Other/VitaminCQandAJanuary2011.pdf
thank you for you & your groups' work on this with ices data! learning so much from you,2020-06-05 22:05:03+00:00,,,1269027481874464769,,https://twitter.com/tdbrothers/status/1269027481874464769,0,0,matthewweir,
"17/ in 2017  &amp; i wrote this in  arguing addiction medicine &amp; harm reduction have an obvious place on multidisciplinary ""endocarditis teams"" (guidelines say cardiologist/id/surgeon) leaders organizing ie care might consider:",2020-06-05 22:00:39+00:00,,,1269026375274500099,@dwebster70 @Open_HeartBMJ,https://twitter.com/tdbrothers/status/1269026375274500099,2,0,,https://openheart.bmj.com/content/4/2/e000699.responses#multidisciplinary-infective-endocarditis-care-teams-should-address-substance-use-disorders-and-harm-reduction-services
"some time soon i’m hoping to try to map a “risk environment” for invasive infections among pwid from qual & quant studies - i’m imagining risks for vertebral osteomyelitis, septic arthritis, etc might be similar",2020-06-05 21:56:36+00:00,,,1269025354959773707,,https://twitter.com/tdbrothers/status/1269025354959773707,2,0,tmc_RN,
i’m thinking it’s a final common pathway to so many of these things gone wrong something not (yet) reflected in published literature is - i feel most patients i meet with ie are going through severe crisis; very rare to meet people who are in a good place when they get ie,2020-06-05 21:40:21+00:00,,,1269021263533674497,,https://twitter.com/tdbrothers/status/1269021263533674497,1,0,tmc_RN,
"16/ health care professionals caring for people with injection drug use-associated infective endocarditis in hospital might find this helpful, from a talk i gave last year:",2020-06-05 21:06:10+00:00,,,1269012660927987712,,https://twitter.com/tdbrothers/status/1269012660927987712,2,0,tdbrothers,https://twitter.com/tdbrothers/status/1152373425794502656?s=20
"thanks, josh! it's a small but mighty retrospective series. kim did an incredible job on really detailed chart review, and contributes to a need for way more data on the situation in atlantic canada",2020-06-05 21:02:09+00:00,,,1269011652374134784,,https://twitter.com/tdbrothers/status/1269011652374134784,0,0,jabarocas,
"15/ overall, this paper adds to the growing knowledge that injection drug use-associated infective endocarditis is increasingly common, and deadly i hope soon we can help figure out the best ways to prevent it",2020-06-05 20:35:11+00:00,,,1269004865340166144,,https://twitter.com/tdbrothers/status/1269004865340166144,1,0,,
