text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
cancel her!,2020-07-23 06:07:11+00:00,,,1286181042542579712,,https://twitter.com/terrencemcenane/status/1286181042542579712,0,0,DailyCaller,
yes!,2020-07-23 05:55:22+00:00,,,1286178070265761793,,https://twitter.com/terrencemcenane/status/1286178070265761793,0,0,ChuckCallesto,
brazil's bolsonaro tests positive for coronavirus a third time - fox news https://www.foxnews.com/us/bolsonaro-positive-coronavirus-third-time via ,2020-07-23 01:20:09+00:00,,,1286108811112132608,@googlenews,https://twitter.com/terrencemcenane/status/1286108811112132608,0,0,,https://www.foxnews.com/us/bolsonaro-positive-coronavirus-third-time
"the quietest man i ever met, when attacked, jumped up in the air and kicked his attacker three times before touching the ground again! that's us, more armed patriots than russia and china combined. we're the silent majority. don't push us too far!",2020-07-21 23:53:58+00:00,,,1285724732571168774,,https://twitter.com/terrencemcenane/status/1285724732571168774,0,0,,
with the best of them!,2020-07-21 23:48:59+00:00,,,1285723477165715456,,https://twitter.com/terrencemcenane/status/1285723477165715456,0,0,youlivethrice,https://twitter.com/youlivethrice/status/1282557414038855681
terrific!,2020-07-21 23:36:59+00:00,,,1285720456906113031,,https://twitter.com/terrencemcenane/status/1285720456906113031,0,0,patriotic79,https://twitter.com/patriotic79/status/1282498000498065409
"democratic news stations! mr. president, you have the right to shut all protests down, due to their violent nature. please shut them down now!",2020-07-20 19:01:10+00:00,,,1285288659726618625,,https://twitter.com/terrencemcenane/status/1285288659726618625,0,0,realTrumpForce,
"stop the violent protests now, they are no longer legal!",2020-07-20 18:45:48+00:00,,,1285284791521357824,,https://twitter.com/terrencemcenane/status/1285284791521357824,0,0,RandPaul,
"jesus is god. mary is his mother, the mother of god. we pray to the mother of god.",2020-07-17 08:59:14+00:00,,,1284050012159320064,,https://twitter.com/terrencemcenane/status/1284050012159320064,4,0,SokuCharisma,
"we believe jesus is the son of god. mary is his mother and the mother of god. in the bible, mary asked jesus to make more wine and he changed the water into wine at the wedding feast of cana. in the end, it is mary who will crush the head of the serpent.",2020-07-17 08:55:14+00:00,,,1284049007883542529,,https://twitter.com/terrencemcenane/status/1284049007883542529,1,0,Elohim_Gadol,
