text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i'm sure you do. small white round pills...not too many of those!,2020-07-30 12:39:31+00:00,,,1288816493040488448,,https://twitter.com/tmc_RN/status/1288816493040488448,0,0,DJDenning,
i don't think so and neither did anyone else. but apparently felt kind of like there might have been heroin in there?,2020-07-30 02:27:52+00:00,,,1288662565401374721,,https://twitter.com/tmc_RN/status/1288662565401374721,0,0,ADrugResearcher,
sometimes i'm trying to figure out how to download logs from the vaccine fridge and other times people are bringing me drugs and asking me whether i think it's real heroin or not (not). this is some job.,2020-07-30 02:11:47+00:00,,,1288658519831588875,,https://twitter.com/tmc_RN/status/1288658519831588875,3,0,,
28 months!?! i feel like it was yesterday. marking the passage of time by the intervals between crappy substance use takes...this is not what i signed up for.,2020-07-29 13:49:43+00:00,,,1288471769087713280,,https://twitter.com/tmc_RN/status/1288471769087713280,1,0,RyanMarino,
we do ,2020-07-28 23:10:44+00:00,,,1288250565823209472,,https://twitter.com/tmc_RN/status/1288250565823209472,0,0,AlexYablon,
hahah i have never heard bunnyhugs before!,2020-07-28 18:55:33+00:00,,,1288186350475378689,,https://twitter.com/tmc_RN/status/1288186350475378689,1,0,gilliankolla,
people shouldn't need to sell t-shirts to fund supervised consumption sites but these are amazing and everyone needs one. or two. harmreduction,2020-07-28 18:55:12+00:00,,#harmreduction,1288186262436884481,,https://twitter.com/tmc_RN/status/1288186262436884481,1,7,prairiehr,https://twitter.com/prairiehr/status/1288155822925598721
also they have amazing hr swag!,2020-07-28 18:44:06+00:00,,,1288183466736193538,,https://twitter.com/tmc_RN/status/1288183466736193538,1,0,gilliankolla,
more than one!,2020-07-28 16:33:44+00:00,,,1288150658064035840,,https://twitter.com/tmc_RN/status/1288150658064035840,0,0,CarlynZwaren,
"i really agree with this. people everywhere are not doing well, and people without many resources are faring the worst.",2020-07-27 23:20:08+00:00,,,1287890543578619908,,https://twitter.com/tmc_RN/status/1287890543578619908,0,0,Bostonstreetdoc,
"my kids and i have never had to wait longer than a week or two for a mri/ct for 'r/o bad stuff'. the specialists you have to wait for are the same i had to wait for in the us (derm). yes there is a wait for knees, but also sx is not always evidence-based for knees, you know?",2020-07-27 17:17:56+00:00,,,1287799396055252998,,https://twitter.com/tmc_RN/status/1287799396055252998,0,0,DGlaucomflecken,
i have no idea.,2020-07-26 22:44:29+00:00,,,1287519185279635456,,https://twitter.com/tmc_RN/status/1287519185279635456,0,0,FawkesNoah,
i'm old so it's a question of what i actually listened to vs. what i remember. mostly i just listened to a college radio station that probably hasn't existed in boston for over 20 years ,2020-07-26 21:57:28+00:00,,,1287507352858636289,,https://twitter.com/tmc_RN/status/1287507352858636289,0,0,dr_saxelrath,
i feel like participating but weirdly enough this might be too personal for me to post on the internet.,2020-07-26 21:41:20+00:00,,,1287503294353596419,,https://twitter.com/tmc_RN/status/1287503294353596419,1,0,dr_saxelrath,
nice!,2020-07-26 20:28:32+00:00,,,1287484972090241025,,https://twitter.com/tmc_RN/status/1287484972090241025,0,0,sarah_ziggy,
"when there are benzos in the supply (always, here), it's good to remind ppl that the goal of narcan is a resp rate of 10 to 12 and normal spo2, not a normal level of consciousness.",2020-07-26 20:13:56+00:00,,,1287481299373096968,,https://twitter.com/tmc_RN/status/1287481299373096968,1,0,sarah_ziggy,
2013!,2020-07-26 18:00:09+00:00,,,1287447631107690497,,https://twitter.com/tmc_RN/status/1287447631107690497,0,0,Timgthr,
this is what i think of when people talk to me about the superiority of peer-reviewed research:,2020-07-26 16:29:28+00:00,,,1287424809304051713,,https://twitter.com/tmc_RN/status/1287424809304051713,4,0,elifg22,https://twitter.com/elifg22/status/1287108821274570752
"yup, it's not just taking blood pressures! i used to work both and people would ask how 'semi-retirement' was going. um, no.",2020-07-26 13:12:54+00:00,,,1287375340520775682,,https://twitter.com/tmc_RN/status/1287375340520775682,1,0,nursekateeRN,
when i stroll down east hastings i see a ton of people who would be dead if not for harm reduction (and eachother). what do we think he sees?,2020-07-26 01:45:15+00:00,,,1287202290525511680,,https://twitter.com/tmc_RN/status/1287202290525511680,1,0,CoreyRanger,
also i lived in dc in the 90s and don't remember areas you couldn't drive through although to be honest i could barely afford the metro so what do i know.,2020-07-26 01:39:08+00:00,,,1287200748678385665,,https://twitter.com/tmc_RN/status/1287200748678385665,1,0,tmc_RN,
the chicken bone is what got me. i guess in the suburbs people prefer boneless?,2020-07-26 01:37:02+00:00,,,1287200221399785472,,https://twitter.com/tmc_RN/status/1287200221399785472,1,0,JerrySoucyRN,
"if it makes sense here, it will make sense anywhere! obviously illegal as an outpatient in the us. but pharmaceutically speaking it works.",2020-07-26 01:18:21+00:00,,,1287195520826392582,,https://twitter.com/tmc_RN/status/1287195520826392582,0,0,SotheranL,
"yup, it's done all the time in canada.",2020-07-26 00:48:40+00:00,,,1287188049999405058,,https://twitter.com/tmc_RN/status/1287188049999405058,1,0,BrookeM_Feldman,
"omg no it's totally not, but parks and rec isn't far off from reality.",2020-07-24 20:57:07+00:00,,,1286767388315312132,,https://twitter.com/tmc_RN/status/1286767388315312132,1,0,roni_kgg,
"so, a documentary? (right ?)",2020-07-24 20:40:22+00:00,,,1286763173199130628,@roni_kgg,https://twitter.com/tmc_RN/status/1286763173199130628,1,0,ZachWritesStuff,
sooooo glad to see you here!,2020-07-24 12:02:15+00:00,,,1286632788700143616,,https://twitter.com/tmc_RN/status/1286632788700143616,0,0,InwoodMeg,
"oh no, this is such sad news.",2020-07-22 16:45:55+00:00,,,1285979396847935488,,https://twitter.com/tmc_RN/status/1285979396847935488,0,0,tdbrothers,
"we did an interdisciplinary training but only the paramedics showed up (besides us nurses) it was great though! simulated setting was a nursing home, which is such a common place for us to collaborate.",2020-07-22 16:42:12+00:00,,,1285978462579240970,,https://twitter.com/tmc_RN/status/1285978462579240970,1,0,NursePatMacRN,
"this happens so often in harm reduction, where the us is far behind other countries. if i draw people's attention to contradictory research from canada, i might have well have said that we dispense methadone at pharmacies on the moon.",2020-07-22 11:42:45+00:00,,,1285903102135214085,,https://twitter.com/tmc_RN/status/1285903102135214085,1,0,RS_McNeil,
wrists are a big one,2020-07-22 10:25:37+00:00,,,1285883692070641664,,https://twitter.com/tmc_RN/status/1285883692070641664,0,0,KattrinBee,
"this will help some people, but is a huge limiting factor for those at the highest risk of overdose.",2020-07-21 12:30:59+00:00,,,1285552853654949891,,https://twitter.com/tmc_RN/status/1285552853654949891,1,0,tmc_RN,
"also this is a great question  and i could talk for hours about it. the problem with suboxone is not at what dose it might be protective, but that there is a significant incentive to stop suboxone if you want to start using again, even a little bit.",2020-07-21 12:30:01+00:00,,,1285552611198992385,@dr_saxelrath,https://twitter.com/tmc_RN/status/1285552611198992385,1,0,tmc_RN,
i should also add say that we don't know how many mu receptors need to be occupied to cause overdose. or how many to 'free' to lift it. so many factors at play. and od is not a binary state! given mechanism of action of buprenorphine i imagine even a couple mg are protective.,2020-07-21 10:46:44+00:00,,,1285526616928657411,,https://twitter.com/tmc_RN/status/1285526616928657411,1,0,JoeWrightMD,
if you find something let us know!,2020-07-21 01:41:02+00:00,,,1285389289048637446,,https://twitter.com/tmc_RN/status/1285389289048637446,1,0,tmc_RN,
i think it's because they had like almost zero overdoses on it. i am doing this research w/ methadone dose but we have too few suboxone users who use opioids in our site to gather meaningful data on it.,2020-07-21 01:32:26+00:00,,,1285387123848368128,,https://twitter.com/tmc_RN/status/1285387123848368128,1,0,dr_saxelrath,
where they consider dosage? don't think i've seen one (haven't looked though...i am more of a methadone person). i took a quick look at the sublocade monograph and they suggest a concentration that is protective but it isn't a minimum.,2020-07-21 01:28:29+00:00,,,1285386129701777410,,https://twitter.com/tmc_RN/status/1285386129701777410,0,0,dr_saxelrath,
this doesn't address overdose as much as cravings. i would imagine the plasma concentration is more indicative of protection than dose...might be something about that in sublocade lit. i feel like i rarely see ppl even try to use opioids if they are on 8+ mg of suboxone.,2020-07-21 01:07:49+00:00,,,1285380931151376385,,https://twitter.com/tmc_RN/status/1285380931151376385,1,0,tmc_RN,
,2020-07-21 01:01:06+00:00,,,1285379240062590976,,https://twitter.com/tmc_RN/status/1285379240062590976,2,1,dr_saxelrath,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4252738/
it's been offsite since covid hit :(,2020-07-20 23:32:38+00:00,,,1285356977653198849,,https://twitter.com/tmc_RN/status/1285356977653198849,1,0,ADrugResearcher,
"i haven't been paying attention before ppl cook, but i might printout the picture and ppl can compare in the site.",2020-07-20 22:42:03+00:00,,,1285344246216654848,,https://twitter.com/tmc_RN/status/1285344246216654848,1,0,ADrugResearcher,
this is interesting because the meth here has been crap for a while and ppl are reporting more burning even when they don't miss.,2020-07-20 21:25:34+00:00,,,1285324997238706177,,https://twitter.com/tmc_RN/status/1285324997238706177,1,0,kwardvancouver,
"i had a cat who would pee on any furniture we ever tried to move, and if we went away overnight we had to put tarps over everything. i can handle the howling!",2020-07-20 02:34:16+00:00,,,1285040296364056579,,https://twitter.com/tmc_RN/status/1285040296364056579,0,0,Methadone_Cat,
"considering that therapeutic doses of methadone are well over 100mg for regular fentanyl users, we should do anything that can be done to get the dose up in that range as soon as we (safely) can.",2020-07-20 02:21:32+00:00,,,1285037093434138626,,https://twitter.com/tmc_RN/status/1285037093434138626,0,0,DrPoorman,
"many hospitals in canada are doing rapid inpatient titrations of methadone - helps if you know what patient's usual dose of fentanyl or previous doses of methadone were. https://pubmed.ncbi.nlm.nih.gov/30741835/ 10mg q4h prn is not unusual (for trained clinicians, with regular nsg assessment)",2020-07-20 02:11:41+00:00,,,1285034613790969862,,https://twitter.com/tmc_RN/status/1285034613790969862,1,0,DrPoorman,https://pubmed.ncbi.nlm.nih.gov/30741835/
"i'm glad you did this research! fser's have nursing staff tho, right?",2020-07-20 00:50:07+00:00,,,1285014088226091008,,https://twitter.com/tmc_RN/status/1285014088226091008,1,0,Nursing_Heretic,
i have one that just walks around the house howling at 3am. doesn't want anything besides someone to wake up and keep him company. or he just wants to sing? basically he's a rooster with fur.,2020-07-20 00:48:40+00:00,,,1285013721472020486,,https://twitter.com/tmc_RN/status/1285013721472020486,1,0,Methadone_Cat,
dixit santorini,2020-07-19 23:51:39+00:00,,,1284999372472815617,,https://twitter.com/tmc_RN/status/1284999372472815617,0,0,reepRN,
truth!,2020-07-19 21:57:57+00:00,,,1284970761652965376,,https://twitter.com/tmc_RN/status/1284970761652965376,0,0,clairezagorski,
"you aren't wrong, but it's hashed out on the internet because it is never resolved in the workplace.",2020-07-19 20:44:05+00:00,,,1284952169184141319,,https://twitter.com/tmc_RN/status/1284952169184141319,2,0,clairezagorski,
i can't wait to read this! he would probably laugh to hear me say this but now that i am done with my grad coursework i realize that theory was my favourite class.,2020-07-19 15:52:01+00:00,,,1284878669668810752,,https://twitter.com/tmc_RN/status/1284878669668810752,1,0,drkyliesmith,
"we should absolutely be doing that! i go to a university where this is what ppl publish on (crit theory ++), but when it comes to undergrad classes some of those same profs stress the same professionalism and norms.",2020-07-19 15:49:21+00:00,,,1284878000194850830,,https://twitter.com/tmc_RN/status/1284878000194850830,0,0,UMassWalker,
"and no interest in learning about the gender/class/race aspect of our profession where no, we don't have time/money/access to journals to upgrade our knowledge, and hospitals sometimes discourage us from doing so. half the nurses i know are single moms.",2020-07-19 15:04:38+00:00,,,1284866744155344898,,https://twitter.com/tmc_RN/status/1284866744155344898,1,0,tmc_RN,
and i actually prefer the condescension over having our existence entirely ignored... these threads where people talk about the stupid things these nurses say/do/believe as if we don't also have access to twitter and can't read.,2020-07-19 15:02:22+00:00,,,1284866174610800643,,https://twitter.com/tmc_RN/status/1284866174610800643,1,0,browofjustice,
i have no idea who you are talking about because i feel like that is a lot of medtwitter (and why i have avoided it for months).,2020-07-19 14:56:51+00:00,,,1284864785356591105,,https://twitter.com/tmc_RN/status/1284864785356591105,2,0,browofjustice,
"to be fair, you don't need to be a doctor or have a doctorate to know the role of oxygen during an opioid overdose ;)",2020-07-17 19:42:55+00:00,,,1284212000315277313,,https://twitter.com/tmc_RN/status/1284212000315277313,0,0,AB_MD_WarRoom,
"don't think i've noticed it with opioids besides fentanyl + analogues, although it's important to note that our safe supply programs (using dilaudid) rarely provide a dose high enough to cause overdose, and the consistency of the supply makes proper dosing easier.",2020-07-16 17:40:49+00:00,,,1283818888984178688,,https://twitter.com/tmc_RN/status/1283818888984178688,0,0,tmc_RN,
"yes this is consistent with what we have observed and given how well a small dose of naloxone works to address this, it makes sense. (we have care plans set up with people so that they can opt for this small dose in advance).",2020-07-16 17:38:12+00:00,,,1283818227651551232,,https://twitter.com/tmc_RN/status/1283818227651551232,2,0,TehyaRJohnson,
"is it easy to control the speed? i might try commuting downtown with one, but i don't want to run anyone over.",2020-07-16 14:35:04+00:00,,,1283772140307849217,,https://twitter.com/tmc_RN/status/1283772140307849217,1,0,JLeiper,
" hey i saw a few bird scooters on scott street between bayview and tunney's - this is new, right? i haven't seen them anywhere else.",2020-07-16 14:19:08+00:00,,,1283768129580142592,@JLeiper,https://twitter.com/tmc_RN/status/1283768129580142592,1,0,,
i stay up-to-date by working in an scs :) but you can: - follow pwud on social media. as many as you can. individuals and groups. - follow your local needle exchange + get to know them in person,2020-07-16 12:21:56+00:00,,,1283738635901296641,,https://twitter.com/tmc_RN/status/1283738635901296641,0,0,DrPoorman,
"i'm finding the combination of covid, work and teenagers to be challenging...good luck!",2020-07-16 01:49:01+00:00,,,1283579359190831105,,https://twitter.com/tmc_RN/status/1283579359190831105,0,0,RS_McNeil,
i've assumed that it's just a personal reaction to hypoxemia (or borderline hypoxemia) since it doesn't seem to happen to ppl satting 90+ consistently. reminds me a little of when my daughter was a breathholder as a child.,2020-07-16 01:02:24+00:00,,,1283567625235320834,,https://twitter.com/tmc_RN/status/1283567625235320834,1,0,JoeWrightMD,
btw this is so common that we call it 'the dance' and post-consumption dyskinesia has been a check box on our visit forms for years.,2020-07-16 00:35:33+00:00,,,1283560869104934918,,https://twitter.com/tmc_RN/status/1283560869104934918,0,0,tmc_RN,
i rarely see it in people who say they are using meth only - that's more the typical overamping where movement is purposeful. generally a cool dark room where someone can just be safe for 30 minutes or so works well.,2020-07-16 00:29:25+00:00,,,1283559326091743232,,https://twitter.com/tmc_RN/status/1283559326091743232,1,0,tmc_RN,
,2020-07-16 00:25:44+00:00,,,1283558400362766338,,https://twitter.com/tmc_RN/status/1283558400362766338,1,0,tmc_RN,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6303894/
we often see chorea-like movements in people using fentanyl...often seems like their body is kind of trying to keep them awake and breathing (so maybe at an sp02 of 70 to 90). if ppl find it unpleasant we give a tiny dose of naloxone (asking permission first).,2020-07-16 00:24:33+00:00,,,1283558101640269827,,https://twitter.com/tmc_RN/status/1283558101640269827,1,0,JoeWrightMD,
this happened several times when we still used paper charts at the hospital.,2020-07-15 19:03:25+00:00,,,1283477284238876686,,https://twitter.com/tmc_RN/status/1283477284238876686,0,0,maplebrookMN,
we should also be cheering these frontline workers via ,2020-07-13 16:52:25+00:00,,,1282719543870267393,@TheTyee,https://twitter.com/tmc_RN/status/1282719543870267393,0,4,,https://thetyee.ca/News/2020/07/13/We-Should-Be-Cheering-These-Frontline-Workers/?utm_source=daily&utm_medium=email&utm_campaign=130720&fbclid=IwAR04YiZQYboH57KzPopjezrXE-R1s_-PSBLdA5Nd2bEt_kw8CEU-5Z0YqO0
"i hate to get sucked into debating people's humanity, but i do believe in science.",2020-07-12 19:49:05+00:00,,,1282401615601860613,,https://twitter.com/tmc_RN/status/1282401615601860613,1,0,Methadone_Cat,
"by not a big fan, i mean that my clients rarely report that it works, it seems to increase the rate of fatal overdose events for those who leave them, and the evidence base for their effectiveness seems sketchy. but i wouldn't be a part of a bad faith effort to discredit them.",2020-07-12 19:42:58+00:00,,,1282400077378662406,,https://twitter.com/tmc_RN/status/1282400077378662406,2,0,tmc_RN,
"i'm not a big fan of abstinence-based residential treatment, but i wouldn't participate in any reporting or research on that modality if it wasn't done ethically or if i felt like it was motivated by ideological concerns.",2020-07-12 19:40:27+00:00,,,1282399440935018496,,https://twitter.com/tmc_RN/status/1282399440935018496,2,0,tmc_RN,
"as someone who has run a site for almost a year now, has worked at 2 sanctioned sites and 1 unsanctioned ops, has done the majority of her graduate coursework on harm reduction and scs, i found most of what the report found counterfactual, biased, irrelevant, or misleading.",2020-07-12 19:39:00+00:00,,,1282399078542868481,,https://twitter.com/tmc_RN/status/1282399078542868481,1,0,drrobbietee,
congrats!,2020-07-11 18:17:24+00:00,,,1282016155536969734,,https://twitter.com/tmc_RN/status/1282016155536969734,1,0,guyfelicella,
what a great nursing role!,2020-07-11 18:03:54+00:00,,,1282012758662352897,,https://twitter.com/tmc_RN/status/1282012758662352897,0,0,nursekelsey,
https://www.bccsu.ca/addiction-medicine-clinical-research-fellowship-overview/addiction-nursing-fellowship/ this is a great one (the only one?) in canada.,2020-07-11 17:59:17+00:00,,,1282011596102008833,,https://twitter.com/tmc_RN/status/1282011596102008833,0,0,collabelle,https://www.bccsu.ca/addiction-medicine-clinical-research-fellowship-overview/addiction-nursing-fellowship/
"similary, i see rns applying for primary care jobs because of the mon to friday schedule and ""easy"" work. this is 80% of the resumes i get (even though our program is 12 hour day shifts, every day of the year - they don't read the fine print!). ppl thinking primary care = escape.",2020-07-11 16:18:41+00:00,,,1281986278364348417,,https://twitter.com/tmc_RN/status/1281986278364348417,1,1,bryanboling,
