text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
biodelivery sciences international.,2020-07-30 23:31:13+00:00,,,1288980497075523591,,https://twitter.com/urbanfatbiker/status/1288980497075523591,0,0,ThomasKlineMD,https://ir.bdsi.com/news-releases/news-release-details/biodelivery-sciences-appoints-dr-vanila-singh-former-chief
it must be killed in a most decisive manner.,2020-07-30 18:16:38+00:00,,,1288901331705618433,,https://twitter.com/urbanfatbiker/status/1288901331705618433,0,0,jmugele,
"well, if its true.. .. will be pleased some politician agrees with his attitudes about the south! that'll put him in a quandary! a capitalist profiteer with a bigotry he shares...how can he deny him?? he might get appointed director of southern dentistry! ",2020-07-30 17:57:20+00:00,,,1288896473850171393,@headdock,https://twitter.com/urbanfatbiker/status/1288896473850171393,0,1,Txsconstitution,
"two months later, when i knew the doc had bad news for me? another 120mph drive. i was on a mission. but i couldn't take that left hook into the bridge abutment.",2020-07-30 16:11:42+00:00,,,1288869889277599744,,https://twitter.com/urbanfatbiker/status/1288869889277599744,2,0,urbanfatbiker,
"stop driving 120mph. i left east ga determined to get home before i died of cancer. lost 30lbs in two weeks, hadn't kept a meal down in days. a trip normally taking 6 hours, i did it in 3.5. it wasn't cancer. but i was dying.",2020-07-30 16:09:27+00:00,,,1288869324145463299,,https://twitter.com/urbanfatbiker/status/1288869324145463299,1,1,bennessb,
*ajaymanhapra twitter handle minus the @,2020-07-30 16:00:43+00:00,,,1288867125835247618,,https://twitter.com/urbanfatbiker/status/1288867125835247618,1,0,NickCarlin6,
"note the event in tn in 2003. wasn't till 2004 that nih trial unblinded study, revealed one med combo was showing 21% failure rates and high toxicity, permitted study participants to change meds. i chose to stay on it, but in 2007 i became a victim too, and had to change.",2020-07-30 15:08:39+00:00,,,1288854023458762752,,https://twitter.com/urbanfatbiker/status/1288854023458762752,0,0,urbanfatbiker,
his background has also been 'sanitized' as i read many articles painting him as agreeable in 1991.. ..after actup stormed the hill with thousands of dying protestors! i did find this interesting article...,2020-07-30 15:05:29+00:00,,,1288853224640962560,,https://twitter.com/urbanfatbiker/status/1288853224640962560,1,1,keesaroo,https://justthenews.com/accountability/political-ethics/fauci-says-americans-should-trust-doctors-himself-his-career
"with pmtf report added to fy21 budget proposal, its clear.. ..no one on hill cares for millions of patients shamed, stigmatized, used as cash cows for 'drill mills', implant mfgrs, , integrative medicine, pharma mfgrs. i present now to you. read it!",2020-07-30 14:47:45+00:00,,,1288848763700875264,@APA,https://twitter.com/urbanfatbiker/status/1288848763700875264,0,1,urbanfatbiker,https://urbanfatbiker.wordpress.com/2019/08/01/open-letter-to-the-u-s-senate-regarding-pending-legislation/amp/?__twitter_impression=true
"   i wrote this letter to congress a year ago, per request of another advocate meeting with her local reps, in hopes  would include it in a senate committee oversight hearing of dea overreach. never happened. problem remains....",2020-07-30 14:40:59+00:00,,,1288847058661715970,@HouseDemocrats @HouseGOP @HouseFloor @SenAlexander,https://twitter.com/urbanfatbiker/status/1288847058661715970,1,1,AppropsDems,
"a few tidbits about that advocacy, my lost career, and a program that literally saved my life.",2020-07-30 14:26:02+00:00,,,1288843299328065544,,https://twitter.com/urbanfatbiker/status/1288843299328065544,1,3,urbanfatbiker,https://urbanfatbiker.wordpress.com/2019/03/02/a-program-that-saved-my-life-the-ryan-white-comprehensive-care-act/
"let me pound on her hands for a few decades, maybe she'll get dupuytrens, some severe osteoarthritis. then let her get that blister pack open without cracking half the pill and slinging it into the couch. they sent my bp meds in blister pack. i will be requesting they stop.",2020-07-30 14:14:54+00:00,,,1288840495054102530,,https://twitter.com/urbanfatbiker/status/1288840495054102530,0,0,life_is_art___,
"i'm used to shaming by right-wing nutjobs that think hiv is god's curse on gays, promiscuous, drug users. to get that slander from a medical professional claiming a progressive stand, who stands behind an industry corrupted by capitalist profiteering pissmafia? unforgivable.",2020-07-30 13:23:38+00:00,,#PissMafia,1288827594243280896,,https://twitter.com/urbanfatbiker/status/1288827594243280896,0,1,urbanfatbiker,
"i witnessed that shaming. if you disagree with him, and he sees a political persuasion different than his, he will assault you relentlessly. if you disagree, and there's no indication of political position, he'll assign one, that frees him mentally to assault you.",2020-07-30 13:19:14+00:00,,,1288826486984769539,,https://twitter.com/urbanfatbiker/status/1288826486984769539,2,1,JT_Berone,
"that event stopped personal attacks on me. i even noticed an attempt by ms to control his bigotry, although it still fails, he still presents himself as an intellectual supremacist. he exposed dirty bigotry that day, in attempt to shame me into silence the worst possible way.",2020-07-30 13:12:04+00:00,,,1288824682645528576,,https://twitter.com/urbanfatbiker/status/1288824682645528576,0,1,urbanfatbiker,
"events after the ama pronouncements to cdc took a decidedly nasty turn, and on the exact day the international aids conference was hosting their seminars on hiv stigma... ms exposed his stigma, crossed a line that cannot be fixed. search me under hashtag hivstigma for details.",2020-07-30 13:07:08+00:00,,#HIVStigma,1288823441223757825,,https://twitter.com/urbanfatbiker/status/1288823441223757825,3,1,urbanfatbiker,
"i watched him belittle and shame people that disagreed. overlooked it last year. after february it was impossible to ignore. borderlines sealed that deal. i could still possibly mend fences, ms does have positions i agree with. however...",2020-07-30 13:04:30+00:00,,#Borderlines,1288822778305622016,,https://twitter.com/urbanfatbiker/status/1288822778305622016,2,1,urbanfatbiker,
"for those that attacked us due to war with ms, i have to add one further event. my first medical advocacy is hiv survival, hell i lost my career standing my ground for 17 yrs of research trial appts! we face serious stigma from medical professionals, bad as cpp face now!",2020-07-30 13:01:05+00:00,,,1288821921413500928,,https://twitter.com/urbanfatbiker/status/1288821921413500928,3,2,CIAAG_Lauren,
"our divide took place, not with personalities and attitude, but with protest, slander, attack. we had to split, and block to stop the distracting attacks on our discussions. those attacks ended only recently, as ama became our justification. so now? a whitewashing of disputes.",2020-07-30 12:47:42+00:00,,,1288818551168565249,,https://twitter.com/urbanfatbiker/status/1288818551168565249,2,2,urbanfatbiker,
"this invoked all-out war. our group was assaulted so bad, by drug users, by ms sycophants. ms declares all of us mentally disordered, commits to research to prove it. you can follow that with hashtags 25psychocpp, borderlines. by then, i saw lauren and shasta in a new light!",2020-07-30 12:44:07+00:00,,#25PsychoCPP #Borderlines,1288817651775688708,,https://twitter.com/urbanfatbiker/status/1288817651775688708,1,1,urbanfatbiker,
"in feb, parallel to attacks on kline, a new pain patients rights bill was introduced in wa state, included 'informed consent' waivers protecting doctors. ms declares he would intercede, force legislators to add his mandatory monthly forced udt to bill. we protested against him.",2020-07-30 12:41:03+00:00,,,1288816879616888832,,https://twitter.com/urbanfatbiker/status/1288816879616888832,3,1,urbanfatbiker,
"...a year later, i learned more. more solid evidence turned 'conspiracy' into policy. vanila singh turned on us. kline was attacked by schatman, then ncmb, and nc34 abandoned. more internal documents exposed. then ms went one step further...",2020-07-30 12:37:13+00:00,,#NC34,1288815913517682688,,https://twitter.com/urbanfatbiker/status/1288815913517682688,2,2,urbanfatbiker,
"honesty time. when i got here 2/2019, issues were simple - get meds back publicize our plight, that'll solve problem. i read violation of a nation, thought it conspiracy, considered lauren, shasta outside mainstream. considered ms a brash advocate with one bad policy. but...",2020-07-30 12:32:30+00:00,,,1288814725246181376,,https://twitter.com/urbanfatbiker/status/1288814725246181376,2,0,HappyWarriorP,
"to 's credit (for which i give very reluctantly due to his overwhelming bigotry), he is adamant about bupe being totally ineffective as pain med. his support for full-agonist opioid is unwavering - except for higher doses. parable of blind pig and acorn comes to mind.",2020-07-30 12:20:46+00:00,,,1288811773697691649,@headdock,https://twitter.com/urbanfatbiker/status/1288811773697691649,2,1,lpray18,
the above tweet covers the disabled. this tweet covers his use of a nation filled with drug abusers fuelled by the state.,2020-07-30 12:13:25+00:00,,,1288809922050785281,,https://twitter.com/urbanfatbiker/status/1288809922050785281,1,1,urbanfatbiker,https://www.history.co.uk/article/the-drug-that-fuelled-the-nazi-blitzkrieg
"once upon a time, before kolodny, government made policies leading disabled into a short life and torturous death, and locking drug users into a life of servitude to the state. kolodny's bupe does that medicinally. hitler's method was more direct... https://www.ushmm.org/collections/bibliography/people-with-disabilities",2020-07-30 12:09:30+00:00,,,1288808940508258310,,https://twitter.com/urbanfatbiker/status/1288808940508258310,1,1,urbanfatbiker,https://www.ushmm.org/collections/bibliography/people-with-disabilities
"i postulate someday, bupe will be named 'ultimate gateway drug'. leaves drug users physically dependent, in a stupor, lacking that euphoria they crave. leaves pain patients in the same stupor, without treating severe pain. both groups will be seeking. is that their goal?",2020-07-30 11:54:43+00:00,,,1288805219057446912,,https://twitter.com/urbanfatbiker/status/1288805219057446912,2,2,lpray18,
"treating pain in a trauma crisis us a risky balance, enough powerful opioid must be administered to overcome bupe. but at some point all bupe leaves receptors, causing tolerance to plummet, and overdose risk to skyrocket. how many lives will bupe torture? how many saved?",2020-07-30 11:39:46+00:00,,,1288801454287998979,,https://twitter.com/urbanfatbiker/status/1288801454287998979,1,3,urbanfatbiker,
"with the new synthetics flooding black market, drug users can bupe on weekdays, get really high on weekends, and still pass the monday morning piss test. while pain patients in a trauma crisis are placed in precarious position of either excruciating pain untreated, or overdose.",2020-07-30 11:36:12+00:00,,,1288800556782428162,,https://twitter.com/urbanfatbiker/status/1288800556782428162,2,1,urbanfatbiker,
"bupe fails to address pain, but imparts a lasting 'pacifying' effect leaving users in a stupor. tight binding to receptors prevents most opioids from attaching. this makes pain care hazardous in a trauma emergency. while drug users find powerful illicits do overcome bupe.",2020-07-30 11:32:43+00:00,,,1288799679661182980,,https://twitter.com/urbanfatbiker/status/1288799679661182980,1,3,Danniedean5,
"relieved to say, after ending three years of hormone ablation, with fears that i might someday be wearing my wife's bras, puberty has come to the 'fatbiker. with hair on my chest, and a deepening voice, i reclaim my maleness. still no sam elliot. sorry for the confusion. ",2020-07-30 10:53:32+00:00,,,1288789822698598401,,https://twitter.com/urbanfatbiker/status/1288789822698598401,2,0,HappyWarriorP,
"i'd like to pick that back up tomorrow. my wife and her doggie abandoned me, my doggies whining to go join them. its bedtime. till then...",2020-07-30 03:08:55+00:00,,,1288672895171010560,,https://twitter.com/urbanfatbiker/status/1288672895171010560,1,0,HappyWarriorP,
"and none of those three have made any public response pro or con regarding the ama pronouncements. it's as if they have invalidated it, and working as hard to silence it as they want to do to us. that's a problem.",2020-07-30 03:01:12+00:00,,,1288670952784629762,,https://twitter.com/urbanfatbiker/status/1288670952784629762,2,0,urbanfatbiker,
"i would like to discuss some of it in a non-contentious way. issues are more than disputes within, we've been betrayed by one high-ranking 'advocate', we have another academic that shames those opposing policies, an org claiming to back us while industry backs them pushing pmtf.",2020-07-30 02:59:14+00:00,,,1288670461291880455,,https://twitter.com/urbanfatbiker/status/1288670461291880455,2,0,HappyWarriorP,
"i was scared i'd lose 70% of my followers just for saying it! guess we're not all raging psychotics angling for a fight, and i proved it. now, if i had called someone that...",2020-07-30 02:49:40+00:00,,,1288668051496415237,,https://twitter.com/urbanfatbiker/status/1288668051496415237,2,0,lpray18,
